年度（和暦）,年度（西暦）,総数,結核,悪性新生物,食道（再掲）,胃（再掲）,結腸（再掲）,直腸・直腸S状結腸移行部（再掲）,肝及び肝内胆管（再掲）,胆のう・胆道（再掲）,膵（再掲）,気管・気管支及び肺（再掲）,乳房（再掲）,子宮（再掲）,白血病（再掲）,糖尿病,高血圧性疾患,心疾患,急性心筋梗塞（再掲）,その他の虚血性心疾患（再掲）,不整脈及び伝導障害（再掲）,心不全（再掲）,脳血管疾患,くも膜下出血（再掲）,脳内出血（再掲）,脳梗塞（再掲）,大動脈瘤及び解離,肺炎,慢性閉塞性肺疾患,喘息,肝疾患,腎不全,老衰,不慮の事故,交通事故（再掲）,自殺,その他の全死因
平成23年度,2011,577,0,207,13,33,15,11,23,3,13,38,10,6,2,3,3,105,51,18,9,18,43,7,14,22,13,44,3,1,9,11,18,17,4,13,87
平成24年度,2012,593,2,179,6,14,16,3,12,7,26,35,7,3,3,4,1,94,28,33,5,19,48,5,16,26,11,58,6,0,9,12,29,12,2,18,110
平成25年度,2013,642,2,209,11,22,16,7,14,12,23,44,12,1,1,4,5,109,39,20,14,18,45,4,14,26,13,64,2,1,8,7,27,15,3,10,121
平成26年度,2014,656,2,211,11,37,16,4,13,9,23,33,12,9,3,8,1,113,37,32,10,26,53,8,15,28,11,63,7,1,3,10,34,17,1,9,113
平成27年度,2015,661,0,198,4,20,29,8,14,10,12,42,9,4,6,5,2,121,49,19,11,27,49,7,10,32,8,67,11,1,7,9,37,12,2,13,121
平成28年度,2016,654,4,203,6,20,18,14,14,7,19,32,8,4,3,6,3,119,33,23,14,34,36,4,13,18,11,58,6,0,8,11,39,8,1,11,131
平成29年度,2017,703,1,222,14,17,22,11,14,14,25,39,10,3,3,2,3,114,34,30,5,30,43,3,15,23,11,47,11,1,7,15,60,12,1,6,148
平成30年度,2018,731,2,218,5,25,31,6,13,7,16,38,9,3,8,7,2,107,22,34,11,28,47,9,18,19,12,39,14,2,9,16,71,19,3,11,155
平成31年度,2019,732,0,220,5,23,22,5,9,10,26,37,12,3,6,3,3,100,30,23,10,22,52,5,15,31,20,51,5,1,11,9,79,13,-,10,91
令和２年度,2020,763,4,214,6,22,23,10,16,7,21,48,4,4,3,2,0,103,18,34,11,30,53,6,13,34,10,49,7,0,9,12,98,17,-,16,114
令和３年度,2021,792,,226,11,19,25,6,12,8,25,38,14,7,6,0,1,117,13,47,14,34,50,9,14,26,14,34,9,0,3,11,102,17,1,14,134
