税目,調定額（円）,収入額（円）,還付未済額（円）,純収入額（円）,令和３年度の調定に対する収入割合（％）,令和４年度の調定に対する収入割合（％）,不納欠損額（円）,未収入額（円）
一般会計（市税：現年度）,13194925462,13152360688,1286855,13151073833,99.7,99.7,45471,43806158
一般会計（市税：滞納繰越）,68432593,40221438,198912,40022526,54.2,58.8,5701484,22708583
普通税（市民税：現年度）,7393356667,7359955924,1088855,7358867069,99.6,99.5,14871,34474727
普通税（市民税：滞納繰越）,52005390,29279451,195312,29084139,48.8,56.3,5312484,17608767
普通税（固定資産税：現年度）,4360345900,4353469398,158563,4353310835,99.8,99.8,22904,7012161
普通税（固定資産税：滞納繰越）,12456154,8530709,0,8530709,76.9,68.5,227433,3698012
普通税（軽自動車税：現年度）,52280800,51672357,0,51672357,99,98.8,2000,606443
普通税（軽自動車税：滞納繰越）,880416,296982,3600,293382,41.5,33.7,105000,482034
普通税（市たばこ税：現年度）,389568495,389568495,0,389568495,100,100,0,0
普通税（特別土地保有税：現年度）,-,-,-,-,-,-,-,-
普通税（特別土地保有税：滞納繰越）,-,-,-,-,-,-,-,-
目的税（都市計画税：現年度）,999373600,997694514,39437,997655077,99.8,99.8,5696,1712827
目的税（都市計画税：滞納繰越）,3090633,2114296,0,2114296,76.5,68.4,56567,919770
特別会計（国民健康保険税：現年度）,1678096800,1629261353,3090967,1626170386,97.5,97.1,0,51926414
特別会計（国民健康保険税：滞納繰越）,76945668,34485999,110900,34375099,45.9,44.8,10524490,32046079
