区分,年度（和暦）,年度（西暦）,職員及び団員数（人）,消防ポンプ自動車（非常用含む：台）,指揮車（台）,査察広報車（台）,指揮隊車（台）,はしご車（台）,人員輸送車（台）,救急車（非常用含む：台）,携帯無線機（台）,消防水利（消火栓）,消防水利（防火水槽）
消防署,平成29年度,2017,145,6,0,4,1,1,1,3,44,726,220
消防署,平成30年度,2018,140,6,0,4,1,1,1,3,45,725,223
消防署,平成31年度,2019,136,6,0,4,1,1,1,3,45,726,220
消防署,令和２年度,2020,139,6,0,4,1,1,1,4,45,724,224
消防署,令和３年度,2021,142,6,0,4,1,1,1,3,45,735,235
消防団,平成29年度,2017,106,6,1,0,0,0,0,0,45,0,0
消防団,平成30年度,2018,103,6,1,0,0,0,0,0,45,0,0
消防団,平成31年度,2019,103,6,1,0,0,0,0,0,45,0,0
消防団,令和２年度,2020,104,6,1,0,0,0,1,0,45,0,0
消防団,令和３年度,2021,103,6,1,0,0,0,1,0,45,0,0
消防団,令和４年度,2022,103,6,1,0,0,0,1,0,53,0,0
