年度（和暦）,年度（西暦）,一般会計（現年度）,一般会計（滞納繰越）,一般会計（市民税）,一般会計（固定資産税）,一般会計（軽自動車税）,一般会計（市たばこ税）,一般会計（特別土地保有税）,一般会計（都市計画税）,国民健康保険特別会計（国民健康保険税：現年度）,国民健康保険特別会計（国民健康保険税：滞納繰越）
平成24,2012,11173360478,160530970,6219938537,3853711840,30307007,329758549,-,900175515,1778749492,176442609
平成25,2013,11265410448,150905579,6197892683,3898121265,31432500,379387594,-,909481985,1828604414,184234093
平成26,2014,11692216914,122181955,6431035555,4049811839,31872841,366043393,-,935635241,1833030864,132631023
平成27,2015,11838678764,87255896,6601479618,4083574968,32867067,363483249,-,844529758,1784654361,117399552
平成28,2016,12053442262,53466435,6750593240,4108807777,42091295,355222605,-,850193780,1746750859,74005429
平成29,2017,12045596019,29661757,6688618811,4146379013,43423442,339432581,-,857403929,1666185894,52979442
平成30,2018,12483834168,17829840,6956293599,4195194231,44155173,339307829,-,966713176,1676134510,34289939
平成31,2019,12856052585,23155721,7244728238,4273376050,45432936,341300455,-,974370627,1641771001,32532238
令和２,2020,12873400858,35454072,7197498078,4318100265,47532232,362409531,-,983314824,1593232624,38189095
令和３,2021,12829102280,39352864,7193217880,4266729011,49395173,382650096,-,976462984,1601550463,42660781
令和４,2022,13151073833,40022526,7387951208,4361841544,51965739,389568495,-,999769373,1626170386,34375099
