年次（和暦）,年次（西暦）,世帯数,男性人口,女性人口,1k㎡当たり人口密度
大正14年,1925年,478,"1,480","1,374",464
昭和5年,1930年,692,"2,011","1,946",643
昭和10年,1935年,754,"2,132","2,135",694
昭和15年,1940年,"1,013","2,917","2,740",920
昭和22年,1947年,"1,956","4,564","4,673","1,502"
昭和25年,1950年,"2,133","5,024","5,100","1,646"
昭和30年,1955年,"3,205","7,311","7,358","2,385"
昭和35年,1960年,"6,690","12,884","12,368","4,106"
昭和40年,1965年,"11,570","20,453","19,525","6,500"
昭和45年,1970年,"19,330","31,047","29,250","9,804"
昭和50年,1975年,"24,036","36,153","33,890","11,389"
昭和55年,1980年,"26,232","36,713","34,123","11,518"
昭和60年,1985年,"28,741","38,165","35,619","11,997"
平成2年,1990年,"30,759","38,130","36,059","11,610"
平成7年,1995年,"33,210","37,747","36,909","11,683"
平成12年,2000年,"35,735","38,131","37,580","11,848"
平成17年,2005年,"37,802","39,131","39,188","12,256"
平成22年,2010年,"39,168","38,825","39,926","12,324"
平成27年,2015年,"39,458","39,206","41,043","12,559"
令和2年,2020年,"42,616","41,043","43,729","13,266"
