回答者(or No.),問１　あなたの性別を教えてください。(コード),問１　あなたの性別を教えてください。(区分),問２　あなたのふだんからよく遊んだり、やりとりする友だちは、どのような友だちですか。（コード）,問２　あなたのふだんからよく遊んだり、やりとりする友だちは、どのような友だちですか。（区分）,問３　放課後に過ごす場所／A自分の家（コード）,問３　放課後に過ごす場所／A自分の家（区分）,問３　放課後に過ごす場所／B友だちの家（コード）,問３　放課後に過ごす場所／B友だちの家（区分）,問３　放課後に過ごす場所／C塾や習い事（コード）,問３　放課後に過ごす場所／C塾や習い事（区分）,問３　放課後に過ごす場所／D児童館・児童センター（コード）,問３　放課後に過ごす場所／D児童館・児童センター（区分）,問３　放課後に過ごす場所／E学校（部活など）（コード）,問３　放課後に過ごす場所／E学校（部活など）（区分）,問３　放課後に過ごす場所／F民間等スポーツクラブの活動の場（コード）,問３　放課後に過ごす場所／F民間等スポーツクラブの活動の場（区分）,問３　放課後に過ごす場所／G公園（コード）,問３　放課後に過ごす場所／G公園（区分）,問３　放課後に過ごす場所／H図書館（コード）,問３　放課後に過ごす場所／H図書館（区分）,問３　放課後に過ごす場所／I商店街やショッピングモール（コード）,問３　放課後に過ごす場所／I商店街やショッピングモール（区分）,問３　放課後に過ごす場所／Jゲームセンター（コード）,問３　放課後に過ごす場所／Jゲームセンター（区分）,問３　放課後に過ごす場所／Kインターネット上の仮想空間（メタバースなど）（コード）,問３　放課後に過ごす場所／Kインターネット上の仮想空間（メタバースなど）（区分）,問３　放課後に過ごす場所／Lその他（具体的に ）（コード）,問３　放課後に過ごす場所／Lその他（具体的に ）（区分）,問３　休日に一番多く過ごす場所（コード）,問３　休日に一番多く過ごす場所（区分）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。（コード）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。（区分）,問５　あなたは、学校の部活動に参加していますか。（コード）,問５　あなたは、学校の部活動に参加していますか。（区分）,問５－１　参加しない理由は何ですか。（コード）,問５－１　参加しない理由は何ですか。（区分）,問６　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。（コード）,問６　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。（区分）,問７　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。（コード）,問７　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。（区分）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（コード）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（区分）,問９　あなたは、自分の健康状態についてどう感じていますか。（コード）,問９　あなたは、自分の健康状態についてどう感じていますか。（区分）,問10　全体として、あなたは最近の生活に、どのくらい満足していますか。(コード),問10　全体として、あなたは最近の生活に、どのくらい満足していますか。(区分),問11　あなたは、学校の授業がわからないことがありますか。（コード）,問11　あなたは、学校の授業がわからないことがありますか。（区分）,問11－１　いつごろから、授業がわからなくなりましたか。（コード）,問11－１　いつごろから、授業がわからなくなりましたか。（区分）,問12　勉強がわからないときは、だれに教えてもらいますか。（コード）,問12　勉強がわからないときは、だれに教えてもらいますか。（区分）,問13　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。（コード）,問13　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。（区分）,問14　あなたは、学校以外でどのような勉強をしていますか。（コード）,問14　あなたは、学校以外でどのような勉強をしていますか。（区分）,問15　あなたは、将来、どの段階まで進学したいですか。あなたの考えにもっとも近いものに〇をつけてください。（コード）,問15　あなたは、将来、どの段階まで進学したいですか。あなたの考えにもっとも近いものに〇をつけてください。（区分）,問16　問15で選んだ理由は何ですか（コード）,問16　問15で選んだ理由は何ですか（区分）,問17　Aがんばれば、むくわれると思う（コード）,問17　Aがんばれば、むくわれると思う（区分）,問17　B自分は価値のある人間だと思う（コード）,問17　B自分は価値のある人間だと思う（区分）,問17　C自分は家族に大事にされていると思う（コード）,問17　C自分は家族に大事にされていると思う（区分）,問17　Ｄ不安に感じることはないと思う（コード）,問17　Ｄ不安に感じることはないと思う（区分）,問17　Ｅ孤独を感じることはないと思う（コード）,問17　Ｅ孤独を感じることはないと思う（区分）,問17　Ｆ自分の将来が楽しみだと思う（コード）,問17　Ｆ自分の将来が楽しみだと思う（区分）,問17　Ｇ自分のことが好きだと思う（コード）,問17　Ｇ自分のことが好きだと思う（区分）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（コード）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（区分）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（コード）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（区分）,問20　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。（コード）,問20　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。（区分）,問21　あなた自身は「ヤングケアラー」にあてはまると思いますか。（コード）,問21　あなた自身は「ヤングケアラー」にあてはまると思いますか。（区分）,問22　あなたは「子どもの権利条約」について知っていますか。（コード）,問22　あなたは「子どもの権利条約」について知っていますか。（区分）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（コード）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（区分）,問24　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。（コード）,問24　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。（区分）,問25　A（家以外で）平日の放課後に夜までいることができる場所（コード）,問25　A（家以外で）平日の放課後に夜までいることができる場所（区分）,問25　B（家以外で）休日にいることができる場所（コード）,問25　B（家以外で）休日にいることができる場所（区分）,問25　C家の人がいないとき、夕ごはんをみんなで食べることができる場所（コード）,問25　C家の人がいないとき、夕ごはんをみんなで食べることができる場所（区分）,問25　D家で勉強できないとき、静かに勉強ができる場所（コード）,問25　D家で勉強できないとき、静かに勉強ができる場所（区分）,問25　E大学生のボランティアが、勉強を無料でみてくれる場所（コード）,問25　E大学生のボランティアが、勉強を無料でみてくれる場所（区分）,問25　F（学校以外で）勉強、進学、家族のことなど、何でも相談できる場所（コード）,問25　F（学校以外で）勉強、進学、家族のことなど、何でも相談できる場所（区分）,問25　G子どもに寄りそう人がいる居場所（コード）,問25　G子どもに寄りそう人がいる居場所（区分）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（コード）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（区分）
,1,男,1,学校の友だち,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,毎日,1,自分の家,1,自分の家,1,参加している,1,入りたいクラブがないから,1,ほとんどしない・全くしない,1,いつも食べる（週に５日）,1,家族（親）,1,よい,1,全く満足していない,1,いつもわかる,1,小学1・2年生のころ,1,親,1,全くしない,1,塾・家庭教師,1,中学まで,1,希望する学校ややりたい仕事があるから,1,とても思う,1,とても思う,1,とても思う,1,とても思う,1,とても思う,1,とても思う,1,とても思う,1,家族との時間や会話が多くない,1,父親・母親,1,聞いたことがあり、内容も知っている,1,あてはまる,1,くわしく知っている,1,父親・母親,1,そう思う,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,子どもが自由に自分の意見を言える場や地域活動に参加する機会をつくる
,2,女,2,学校はいっしょではないけれども、近所に住んでいる友だち,2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,"週に
３～４日",2,友だちの家,2,友だちの家,2,参加していない,2,家の事情（家族の世話、家事など）があるから,2,週に1～2回,2,食べるほうが多い（週に３、４日）,2,家族（きょうだい）,2,まあよい,2,あまり満足していない,2,だいたいわかる,2,小学3・4年生のころ,2,親以外の家族 （きょうだいやおじいちゃん・おばあちゃんなど）,2,30分より少ない,2,通信教育の教材,2,高校まで,2,自分の成績から考えて,2,思う,2,思う,2,思う,2,思う,2,思う,2,思う,2,思う,2,自分と家族との仲がよくない,2,きょうだい,2,聞いたことはあるが、よく知らない,2,あてはまらない,2,知っているが内容までは知らない,2,おじいちゃん・おばあちゃんや親せきなど,2,まあそう思う,2,"使って
みたい",2,"使って
みたい",2,"使って
みたい",2,"使って
みたい",2,"使って
みたい",2,"使って
みたい",2,"使って
みたい",2,子どもの中からまちづくりなどのリーダーが生まれるように応援する
,3,答えたくない,3,習い事の友だち,3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,"週に
１～２日",3,塾や習い事,3,塾や習い事,,,3,塾や習い事が忙いそがしいから,3,週に3～4回,3,食べないほうが多い（週に１、２日）,3,その他の家族（おじいちゃん・おばあちゃんなど）,3,ふつう,3,ふつう,3,あまりわからない,3,小学5・6年生のころ,3,学校の先生,3,30分以上、１時間より少ない,3,学校で配られる問題集など,3,短大・高専・専門学校まで,3,親がそう言っているから,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,父親と母親の仲がよくない,3,おじいちゃん・おばあちゃんや親せきなど,3,聞いたことはない,3,わからない,3,聞いたことがある,3,学校の先生（クラブや部活動の先生をふくむ）,3,どちらともいえない,3,興味がある,3,興味がある,3,興味がある,3,興味がある,3,興味がある,3,興味がある,3,興味がある,3,子どもが犯罪や危険なことにまきこまれない方法を教えてくれる（スマートフォン・インターネット、有害・危険な薬物、交通安全など）
,,,4,その他の友だち,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,そこでは全く過ごさない,4,児童館・児童センター,4,児童館・児童センター,,,4,おもしろくないから,4,週に5～6回,4,いつも食べない,4,家族以外の人,4,あまりよくない,4,満足している,4,わからないことが多い,4,中学1年生のころ,4,塾や習い事の先生,4,１時間以上、２時間より少ない,4,本屋で売っている問題集や参考書,4,大学またはそれ以上,4,兄・姉がそうしているから,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,家で落ち着いて勉強できない,4,学校の友だち,,,,,4,知らない,4,保健室の先生,4,あまりそう思わない,4,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,子どもが参加して楽しいイベントを開く
,,,5,特に仲のよい友だちはいない,,,,,,,,,,,,,,,,,,,,,,,,,5,学校（部活など）,5,学校（部活など）,,,5,いっしょに入る友だちがいないから,5,ほぼ毎日,,,5,一人で食べる,5,よくない,5,とても満足している,5,ほとんどわからない,5,中学2年生になってから,5,その他の大人,5,２時間以上、３時間より少ない,5,その他（ ）,5,まだわからない,5,まわりの先輩や友だちがそうしているか,,,,,,,,,,,,,,,5,病気の家族やおじいちゃん・おばあちゃんの世話、きょうだいのめんどうをみるのが大変,5,学校以外の友だち,,,,,,,5,スクールカウンセラー（週1回程度学校にきている相談員）など,5,全くそう思わない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,子どもが放課後や休日に、安全で気軽に過ごせる公園や居場所をつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,民間等スポーツクラブの活動の場,6,民間等スポーツクラブの活動の場,,,6,その他（具体的に,,,,,6,夕ごはんは食べない,,,,,,,6,わからない,6,友だち,6,３時間以上,6,やっていない,,,6,家にお金がないと思うから,,,,,,,,,,,,,,,6,家事（食事づくりや掃除そうじ、洗濯せんたくなど）が大変,6,学校の先生（クラブや部活動の先生をふくむ）,,,,,,,6,医師や看護師、その他病院の人,,,,,,,,,,,,,,,,,6,子どもが困りごとや心配ごとを相談できる場をつくる（いじめや虐待、将来の進学や仕事、性や異性との関係、家族・友人のことなど）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,公園,7,公園,,,,,,,,,,,,,,,,,,,7,教えてもらえる人がいない,,,,,,,7,早く働く必要があるから,,,,,,,,,,,,,,,7,食べるごはんがないときがある,7,保健室の先生,,,,,,,7,ヘルパーやケアマネジャー、福祉ふくしサービスの人,,,,,,,,,,,,,,,,,7,経済的な理由や生まれ育った環境などで子どもが困っている家庭を支援する
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,図書館,8,図書館,,,,,,,,,,,,,,,,,,,,,,,,,,,8,その他,,,,,,,,,,,,,,,8,家の中が散らかっている,8,スクールカウンセラー（週1回程度学校にきている相談員）など,,,,,,,8,市役所の人,,,,,,,,,,,,,,,,,8,子どもが将来に明るい希望を持てるような学びや体験の機会をつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,商店街やショッピングモール,9,商店街やショッピングモール,,,,,,,,,,,,,,,,,,,,,,,,,,,9,特に理由はない,,,,,,,,,,,,,,,9,家にお金がない（少ない）,9,医師や看護師、その他病院の人,,,,,,,9,インターネットで知り合った人,,,,,,,,,,,,,,,,,9,子どもがやりたいことを実現する手伝いをしてくれる仕組みをつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,ゲームセンター,10,ゲームセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,その他（ ）,10,ヘルパーやケアマネジャー、福祉サービスの人,,,,,,,10,その他の大人（児童館・児童センターの人、塾じゅく・習い事の先生、地域の人など）,,,,,,,,,,,,,,,,,,
