年度,区分,全日制都内国公立高等学校本科（人）,全日制都内私立高等学校本科（人）,全日制都外高等学校本科（人）,定時制都内国公立高等学校本科（人）,定時制都内私立高等学校本科（人）,定時制都外高等学校本科（人）,通信制公立高等学校本科（人）,通信制私立高等学校本科（人）,高等専門学校（人）,特別支援学校高等部（人）,専修学校等入学（人）,就職（人）,その他（在家庭者等）（人）
2016,男子,122,84,10,1,11,,,6,,4,3,,1
2016,女子,119,72,3,13,,,,2,,1,1,,
2017,男子,121,76,14,2,3,,,6,2,6,1,,1
2017,女子,100,77,5,3,,,,6,,2,5,,1
2018,男子,111,106,9,8,5,,,9,1,2,,,3
2018,女子,107,83,6,11,1,,,6,1,,1,,1
2019,男子,122,64,4,6,6,,,8,,6,,,1
2019,女子,122,104,1,11,,,,8,1,,,,
2020,男子,83,114,5,4,2,,,2,2,6,,,
2020,女子,87,81,7,2,,,,4,,4,,,
2021,男子,105,67,15,2,6,,,17,,2,,,
2021,女子,110,84,7,3,,,,9,1,1,,,
2022,男子,110,94,9,6,4,,,11,6,1,,,
2022,女子,124,76,5,5,,,,13,,1,,,
