学年,在籍者（人）,受診者（人）,栄養不良（人）,肥満傾向（人）,脊柱側わん症・脊柱異常（人）,胸郭異常（人）,裸眼視力測定者（人）,裸眼視力1.0以上（人）,裸眼視力1.0未満0.7以上（人）,裸眼視力0.7未満0.3以上（人）,裸眼視力0.3未満（人）,裸眼視力測定者のうち眼鏡・コンタクト装用者（人）,眼鏡・コンタクト装用のため矯正視力のみ測定者（人）,眼疾患受診者（人）,伝染性眼疾患（人）,アレルギー性眼疾患（人）,その他の眼疾患（人）,聴力受診者（人）,難聴（人）,耳鼻咽喉疾患受診者（人）,耳疾患（人）,アレルギー性鼻疾患（人）,その他の鼻・副鼻腔疾患（人）,口腔咽喉頭疾患（人）,伝染性皮膚疾患（人）,アレルギー性皮膚疾患（人）,結核受診者（人）,結核患者（人）,精密検査対象者（人）,心臓受診者（心電図検査）（人）,心臓疾患（人）,心電図異常（人）,検尿受診者（人）,尿蛋白検出（人）,尿糖検出（人）,気管支喘息（人）,腎臓疾患（人）,その他の疾病・異常（人）,歯科受診者（人）,処置完了者（人）,未処置歯のある者（人）,永久歯のう歯経験者（人）,乳歯又は永久歯要観察歯のある者（人）,歯周疾患（人）,歯周疾患要観察者（人）,歯列・噛合の異常（人）,顎関節の異常（人）,その他の歯・口腔の疾病・異常（人）,未処置歯数（Ｄ）（人）,う歯による喪失歯数（Ｍ）（人）,処置歯数（Ｆ）（人）
総児童（人）,3779,3759,,12,27,3,3324,1890,544,522,368,98,392,3760,,462,65,2597,19,3760,275,964,44,,2,236,3764,,6,595,35,5,3765,33,1,119,32,13,3740,427,436,350,110,2,2,37,,66,76,1,173
男子児童（人）,1926,1853,,7,5,2,1717,994,278,270,175,44,172,1917,,248,35,1323,7,1919,151,561,33,,2,124,1919,,2,342,19,4,1921,6,1,77,16,1,1908,200,228,159,49,1,1,24,,35,49,1,56
女子児童（人）,1853,1840,,5,22,1,1607,896,266,252,193,54,220,1843,,214,30,1274,12,1841,124,403,11,,,112,1845,,4,253,16,1,1844,27,,42,16,12,1832,227,208,191,61,1,1,13,,31,27,,117
１年男子（人）,342,342,,,,1,332,230,65,29,8,5,6,342,,47,3,344,4,343,32,93,9,,,31,342,,1,342,4,4,340,,,18,1,,342,30,36,8,6,,,5,,6,,,
１年女子（人）,294,291,,1,,,284,197,63,17,7,1,8,295,,30,6,294,3,295,24,54,3,,,22,292,,2,253,4,1,293,1,,10,3,2,294,24,25,9,4,,,1,,9,,,
２年男子（人）,332,331,,,,1,312,182,72,40,18,2,13,330,,38,7,331,2,331,22,85,8,,,16,331,,1,,2,,332,,,18,2,,330,31,36,7,13,,,9,,6,,,
２年女子（人）,340,339,,2,,,315,187,67,41,20,3,17,339,,39,7,338,4,339,27,75,5,,,24,339,,1,,2,,338,,,13,2,5,337,23,22,16,4,1,1,3,,3,,,
３年男子（人）,331,331,,2,,2,300,185,44,46,25,4,22,330,,32,4,330,1,329,21,94,3,,,19,331,,,,5,,331,,,13,6,,325,50,36,13,5,1,1,,,3,,,
３年女子（人）,325,323,,,,,288,178,34,42,34,5,30,323,,43,6,323,2,322,14,75,,,,15,325,,,,3,,324,4,,5,3,1,320,39,50,26,10,,,4,,7,,,
４年男子（人）,325,325,,2,,2,280,142,42,48,48,8,37,324,,54,9,,,325,30,100,7,,1,22,324,,,,2,,326,,1,12,4,1,322,37,42,34,9,,,2,,9,,,
４年女子（人）,298,297,,,,,255,132,39,46,38,8,41,298,,31,2,,,298,31,59,,,,16,298,,,,2,,298,4,,4,2,1,298,73,42,42,15,,,2,,5,,,
５年男子（人）,317,313,,,5,,267,144,27,58,38,9,48,315,,34,8,318,,314,19,94,3,,,19,313,,,,3,,313,3,,8,1,,341,28,42,31,8,,,4,,8,,,
５年女子（人）,319,320,,1,12,,259,116,39,53,51,20,61,320,,37,5,319,3,321,14,70,1,,,16,319,,,,1,,319,10,,7,3,1,314,36,41,47,15,,,2,,3,,,
６年男子（人）,279,277,,2,,,226,111,28,49,38,16,46,276,,43,4,,,277,27,95,3,,1,17,278,,,,3,,279,3,,8,2,,275,24,36,66,8,,,4,,3,49,1,56
６年女子（人）,277,270,,2,10,1,206,86,24,53,43,17,63,268,,34,4,,,266,14,70,2,,,19,272,,1,,4,,272,8,,3,3,2,269,32,28,51,13,,,1,,4,27,,117
