年（和暦）,年（西暦）,総数（男）,卒業者総数（男）,小中学校卒業者（男）,高校・旧中卒業者（男）,短大・高専卒業者（男）,大学・大学院卒業者（男）,在学者（男）,未就学者（男）,総数（女）,卒業者総数（女）,小中学校卒業者（女）,高校・旧中卒業者（女）,短大・高専卒業者（女）,大学・大学院卒業者（女）,在学者（女）,未就学者（女）
平成12年,2000年,"34,005","30,045","2,861","8,872","2,650","11,923","3,952",8,"33,544","30,730","3,261","11,681","7,314","5,565","2,799",15
平成22年,2010年,"33,989","30,908","2,351","7,890","2,460","12,203","3,071",8,"35,468","32,941","2,957","11,048","7,301","6,994","2,515",8
令和2年,2020年,"34,669","31,737","1,621","6,426","2,497","14,393","2,920",12,"37,991","35,390","1,750","8,936","7,825","10,134","2,586",15











,,, ,,,,,,,,,,,,,,
