回答者(or No.),問１　あなたの性別を教えてください。（コード）,問１　あなたの性別を教えてください。（区分）,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。（コード）,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。（区分）,問３　放課後／A自分の家（コード）,問３　放課後／A自分の家（区分）,問３　放課後／B友だちの家（コード）,問３　放課後／B友だちの家（区分）,問３　放課後／C塾や習い事（コード）,問３　放課後／C塾や習い事（区分）,問３　放課後／D児童館・児童センター（学童クラブふくむ）（コード）,問３　放課後／D児童館・児童センター（学童クラブふくむ）(区分),問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）（コード）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）（区分）,問３　放課後／Fスポーツクラブなどの活動の場（コード）,問３　放課後／Fスポーツクラブなどの活動の場（区分）,問３　放課後／G公園（コード）,問３　放課後／G公園（区分）,問３　放課後／H図書館（コード）,問３　放課後／H図書館（区分）,問３　放課後／I商店街やショッピングモール（コード）,問３　放課後／I商店街やショッピングモール（区分）,問３　放課後／Jゲームセンター（コード）,問３　放課後／Jゲームセンター（区分）,問３　放課後／Kインターネット上の仮想空間（メタバースなど）（コード）,問３　放課後／Kインターネット上の仮想空間（メタバースなど）（区分）,問３　放課後／Lその他（コード）,問３　放課後／Lその他（区分）,問３　休日に一番多く過ごす場所（コード）,問３　休日に一番多く過ごす場所（区分）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。（コード）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。（区分）,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。(コード),問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。(区分),問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。（コード）,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。（区分）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（コード）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（区分）,問８　あなたは、自分の健康状態についてどう感じていますか。(コード),問８　あなたは、自分の健康状態についてどう感じていますか。(区分),問９　全体として、あなたは最近の生活に、どのくらい満足していますか。（コード）,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。（区分）,問10　あなたは、学校の授業がわからないことがありますか。（コード）,問10　あなたは、学校の授業がわからないことがありますか。（区分）,問10－１　いつごろから、授業がわからなくなりましたか。（コード）,問10－１　いつごろから、授業がわからなくなりましたか。（区分）,問11　勉強がわからないときは、だれに教えてもらいますか。(コード),問11　勉強がわからないときは、だれに教えてもらいますか。(区分),問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。（コード）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。（区分）,問13　あなたは、学校以外でどのような勉強をしていますか。（コード）,問13　あなたは、学校以外でどのような勉強をしていますか。（区分）,問14　Aがんばれば、むくわれると思う（コード）,問14　Aがんばれば、むくわれると思う（区分）,問14　B自分は価値のある人間だと思う（コード）,問14　B自分は価値のある人間だと思う（区分）,問14　C自分は家族に大事にされていると思う（コード）,問14　C自分は家族に大事にされていると思う（区分）,問14　D不安に感じることはないと思う（コード）,問14　D不安に感じることはないと思う（区分）,問14　E孤独を感じることはないと思う（コード）,問14　E孤独を感じることはないと思う（区分）,問14　F自分の将来が楽しみだと思う（コード）,問14　F自分の将来が楽しみだと思う（区分）,問14　G自分のことが好きだと思う（コード）,問14　G自分のことが好きだと思う（区分）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（コード）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（区分）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（コード）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（区分）,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。（コード）,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。（区分）,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。（コード）,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。（区分）,問19　あなたは「子どもの権利条約」について知っていますか。（コード）,問19　あなたは「子どもの権利条約」について知っていますか。（区分）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（コード）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（区分）,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。（コード）,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。（区分）,問22　A（家以外で）平日の放課後に夜までいることができる場所（コード）,問22　A（家以外で）平日の放課後に夜までいることができる場所（区分）,問22　B（家以外で）休日にいることができる場所（コード）,問22　B（家以外で）休日にいることができる場所（区分）,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所（コード）,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所（区分）,問22　D家で勉強できないとき、静かに勉強ができる場所（コード）,問22　D家で勉強できないとき、静かに勉強ができる場所（区分）,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所（コード）,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所（区分）,問22　F（学校以外で）何でも相談できる場所（コード）,問22　F（学校以外で）何でも相談できる場所（区分）,問22　G子どもに寄りそう人がいる居場所（コード）,問22　G子どもに寄りそう人がいる居場所（区分）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（コード）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（区分）
,1,男,1,学校の友だち,1,放課後（毎日,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,放課後（毎日）,1,休日(毎日）,1,自分の家,1,ほとんどしない・全くしない,1,いつも食たべる（週に５日）,1,家族（親）,1,よい,1,全く満足していない,1,いつもわかる,1,１年生のころ,1,親,1,全まったくしない,1,塾・家庭教師,1,とても思おもう,1,とても思おもう,1,とても思おもう,1,とても思おもう,1,とても思おもう,1,とても思おもう,1,とても思おもう,1,家族との時間や会話が多くない,1,父親・母親,1,聞いたことがあり、内容も知っている,1,あてはまる,1,くわしく知っている,1,父親・母親,1,そう思う,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,使っている／使ったことがある,1,子どもが自由に自分の意見を言える場や地域活動に参加する機会をつくる
,2,女,2,学校はいっしょではないけれども、近所に住んでいる友だち,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,放課後（週に３～４日）,2,休日（週に３～４日）,2,友だちの家,2,週に1～2回,2,食べるほうが多い（週に３、４日）,2,家族（きょうだい）,2,まあよい,2,あまり満足していない,2,だいたいわかる,2,２年生のころ,2,親以外の家族 （きょうだいやおじいちゃん・おばあちゃんなど）,2,30分ぷんより少すくない,2,通信教育の教材,2,思う,2,思う,2,思う,2,思う,2,思う,2,思う,2,思う,2,自分と家族との仲がよくない,2,きょうだい,2,聞いたことはあるが、よく知らない,2,あてはまらない,2,知っているが内容までは知らない,2,おじいちゃん・おばあちゃんや親など,2,まあそう思う,2,使ってみたい,2,使ってみたい,,使ってみたい,2,使ってみたい,2,使ってみたい,2,使ってみたい,2,使ってみたい,2, こどもの中からまちづくりなどのリーダーが生まれるように応援する
,3,答えたくない,3,習い事の友だち,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,放課後（週に１～２日にち）,3,休日（週に１～２日）,3,塾や習事,3,週に3～4回,3,食べないほうが多（週に１、２日）,3,その他の家族（おじいちゃん・おばあちゃんなど）,3,ふつう,3,ふつう,3,あまりわからない,3,３年生のころ,3,学校の先生,3,30分以上、１時間より少ない,3,学校で配られる問題集など,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,あまり思わない,3,父親と母親の仲がよくない,3,おじいちゃん・おばあちゃんや親せきなど,3,聞いたことはない,3,わからない,3,聞いたことがある,3,学校の先生（クラブや部活動の先生をふくむ）,3,どちらともいえない,3,興味がある,3,興味がある,,興味がある,3,興味がある,3,興味がある,3,興味がある,3,興味がある,3,子どもが犯罪や危険なことにまきこまれない方法を教えてくれる（スマートフォン・インターネット、有害・危険な薬物、交通安全など）
,,,4,その他の友だち,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない）,4,放課後（そこでは全く過ごさない,4,放課後（そこでは全く過ごさない）,4,児童館・児童センター（学童クラブふくむ）,4,週に5～6回,4,いつも食べない,4,家族以外の人,4,あまりよくない,4,満足している,4,わからないことが多おおい,4,４年生のころ,4,児童館や児童センター（学童クラブをふくむ）の人,4,１時間以上、２時間より少ない,4,本屋で売っている問題集や参考書,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,思わない,4,家で落ち着いて勉強できない,4,学校の友だち,,,,,4,知らない,4,保健室の先生,4,あまりそう思わない,4,使いたくない,4,使いたくない,,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,使いたくない,4,子どもが参加して楽しいイベントを開らく
,,,5,とくに仲のよい友だちはいない,,,,,,,,,,,,,,,,,,,,,,,,,,,5,学校（クラブ活動、放課後子ども教室,5,ほぼ毎日,,,5,一人ひとりで食べる,5,よくない,5,とても満足している,5,ほとんどわからない,5,５年生になってから,5,塾や習事ごとの先生,5,２時間以上、３時間より少ない,5,その他,,,,,,,,,,,,,,,5,病気の家族やおじいちゃん・おばあちゃんの世話、きょうだいのめんどうをみるのが大変,5,学校以外の友だち,,,,,,,5,スクールカウンセラー（週1回程度学校にきている相談員）など,5,全くそう思わない,5,使う必要はない,5,使う必要はない,,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,使う必要はない,5,子どもが放課後や休日に、安全で気軽に過ごせる公園や居場所をつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,スポーツクラブなどの活動の場,,,,,6,夕ゆうごはんは食べない,,,,,,,6,わからない,6,その他の大人,6,３時間以上,6,やっていない,,,,,,,,,,,,,,,6,家事（食事作づくりや掃除、洗濯など）が大変,6,学校の先生（クラブや部活動の先生をふくむ）,,,,,,,6,医師や看護師、その他病院の人,,,,,,,,,,,,,,,,6,6,子どもが困りごとや心配ごとを相談できる場をつくる（いじめや虐待、将来の進学や仕事、性や異性との関係、家族・友人のことなど）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,公園,,,,,,,,,,,,,,,7,友ともだち,,,,,,,,,,,,,,,,,,,7,食べるごはんがないときがある,7,保健室の先生,,,,,,,7,ヘルパーやケアマネジャー、福祉サービスの人,,,,,,,,,,,,,,,,7,7,経済的な理由や生まれ育だった環境などで子どもが困っている家庭を支援する
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,図書館,,,,,,,,,,,,,,,8,教おしえてもらえる人ひとがいない,,,,,,,,,,,,,,,,,,,8,家の中が散らかっている,8,スクールカウンセラー（週1回程度学校にきている相談員）など,,,,,,,8,市役所の人,,,,,,,,,,,,,,,,8,8,子どもが将来に明るい希望を持てるような学びや体験の機会をつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,商店街やショッピングモール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,家にお金がない（少すくない）,9,医師や看護師、その他病院の人,,,,,,,9,インターネットで知り合あった人,,,,,,,,,,,,,,,,9,9,子どもがやりたいことを実現する手伝いをしてくれる仕組をつくる
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,ゲームセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,その他,10,ヘルパーやケアマネジャー、福祉サービスの人,,,,,,,10,その他の大人（児童館・児童センター（学童クラブふくむ）の人、塾・習い事の先生、プレーパークのプレーワーカー、地域の人など）,,,,,,,,,,,,,,,,,,
