回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
1,4,1,1,5,,,,1,,5,,1,,,1,2,,,1,,,,1,2,,,,1,,,,,,1,,,,,1,2,3,,,,,,,,4,1,2,3,10,12,13,15,,,,,,1,1,2,5,,,,,1,,,,,,1,2,4,6,7,,,1,3,4,,,,,,,,,,,,8,,,,,,,,1,3,4,5,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,・安心して子育てのできる環境整備　・子供の預かり所　・子供が遊べる場所　・本屋が少ない
2,5,2,1,5,,,,6,,5,,2,,,1,,,,1,,,,1,2,3,,,1,,,,,,1,,,,,3,,,,,,,,,,3,1,2,13,,,,,,,,,,1,2,,,,,,,1,2,,,,,1,2,6,7,,,,1,3,4,,,,,,,,,,,,,,,,,,,図書館に若い人がいきやすくなるようにしてほしい。,1,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,8,9,15,,,,,,,,,,,,,,,,,,,,不妊支援が広がると良い。
3,3,2,2,5,,,,6,,5,,1,,,2,,,,1,2,,,2,,,,,1,,,,,,1,2,,,,1,2,11,,,,,,,,3,1,12,13,15,,,,,,,,,1,1,5,,,,,,1,,,,,,8,,,,,,信頼できる友人,4,,,,,,,,,,,,,,8,9,,,,,,,1,3,,,,,,1,4,,,,,,,,3,,,,,,,,,1,2,5,8,12,13,,,,,,,,,,,,,,,,,,,,,,
4,4,1,1,5,,,,6,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,11,,,,,,,5,1,14,,,,,,,,,,,1,2,5,,,,,,1,,,,,,1,7,,,,,,1,4,5,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,5,6,7,8,,,,,,,,,,,,,,,,,,,,子育て支援を期待します。
5,5,2,2,1,2,,,2,,5,,1,,,1,,,,2,,,,1,3,,,,1,3,,,,,1,,,,,3,8,10,,,,,,,,1,1,3,12,13,14,,,,,,,,2,,,,,,,,,,,,,2,1,6,7,,,,,1,3,5,,,,,,,,,,,,8,,,,,,,時間がないので予約とりやすいところ。時間的にも予約う方法も思いついたらすぐ相談できる。市LINEはとても使いやすいので用途広げてほしい。,3,,,,,,,3,,,,,,,,,6,10,,,,,,,,2,2,3,4,8,9,11,13,,,,,,,,,,,,,,,,,,,日本の将来に先が見通せず、子どもがかわいそう。,・行政サービスのICT化　・市の習い事スクールを若年化する。　・奨学金支援
6,3,2,1,5,,,,6,,2,,6,,,1,,,,1,,,,1,2,3,,,1,,,,,,1,,,,,3,11,,,,,,,,,3,1,15,,,,,,,,,,,1,2,,,,,,,1,,,,,,1,3,,,,,,1,4,5,,,,,,,,,,,,10,,,,,,なし,,2,3,4,,,,,4,,,,,,,,,,,,,,,,,,2,2,5,6,8,10,11,12,13,14,15,,,,,,,,,,,,,,,,,育児金・出産後のサポート　待機児童ゼロ
7,3,1,1,5,,,,,,2,,1,,,1,2,3,,1,,,,1,2,3,4,,1,,,,,,1,,,,,1,2,6,7,8,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,4,,,,,,,1,,,,,,,,,,,,,,キャバクラ,,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,12,13,14,15,,,,,,,,,,,,,保育園が少ない。人口に対して、待機児童が多い。子供を産みづらい環境だと思う。特に若者は。
8,2,2,2,5,,,,1,,5,,1,,,1,5,,,1,5,,,1,5,,,,1,5,,,,,1,5,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,1,3,4,,,,,,,,,,,,,,,,,,,オンライン、顔出しなしで参加できるスペースがあれば、人見知りにも参加しやすくなるのではないかなと思います。テキストベースだとなお良いかと思います。,4,5,,,,,,1,9,,,,,,,愛情を感じている人と暮らせるから。子どもは関係ない。,3,6,,,,,,,,0,,,,,,,,,,,,,,,,,4,5,10,,,,,,,子どもが遺伝で苦しい思いをすると可哀想だから。,
9,,,,,,,,,,,,,,,1,2,5,,,,,,2,5,,,,1,2,5,,,,6,,,,,1,,,,,,,,,,2,1,4,13,15,,,,,,,,,2,,,,,,,,,,,,,5,1,,,,,,,1,3,4,,,,,,,,,,,,,,,,,,,,3,4,,,,,,3,,,,,,,,,12,,,,,,,,,1,1,2,5,8,11,13,15,,,,,,,,,,,,,,,,,,,,
10,3,2,2,6,,,,1,,5,,3,,,1,2,3,5,1,2,3,5,1,2,3,4,5,1,2,3,4,5,6,1,2,3,5,,1,,,,,,,,,,4,1,13,16,,,,,,,,,故郷の親の介護,1,3,5,6,,,,,1,,,,,,1,2,3,,,,,3,,,,,,,,,,,,,,,,,,,,,ネット環境の整ったオープンカフェ,,,,,,,,3,,,,,,,,,3,4,10,,,,,,,0,,,,,,,,,,,,,,,,,4,5,10,,,,,,,子どもを育て上げる自信もない。,
11,3,2,1,5,,,,6,,4,,1,,,3,,,,1,,,,1,,,,,2,,,,,,1,,,,,1,2,3,11,,,,,,,4,1,13,14,15,,,,,,,,,1,1,2,3,5,6,,,1,2,3,4,,,2,3,,,,,,3,4,,,,,,,,,,,,,10,,,,,,知らない。,・悩みではなく、同世代や同じ状況（妊婦）が集まる場所　・小さい子供がフループワークできるような集まり,3,4,5,,,,,4,,,,,,,,,,,,,,,,,,2,1,3,5,7,8,9,10,11,12,15,16,,,,,働きながら子育てができるよう、制度を充実してほしい。,,,,,,,,,,,・子育て支援。また、どのような支援があるのか、見える化してほしい。　・これからの時代、共働きが増えると思うので、子供を預けられる制度を充実させてほしい。　・出産する人に対する支援金。
12,3,2,2,6,,,,1,,5,,7,8,探し中,,,,,1,,,,2,,,,,,,,,,,,,,,,1,10,12,,,,,,,,3,1,3,10,12,15,,,,,,,,1,4,5,6,,,,,1,2,3,,,,1,2,4,7,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,・図書館（テーブルのスペース)を広くしてほしい。増やしてほしい。　・テーブルやイス、カウンターなどがある（造花でもいいから）緑溢れる空間がほしい。　ここには、家族連れというより、一人暮らしの若者や高齢者が行きやすいように! 　若者は孤独感の解消、高齢者は孤独死の削減に繋がればと思います。,6,,,,,,,3,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・国保税、住民税の減免制度（対象条件など）見直し　・観光名所（施設）の政策や広報
13,4,2,2,6,,,,1,,4,,1,,,1,3,,,,,,,1,2,3,,,1,3,,,,,,,,,,1,,,,,,,,,,4,1,2,3,4,11,12,13,,,,,,2,,,,,,,,,,,,,4,7,,,,,,,3,5,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,1,10,,,,,,,,3,1,2,3,4,5,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,
14,5,1,1,5,,,,1,,5,,1,,,1,,,,1,,,,1,2,3,,,1,2,,,,,1,,,,,1,2,3,10,11,,,,,,4,1,2,9,13,14,15,16,,,,,時間がほしい,2,,,,,,,,,,,,,5,6,7,,,,,,1,7,,,,,データが残らない。,,,,,,,,8,,,,,,,若者よりも就職氷河期世代に対する支援をしてほしい。,1,2,4,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,2,1,5,,,,6,,5,,2,,,1,,,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,2,3,11,,,,,,,4,1,9,10,12,13,14,15,,,,,,2,,,,,,,,,,,,,4,1,,,,,,,4,,,,,,,,,,,,,面倒,8,9,,,,,,気軽に入れるカフェのような場所。,1,2,3,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,身体的な理由,難病の手当てをいただいており、大変たすかっております。
16,3,2,2,5,,,,1,,3,,3,,,1,,,,3,,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,,,,2,1,10,13,14,15,,,,,,,,2,,,,,,,,,,,,,1,1,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,カフェみたいな感じで落ちつける、交流が広がりそうなとこ。,7,,,,,,インスタ等,1,1,5,8,,,,,,3,,,,,,,,,2,1,2,3,5,8,9,10,11,12,13,15,,,,,,,,,,,,,,,,何に対しても金銭的に余裕がないと難しいことが多いから、仕事見つけている人の中にも何かの資格を持ちたい人もいると思うから、補助するサービスとか、結婚に必要な物（家借りるとか）をそろえるための援助とか。
17,5,2,2,1,2,3,,1,,5,,3,,,1,3,,,1,,,,2,3,,,,1,3,,,,,1,,,,,1,2,3,6,10,,,,,,4,1,11,14,,,,,,,,,,2,,,,,,,,,,,,,3,6,8,,,,,職場の上司,5,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,1,5,7,,,,,,,1,10,,,,,,,,0,,,,,,,,,,,,,,,,,7,10,,,,,,,,病気をしてから、子育てをする自信がなくなった。事故などで失った時がこわい。,子育てをしている友達が、自分の時間がないと言っていたので、一時的にでも安く子供を預かってもらえるサービスがあると、子育ての負担が減ってよいのではと思います。スポーツ推進計画の内、体育施設の充実と活用の促進の部分ですが、現在、バドミントンサークルで市内の小中学校を利用していますが、ポールが短ったりかたむいてしまったり、ネットがボロボロだったりと、備品に不備がある小中学校があるので、何らかの支援があるといいと思います。
18,3,1,1,5,,,,1,,3,,1,,,1,,,,1,,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,2,1,2,3,10,13,14,,,,,,,1,1,2,9,,,,,1,,,,,,1,7,,,,,,1,5,,,,,,,,,,,,,8,9,,,,,,対面以外のSNSやメール、200ｍ等で相談出来る環境。,1,2,3,4,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,年の差で、妊娠が厳しいから。,
19,3,2,2,7,,,友人,1,,5,,2,,,1,2,,,1,2,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,3,1,8,11,13,,,,,,,,,1,1,5,12,,,,転職を支援して下さっている方（個人スクール）,1,2,3,4,,,1,2,7,,,,,1,3,4,5,,,,,,,,,,,8,,,,,,,,3,5,,,,,,1,3,8,,,,,,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,4,5,7,10,,,,,,子どもをもつことに興味をもてないから。,・勉強などができるフリースペースが欲しいです。
20,4,1,1,5,,,,10,パートナーと協力して。,5,,1,,,1,4,6,,1,4,6,,1,2,3,4,6,1,2,3,4,6,,1,2,3,4,6,1,2,3,6,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,,,,,1,3,4,5,,,,,,,,,,,10,,,,,,ありません,,1,2,,,,,,4,,,,,,,,,,,,,,,,,,1,1,2,3,4,5,6,8,9,10,11,12,13,14,15,,,,,,,,,,,,,これまで取り組まれてきたことを徹底していただければ、それで充分です、引き続き頑張って下さい。
