回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）（コード）,問１．あなたの年齢を教えてください。（令和５年11月25日時点）（区分）,問２．あなたの自認する性別を教えてください。（コード）,問２．あなたの自認する性別を教えてください。（区分）,問３．あなたは結婚していますか。（コード）,問３．あなたは結婚していますか。（区分）,問４．一緒に住んでいる家族を教えてください。（コード）,問４．一緒に住んでいる家族を教えてください。（区分）,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。（コード）,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。（区分）,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。（コード）,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。（区分）,問７．あなたは現在働いていますか。該当するものをお答えください。（コード）,問７．あなたは現在働いていますか。該当するものをお答えください。（区分）,問８．あなたが現在働いていない理由を教えてください。（コード）,問８．あなたが現在働いていない理由を教えてください。（区分）,問９．Ａ　会話やメール等をよくしている人（コード）,問９．Ａ　会話やメール等をよくしている人（区分）,問９．Ｂ　何でも悩みを相談できる人（コード）,問９．Ｂ　何でも悩みを相談できる人（区分）,問９．Ｃ　楽しく話せるときがある人（コード）,問９．Ｃ　楽しく話せるときがある人（区分）,問９．Ｄ　困ったときは助けてくれる人（コード）,問９．Ｄ　困ったときは助けてくれる人（区分）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（コード）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（区分）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（コード）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（区分）,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。（コード）,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。（区分）,問12．あなたは現在、悩み事はありますか。（コード）,問12．あなたは現在、悩み事はありますか。（区分）,問13．あなたの悩みごとは何ですか。（コード）,問13．あなたの悩みごとは何ですか。（区分）,問14．悩みを誰かに相談しましたか。（コード）,問14．悩みを誰かに相談しましたか。（区分）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（コード）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（区分）,問16．どのような方法で相談しましたか。また相談する予定ですか。（コード）,問16．どのような方法で相談しましたか。また相談する予定ですか。（区分）,問17．誰かに相談したいと思いますか。（コード）,問17．誰かに相談したいと思いますか。（区分）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（コード）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（区分）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（コード）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（区分）,問20．相談したくないと思う理由は何ですか。（コード）,問20．相談したくないと思う理由は何ですか。（区分）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（コード）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（区分）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（コード）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（区分）,問24．結婚についてどのように考えていますか。（コード）,問24．結婚についてどのように考えていますか。（区分）,問25．結婚したいと思う理由は何ですか。（コード）,問25．結婚したいと思う理由は何ですか。（区分）,問26．現在結婚していない理由は何ですか。（コード）,問26．現在結婚していない理由は何ですか。（区分）,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。（コード）,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。（区分）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（コード）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（区分）,問29．子どもをもたない理由は何ですか。（コード）,問29．子どもをもたない理由は何ですか。（区分）
,1,18歳・19歳,1,男,1,結婚している（事実婚含む）,1,父親,1,あなた自身,1,中学校,1,正社員・正規職員・会社役員,1,仕事をする必要がないと感じるため,1,家族・親族,1,家族・親族,1,家族・親族,1,家族・親族,1,家族・親族,1,自宅（自分の部屋）,1,全く満足していない,1,はい,1,学校生活にうまくなじめない,1,はいorする予定,1,親,1,対面,1,相談したいが相談先がわからない,1,同じ悩みを持っている、持っていたことがある人,1,匿名で（自分が誰かを知られずに）相談できる,1,相談しても解決できない、自分で解決するべきだと思うから,1,狛江市若者相談事業,1,市広報,1,結婚したい,1,経済的に余裕がもてるから,1,行動や生き方の自由が失われるから,1,理想の子どもの数（　　　　　　　　）人,1,妊娠中・出産後も同じ勤務先、部署で就業できたり、キャリアアップが可能な環境がある,1,仕事を続けるのが難しくなりそうだから
,2,20歳～24歳,2,女,2,結婚していない,2,母親,2,父親,2,高等学校,2,契約社員・嘱託・派遣社員,2,自分にあった内容や条件の仕事が見つからないため,2,学校で出会った友人,2,学校で出会った友人,2,学校で出会った友人,2,学校で出会った友人,2,学校で出会った友人,2,自宅（トイレや風呂）,2,"あまり満足して
いない",2,いいえ,2,職場の労働環境,2,いいえ,2,配偶者・恋人・パートナー,2,電話相談（オンラインによる会話を含む）,2,相談したいが、時間がない,2,同世代である人,2,電話で相談できる,2,誰にも知られたくないことだから,2,居場所事業（こまち）,2,市ホームページ,2,結婚したくない,2,社会的信用を得たり、周囲と対等になれるから,2,交際（友人等交友関係を除く）の自由が失われるから,2,子どもはもたない,2,希望どおり産休や育休が取得できたり、育児短時間勤務制度がある,2,配偶者・パートナーの家事・子育てへの協力、親の協力が期待できないから
,3,25歳～29歳,3,その他（どちらともいえない・わからない・答えたくない）,,,3,きょうだい,3,母親,3,専修学校・専門学校,3,パート・アルバイト・日雇・非常勤職員,3,介護や家庭等、自分以外の事情があるため,3,職場やアルバイト関係の人,3,職場やアルバイト関係の人,3,職場やアルバイト関係の人,3,職場やアルバイト関係の人,3,職場やアルバイト関係の人,3,自宅（家族の集まる部屋）,3,ふつう,,,3,やりたいことがわからない,,,3,きょうだい,3,SNS（チャット、メール）,3,相談したいが、解決が期待できない,3,同性である人,3,SNSやメールなどで相談できる,3,自分が変な人に思われたり、自分の欠点や失敗を悪く言われそうで不安だから,3,居場所事業（ふらっとなんぶ）,3,市ＬＩＮＥ,3,わからない,3,精神的な安らぎの場が得られるから,3,金銭的に余裕がないから,,,3,自分やパートナーの勤務先の長時間勤務の削減など働き方が見直される,3,保育サービスを利用できるかわからないから
,4,30歳～34歳,,,,,4,祖父母,4,きょうだい,4,高等専門学校・短期大学,4,自営業（家族従業者、内職、自由業、フリーランスを含む）,4,健康上の理由,4,地域の人,4,地域の人,4,地域の人,4,地域の人,4,地域の人,4,学校,4,満足している,,,4,結婚する自信がない,,,4,祖父母,4,オンラインによるビデオ通話,4,相談したいが、人としゃべるのが苦手,4,公的な支援機関の人,4,曜日・時間帯を気にせずに相談できる,4,相手がどんな人かわからず、何を聞かれるか不安に思うから,4,ちょうふ若者サポートステーション,4,市X（旧Twitter）,4,現在結婚している,4,現在愛情を感じている人と暮らせ、自分の子どもや家族をもてるから,4,家族を養う等、責任が生じるから,,,4,自分やパートナーの転勤への配慮がなされる,4,経済的に難しいから
,5,35歳～39歳,,,,,5,配偶者・パートナー,5,ほかの家族や親戚,5,大学・大学院,5,学生・生徒（予備校生含む）,5,何らかの仕事に就きたいが、求人がないため,5,インターネットを通じて知り合った人,5,インターネットを通じて知り合った人,5,インターネットを通じて知り合った人,5,インターネットを通じて知り合った人,5,インターネットを通じて知り合った人,5,職場・アルバイト先,5,とても満足している,,,5,家族とうまくいかない,,,5,友達,5,その他（　　　　　　　　　　　　　）,5,相談したいと思わない,5,民間の支援団体（NPOなど）の人,5,相談できる場所が自宅から近い,5,嫌なこと、できないことをするように言われそうだから,5,こころの健康相談室（精神保健相談）,5,掲示板（ポスター等の掲示）,,,5,生活上便利になるから,5,現在の家族や友人関係を優先したいから,,,5,パートナーの協力・理解が得られる,5,育児のかかる費用や将来の教育費が心配だから
,,,,,,,6,一人暮らし,6,配偶者・パートナー,6,フリースクール,6,専業主婦・主夫,6,妊娠等、生活状況が変わったため,6,その他,6,その他,6,その他,6,その他,6,その他,6,飲食店,,,,,6,金銭的トラブル,,,6,職場の同僚,,,,,6,医師,6,相手が自宅に来てくれる,6,相手にうまく伝えられないから,6,東京都ひきこもりサポートネット,6,公共機関等のチラシ配架,,,6,親から独立できるから,6,学業や仕事に支障が出るから,,,6,祖父母等と近居・同居等により祖父母等からの支援が得られる,6,住居が狭いから
,,,,,,,7,"その他（　　　　　　　　　　　　）
",7,友達・知人,7,その他（　　　　　　　　　　　）,7,無職,7,働きたくないため,,,,,,,,,,,7,娯楽施設,,,,,7,ネットトラブル,,,7,市役所,,,,,7,カウンセラーなど心理学の専門家,7,その他（具体的に：　　　　　　　　　　　　　　　　　　　　　　　　　　　　）,7,裏切られたり、失望するのが嫌だから,7,東京都若者総合相談センター「若ナビα」,7,その他（　　　　　　　　　　）,,,7,親を安心させたり周囲の期待にこたえられるから,7,現在の家族の世話をする必要があるから,,,7,身近に仕事と子育てを両立している手本となる人がいる,7,自分の時間がなくなるから
,,,,,,,,,8,生活保護を受給,,,,,8,その他（　　　　　　　　　　　　　　　　　　　　　　　　）,,,,,,,,,,,8,インターネット空間,,,,,8,恋人（恋愛）について,,,8,学校,,,,,8,その他（具体的に：　　　　　　　　　　　　　　　　　　　　　　　　　　　　）,8,相談しやすい環境はない,8,お金がかかると思うから,8,東京都自殺相談ダイヤル～こころといのちのほっとライン,,,,,8,ひとりだとさみしいし、老後が不安だから,8,結婚という制度にこだわらないから,,,8,子育てに関する経済的支援施策がある,8,子どもと過ごす時間が十分にとれないから
,,,,,,,,,9,わからない・答えられない,,,,,,,,,,,,,,,,,9,コンビニ,,,,,9,人間関係がうまくいかない,,,9,カウンセラー・医師,,,,,9,誰にも相談したくない,,,9,その他（具体的に：　　　　　　　　　　　　　　　　　　　　　　　　　　　）,9,こころの電話相談（東京都立多摩総合精神保健センター）,,,,,9,その他（　　　　　　　　　　　　　　　　　　　　　　　　　　　）,9,自分が望む結婚の制度がないから,,,9,不妊治療に対する助成が充実している,9,体力的に子育てをするのが難しいから
,,,,,,,,,10,その他（　　　　　　　　　　　　）,,,,,,,,,,,,,,,,,10,図書館・公民館,,,,,10,仕事の探し方,,,10,ネット上の知り合い,,,,,,,,,10,特に理由はない、わからない,10,その他　（　　　　　　　　　　　　　　　　　　　）,,,,,10,特に理由はない,10,今結婚したい相手がいないから,,,10,市で妊娠・出産・子育てまで一貫した支援がなされている,10,その他（　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　）
