組織,部長、局長,理事,課長,主幹,課長補佐,副主幹,係長,主査,主任,主事,技師(主事),保育士(主事),社会福祉士(主事),栄養士(主事),看護師、保健師(主事),技能労務(主事),再任用（短時間勤務職員を除く）,男性,女性
議会事務局,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,4
企画財政部秘書広報室,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,4
企画財政部政策室,0,0,1,0,0,0,0,3,2,5,0,0,0,0,0,0,0,6,5
企画財政部財政課,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,4,1
企画財政部未来戦略室,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
企画財政部情報政策課,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1
企画財政部市史編さん室,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
総務部総務課,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,4,2
総務部安心安全課,0,0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,8,0
総務部職員課,0,0,1,0,1,1,1,1,1,6,0,0,0,0,0,0,0,7,5
総務部施設課,0,0,1,0,1,0,1,0,2,1,3,0,0,0,0,0,0,7,2
市民生活部市民課,0,0,1,0,1,0,1,0,0,10,0,0,0,0,0,0,0,8,5
市民生活部課税課,0,0,1,0,0,0,2,0,2,14,0,0,0,0,0,0,0,12,7
市民生活部納税課,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,8,4
市民生活部地域活性課,0,0,1,0,0,0,2,0,2,8,0,0,0,0,0,0,0,5,8
福祉保健部福祉政策課,0,0,1,0,0,0,1,0,2,4,0,0,1,0,0,0,0,2,7
福祉保健部福祉相談課,0,0,1,0,0,0,2,1,4,8,0,0,7,0,1,0,0,16,8
福祉保健部高齢障がい課,0,0,1,0,0,0,3,0,3,11,0,0,2,0,0,0,0,7,13
福祉保健部保険年金課,0,0,1,0,0,0,2,0,4,5,0,0,0,0,0,0,0,4,8
福祉保健部健康推進課,0,0,1,0,1,0,2,0,1,2,0,0,0,1,4,0,0,3,9
福祉保健部新型コロナ予防接種室,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
子ども家庭部子ども政策課,0,0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,4,5
子ども家庭部児童育成課,0,0,1,0,4,0,1,12,22,7,0,34,0,1,3,2,3,11,79
子ども家庭部子ども発達支援課,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
環境部環境政策課,0,0,1,0,0,0,2,0,6,5,0,0,0,0,0,1,0,12,3
環境部下水道課,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,8,0
環境部清掃課,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,5,1
都市建設部まちづくり推進課,0,0,1,0,0,2,0,2,2,3,2,0,0,0,0,0,0,6,6
都市建設部道路交通課,0,0,1,0,1,0,2,2,3,4,1,0,0,0,0,0,0,13,1
都市建設部整備課,0,0,1,0,1,0,1,2,1,2,2,0,0,0,0,0,0,7,3
会計課,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3
教育部学校教育課,0,0,1,0,0,0,3,1,6,4,0,0,0,1,0,0,0,6,10
教育部教育支援課,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
教育部指導室,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,2
教育部社会教育課,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,5,1
教育部公民館,0,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,3,5
教育部図書館,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,4,3
選挙管理委員会,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
監査委員事務局,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
農業委員会,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
