"No","会場","所在地","電話番号","施術床数","通常実施日","経度","緯度","分類"
"1","南中野区民活動センター","弥生町5-5-2","３３８２-１４５６","2","3週木曜","139.666354101205","35.6861567510087","三療サービス実施会場所在地"
"2","南部高齢者会館","南台5-27-24","３３８１-４２６１","2","3週火曜","139.660898453958","35.6833024599498","三療サービス実施会場所在地"
"3","しんやまの家","南台4-25-1","３２２９-８１７５","2","2週木曜","139.667490446402","35.6807852251249","三療サービス実施会場所在地"
"4","本一高齢者会館","本町1-7-6","３３７３-２９５８","3","2週木曜","139.682692565423","35.6937637675912","三療サービス実施会場所在地"
"5","やよいの園（弥生高齢者在宅サービスセンター）","弥生町3-33-8","３３７０-９８４１","2","3週金曜","139.674376638726","35.6887961717645","三療サービス実施会場所在地"
"6","鍋横区民活動センター分室","本町4-44-3","３３８４-５６７８","2","2週水曜","139.669565770594","35.6965123987574","三療サービス実施会場所在地"
"7","中部すこやか福祉センター","中央3-19-1","080-7994-5199","2","3週木曜","139.67420678233","35.7003729695231","三療サービス実施会場所在地"
"8","城山ふれあいの家（さくら館）","中野1-20-4","３３６３-０３８８","2","3週木曜","139.676953447392","35.7040160738588","三療サービス実施会場所在地"
"9","宮園高齢者会館","中央2-18-21","３３６５-０３１８","3","4週木曜","139.682485610715","35.7004229776672","三療サービス実施会場所在地"
"10","中野３丁目敬老館","中野3-23-47","６３０４-８５７９","2","3週金曜","139.664106327902","35.7016301783916","三療サービス実施会場所在地"
"11","東中野いこいの家","東中野4-9-22-201","３３６４-５９３８","2","3週火曜","139.685771207837","35.7074763909635","三療サービス実施会場所在地"
"12","昭和高齢者会館","東中野3-19-18","３３６７-０８１３","2","2週水曜","139.68064042637","35.7084536237255","三療サービス実施会場所在地"
"13","上高田東高齢者会館","上高田4-17-3","３２２８-７２２０","2","2週火曜","139.677870633415","35.7128945897698","三療サービス実施会場所在地"
"14","上高田高齢者会館","上高田2-8-11","３３８５-３３０７","2","2週火曜","139.672458802044","35.7107741179762","三療サービス実施会場所在地"
"15","松が丘シニアプラザ","松が丘1-32-10","５３８０-５７６１","3","4週木曜","139.672061083615","35.7211626713389","三療サービス実施会場所在地"
"16","新井区民活動センター(高齢者集会室）","新井３－１１－４","３３８９-１４１１","3","3週火曜","139.663561935998","35.714251744636","三療サービス実施会場所在地"
"17","沼袋区民活動センター(高齢者集会室）","沼袋2-40-18","３３８９-４５７１","2","3週水曜","139.663046943301","35.7236111514129","三療サービス実施会場所在地"
"18","沼袋高齢者会館","沼袋1-34-14","３３８７-７３８１","2","2週火曜","139.665185670066","35.7197200650732","三療サービス実施会場所在地"
"19","江古田区民活動センター(高齢者集会室）","江原町2-3-15","３９５４-６８１１","2","4週火曜","139.669746450145","35.7288001639687","三療サービス実施会場所在地"
"20","みずの塔ふれあいの家","江古田1-9-24","３９５４-６７５５","2","3週金曜","139.67349102764","35.7255013780077","三療サービス実施会場所在地"
"21","野方区民活動センター分室（丸山集会室）","丸山2-24-1-109","３３３８-７０５７","3","2週水曜","139.650366553558","35.7237272515667","三療サービス実施会場所在地"
"22","野方高齢者会館","野方2-29-12","３３８８-９５８６","2","4週木曜","139.656479087588","35.7145004683725","三療サービス実施会場所在地"
"23","東山高齢者会館","野方4-41-7","３２２８-５２８０","3","2週木曜","139.656830422416","35.722091792729","三療サービス実施会場所在地"
"24","大和区民活動センター(和室）","大和町2-44-6","３３３９-６１４１","2","3週木曜","139.648953461681","35.713582810141","三療サービス実施会場所在地"
"25","鷺六高齢者会館","鷺宮6-25-8","３９２６-３６５６","2","2週火曜","139.630146263929","35.7256524782606","三療サービス実施会場所在地"
"26","白鷺高齢者会館","白鷺2-8-5","３２２３-８９３８","3","4週木曜","139.635874564324","35.7186309066159","三療サービス実施会場所在地"
"27","若宮いこいの家","若宮1-49-1","３３１０-９８１９","3","2週水曜","139.648044618322","35.7201942630389","三療サービス実施会場所在地"
"28","若宮高齢者会館","大和町4-51-11","３３３８-２２２２","2","2週木曜","139.643062677535","35.7154326928423","三療サービス実施会場所在地"
"29","鷺宮高齢者会館","若宮3-58-10","３３１０-１１７１","2","4週金曜","139.640142931816","35.7219515075545","三療サービス実施会場所在地"
"30","上鷺宮区民活動センター(２階　和室３・４号）","上鷺宮3-7-6","３９７０-９１３１","2","3週火曜","139.632135775489","35.7318951940426","三療サービス実施会場所在地"
