"年月[西暦]","調査項目","設問","選択肢","回答数[件]","構成比[%]"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","事業に関する情報がないから","35","34.3"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","参加・利用する時間がないから","2","2.0"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","環境保全に役立つかわからないから","6","5.9"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","人件費も含め費用が発生するから","26","25.5"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","経営上、ほかに優先すべきことがあるから","5","4.9"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","興味がないから","15","14.7"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","その他","15","14.7"
"202003","区の取組","Q8-2. 上記のA～Fの事業について１つも参加または利用したことがない（「１」を１つも選ばなかった）事業所にお聞きします。貴組織がこれらの事業に参加または利用しない理由は何ですか。（○はいくつでも）","無回答","33","32.4"

"港区の環境に関する事業者アンケート調査結果・単純集計表・区の取組Q8-2","Ver202003",,,,
