"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","持家（一戸建て）","478","23.1","23.7"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","持家（集合住宅）","853","41.2","42.2"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","公営賃貸住宅","290","14.0","14.4"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","民間賃貸住宅（一戸建て）","8","0.4","0.4"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","民間賃貸住宅（集合住宅）","255","12.3","12.6"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","借家","19","0.9","0.9"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","その他","116","5.6","5.7"
"202003","生活状況等について","Q5-1. あなたのお住まいの住宅は次のどれにあたりますか。（○は１つ）","無回答","50","2.4",

"港区保健福祉基礎調査（高齢者）・単純集計表・生活状況等についてQ5-1","Ver202003",,,,,
