（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,076,331",98.5%,"9,503,310",97.8%,100.0%
1,中国,"291,624",107.4%,"2,674,684",87.2%,28.1%
,(香港),"39,745",72.4%,"354,271",82.0%,3.7%
2,アメリカ,"275,229",95.9%,"2,066,072",97.5%,21.7%
3,タイ,"70,080",82.6%,"696,026",108.0%,7.3%
4,台湾,"47,515",75.4%,"464,462",93.8%,4.9%
5,ベトナム,"37,006",82.9%,"426,468",96.4%,4.5%
6,オランダ,"41,588",93.5%,"401,121",105.5%,4.2%
7,マレーシア,"43,287",137.5%,"393,344",143.6%,4.1%
8,韓国,"46,421",91.5%,"377,581",102.8%,4.0%
9,インドネシア,"40,088",137.1%,"324,598",131.5%,3.4%
10,インド,"30,969",101.5%,"254,528",97.7%,2.7%
11,フィリピン,"21,206",111.7%,"185,210",109.6%,1.9%
12,シンガポール,"20,264",77.3%,"181,143",100.5%,1.9%
13,ドイツ,"22,461",122.8%,"179,927",111.4%,1.9%
14,イギリス,"13,919",87.4%,"132,685",103.9%,1.4%
15,カナダ,"14,406",81.7%,"116,662",86.0%,1.2%
16,ロシア,"5,621",171.5%,"68,342",98.7%,0.7%
17,ブラジル,"5,362",92.6%,"54,761",95.8%,0.6%
18,アラブ首長国,"5,429",92.1%,"53,356",93.3%,0.6%
19,フランス,"5,428",103.3%,"51,752",99.7%,0.5%
20,オーストラリア,"3,636",65.9%,"38,054",84.8%,0.4%
,その他,"34,792",106.1%,"362,534",99.7%,3.8%
,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,000～9,999トン",203,"1,893,313",203,"1,893,313",192,"1,796,002",-,-,11,"97,311",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000～19,999トン",70,"1,212,749",70,"1,212,749",67,"1,165,213",-,-,3,"47,536",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,000～29,999トン",47,"1,237,108",47,"1,237,108",45,"1,186,396",-,-,2,"50,712",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,000～39,999トン",29,"993,360",27,"932,806",24,"821,722",-,-,3,"111,084",-,-,2,"60,554",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40,000～49,999トン",29,"1,232,747",27,"1,144,095",27,"1,144,095",-,-,-,-,-,-,2,"88,652",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50,000～59,999トン",12,"650,971",12,"650,971",12,"650,971",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60,000トン以上",44,"4,163,787",44,"4,163,787",44,"4,163,787",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内航計,"1,424","3,727,563","1,128","2,864,130",277,"2,013,447",197,"287,246",654,"563,437",37,"199,004",151,"202,170",30,"379,080",1,189,77,"82,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5～99トン,28,"2,156",23,"2,049",-,-,23,"2,049",-,-,-,-,-,-,-,-,-,-,5,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100～499トン,729,"275,330",592,"241,049",7,"3,493",72,"21,631",513,"215,925",5,"2,300",118,"26,321",-,-,1,189,13,"5,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
