 2-(3)入港船舶トン数階級別・船種別表,,,,,,,,,,,,,,,,,,,,(単位：隻、総トン）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トン数階級,合計,,貨物船,,,,,,,,貨客船,,客船,,カーフェリー,,漁船,,その他船舶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,計,,コンテナ船,,タンカー船,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,"1,922","15,025,651","1,543","13,888,166",679,"12,685,466",207,"274,448",657,"928,252",33,"170,780",153,"449,069",30,"379,080",1,189,162,"138,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外航計,446,"11,149,751",444,"11,036,213",417,"10,664,145",-,-,27,"372,068",-,-,2,"113,538",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5～99トン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100～499トン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500～699トン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"700～4,999トン",10,"36,131",10,"36,131",4,"19,516",-,-,6,"16,615",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,000～9,999トン",211,"1,962,525",211,"1,962,525",197,"1,845,411",-,-,14,"117,114",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000～19,999トン",65,"1,113,892",65,"1,113,892",63,"1,082,703",-,-,2,"31,189",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,000～29,999トン",42,"1,127,781",42,"1,127,781",41,"1,100,589",-,-,1,"27,192",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,000～39,999トン",26,"903,897",26,"903,897",24,"827,773",-,-,2,"76,124",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40,000～49,999トン",30,"1,293,079",30,"1,293,079",30,"1,293,079",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50,000～59,999トン",22,"1,197,512",20,"1,083,974",18,"980,140",-,-,2,"103,834",-,-,2,"113,538",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60,000トン以上",40,"3,514,934",40,"3,514,934",40,"3,514,934",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内航計,"1,476","3,875,900","1,099","2,851,953",262,"2,021,321",207,"274,448",630,"556,184",33,"170,780",151,"335,531",30,"379,080",1,189,162,"138,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5～99トン,27,"2,064",21,"1,949",-,-,21,"1,949",-,-,-,-,-,-,-,-,-,-,6,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100～499トン,732,"289,288",551,"237,722",9,"4,489",85,"27,920",457,"205,313",4,"1,840",114,"25,431",-,-,1,189,62,"24,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500～699トン,70,"44,011",52,"32,734",-,-,-,-,52,"32,734",-,-,-,-,-,-,-,-,18,"11,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
