 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,137,416",100.3%,"1,133,908","9,907,070",98.4%,"10,071,916"
,,自動車部品,"169,112",117.1%,"144,460","1,159,962",103.1%,"1,124,604"
,,再利用資材,"163,537",106.8%,"153,064","1,675,243",87.0%,"1,926,211"
,,産業機械,"162,878",103.1%,"157,951","1,449,446",102.2%,"1,417,562"
,,その他化学工業品,"155,481",108.1%,"143,840","1,336,714",100.1%,"1,335,791"
,,電気機械,"64,706",101.9%,"63,471","555,953",104.4%,"532,364"
,,金属くず,"64,276",149.1%,"43,117","408,856",102.4%,"399,323"
,,金属製品,"27,710",120.5%,"22,996","242,586",117.5%,"206,458"
,,ゴム製品,"26,463",82.5%,"32,079","265,366",96.6%,"274,702"
,輸入,合計,"3,082,280",101.4%,"3,039,623","27,014,592",99.9%,"27,028,260"
,,衣服・身廻品・はきもの,"504,328",111.2%,"453,673","3,419,435",102.4%,"3,339,655"
,,電気機械,"261,706",105.7%,"247,504","2,345,374",100.7%,"2,329,778"
,,製造食品,"216,089",98.4%,"219,684","1,874,237",102.9%,"1,820,826"
,,その他化学工業品,"196,031",108.7%,"180,324","1,732,476",106.0%,"1,635,106"
,,家具装備品,"162,138",101.0%,"160,540","1,510,408",96.3%,"1,567,656"
,,野菜・果物,"145,642",109.0%,"133,583","1,461,661",110.6%,"1,321,175"
,,その他畜産品,"134,578",101.4%,"132,685","1,236,636",103.8%,"1,191,459"
,,産業機械,"125,407",108.5%,"115,605","1,154,379",107.9%,"1,069,839"
内貿貨物,移出,合計,"1,242,517",91.6%,"1,356,197","11,785,811",99.9%,"11,799,815"
,,完成自動車,"655,820",96.3%,"681,097","5,959,101",101.8%,"5,853,957"
,,取合せ品,"229,297",87.5%,"262,048","2,237,397",101.8%,"2,198,555"
,,廃土砂,"114,154",75.5%,"151,210","1,262,859",81.0%,"1,558,886"
,,紙・パ　ル　プ,"23,373",156.6%,"14,921","145,834",108.5%,"134,447"
,,重油,"22,446",117.5%,"19,100","176,535",146.5%,"120,513"
,,飲料,"21,417",90.5%,"23,674","223,006",93.1%,"239,612"
,,その他日用品,"15,671",110.1%,"14,230","150,487",126.8%,"118,647"
,,産業機械,"15,364",83.7%,"18,359","124,556",79.5%,"156,652"
,移入,合計,"2,044,344",96.4%,"2,121,562","19,099,866",103.9%,"18,377,861"
,,完成自動車,"494,986",101.5%,"487,893","4,484,454",111.1%,"4,036,387"
,,その他の石油,"351,914",99.2%,"354,809","3,289,825",101.9%,"3,229,060"
,,砂利・砂,"328,626",92.7%,"354,566","3,201,454",101.8%,"3,145,326"
,,セメント,"230,018",104.4%,"220,247","2,041,564",107.0%,"1,907,999"
,,取合せ品,"179,040",96.4%,"185,707","1,701,289",97.8%,"1,739,968"
,,紙・パ　ル　プ,"114,791",81.0%,"141,698","1,072,496",91.1%,"1,177,538"
,,石材,"85,663",120.7%,"71,000","786,466",126.3%,"622,815"
,,鋼材,"65,757",79.7%,"82,495","827,922",102.9%,"804,373"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
