 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,922 ","15,025,651 ","18,007 ","135,439,269 ",446 ,"11,149,751 ","4,089 ","101,058,766 ","1,476 ","3,875,900 ","13,918 ","34,380,503 "
公共計,965 ,"5,539,139 ","8,845 ","49,110,347 ",175 ,"2,553,476 ","1,640 ","22,907,353 ",790 ,"2,985,663 ","7,205 ","26,202,994 "
ドルフィン,4 ,"2,726 ",32 ,"21,423 ",-,-,-,-,4 ,"2,726 ",32 ,"21,423 "
芝浦ふ頭,29 ,"68,967 ",300 ,"728,636 ",-,-,-,-,29 ,"68,967 ",300 ,"728,636 "
芝浦物揚場,26 ,"11,378 ",200 ,"87,780 ",-,-,-,-,26 ,"11,378 ",200 ,"87,780 "
日の出ふ頭,8 ,"5,496 ",67 ,"49,099 ",-,-,-,-,8 ,"5,496 ",67 ,"49,099 "
竹芝ふ頭,170 ,"360,162 ","1,461 ","3,171,476 ",-,-,-,-,170 ,"360,162 ","1,461 ","3,171,476 "
品川岸壁,145 ,"1,573,775 ","1,318 ","14,215,991 ",76 ,"764,103 ",704 ,"6,986,681 ",69 ,"809,672 ",614 ,"7,229,310 "
 品川コンテナ,79 ,"754,894 ",693 ,"6,368,191 ",75 ,"750,422 ",656 ,"6,329,965 ",4 ,"4,472 ",37 ,"38,226 "
 品川外貿,1 ,"13,681 ",48 ,"656,716 ",1 ,"13,681 ",48 ,"656,716 ",-,-,-,-
 品川内貿,65 ,"805,200 ",577 ,"7,191,084 ",-,-,-,-,65 ,"805,200 ",577 ,"7,191,084 "
晴海ふ頭,12 ,"259,424 ",68 ,"1,373,395 ",2 ,"113,538 ",10 ,"479,424 ",10 ,"145,886 ",58 ,"893,971 "
月島ふ頭,4 ,"1,320 ",32 ,"10,404 ",-,-,-,-,4 ,"1,320 ",32 ,"10,404 "
漁業基地,-,-,20 ,"27,992 ",-,-,-,-,-,-,20 ,"27,992 "
10号西岸壁,62 ,"623,097 ",558 ,"5,718,200 ",-,-,-,-,62 ,"623,097 ",558 ,"5,718,200 "
10号東岸壁,28 ,"11,616 ",289 ,"126,210 ",-,-,-,-,28 ,"11,616 ",289 ,"126,210 "
東京港フェリーふ頭,30 ,"379,080 ",260 ,"3,285,360 ",-,-,-,-,30 ,"379,080 ",260 ,"3,285,360 "
多目的ふ頭,2 ,"9,877 ",21 ,"48,000 ",-,-,-,-,2 ,"9,877 ",21 ,"48,000 "
辰巳ふ頭,67 ,"23,341 ",691 ,"243,500 ",-,-,-,-,67 ,"23,341 ",691 ,"243,500 "
青海コンテナふ頭（公共）,128 ,"1,598,816 ","1,175 ","13,778,901 ",87 ,"1,561,775 ",788 ,"13,461,396 ",41 ,"37,041 ",387 ,"317,505 "
有明ふ頭,6 ,"5,251 ",49 ,"40,821 ",-,-,-,-,6 ,"5,251 ",49 ,"40,821 "
大井水産物ふ頭,2 ,"10,806 ",10 ,"82,317 ",1 ,"6,971 ",5 ,"66,983 ",1 ,"3,835 ",5 ,"15,334 "
大井食品ふ頭（OL）,22 ,"20,735 ",118 ,"655,641 ",1 ,"17,027 ",27 ,"637,521 ",21 ,"3,708 ",91 ,"18,120 "
大井食品ふ頭（OM）,7 ,"62,870 ",76 ,"682,747 ",7 ,"62,870 ",76 ,"682,747 ",-,-,-,-
大井食品ふ頭（ON）,-,-,6 ,"69,261 ",-,-,5 ,"58,742 ",-,-,1 ,"10,519 "
若洲内貿ふ頭,11 ,"110,374 ",103 ,"1,033,502 ",-,-,-,-,11 ,"110,374 ",103 ,"1,033,502 "
15号地木材ふ頭,1 ,"27,192 ",26 ,"313,996 ",1 ,"27,192 ",10 ,"310,632 ",-,-,16 ,"3,364 "
若洲建材ふ頭,35 ,"21,093 ",258 ,"153,305 ",-,-,-,-,35 ,"21,093 ",258 ,"153,305 "
大井建材ふ頭,84 ,"48,005 ",783 ,"449,748 ",-,-,-,-,84 ,"48,005 ",783 ,"449,748 "
城南島建設発生土ふ頭,43 ,"32,810 ",562 ,"376,727 ",-,-,-,-,43 ,"32,810 ",562 ,"376,727 "
中央防波堤内側ばら物ふ頭,4 ,"1,626 ",42 ,"236,903 ",-,-,15 ,"223,227 ",4 ,"1,626 ",27 ,"13,676 "
中央防波堤内側建設発生土ふ頭,2 ,"2,852 ",65 ,"78,840 ",-,-,-,-,2 ,"2,852 ",65 ,"78,840 "
中央防波堤内側内貿ふ頭,24 ,"253,992 ",187 ,"1,969,581 ",-,-,-,-,24 ,"253,992 ",187 ,"1,969,581 "
官公庁（晴海）,3 ,"6,672 ",16 ,"49,605 ",-,-,-,-,3 ,"6,672 ",16 ,"49,605 "
官公庁（月島）,4 ,792 ,42 ,"8,314 ",-,-,-,-,4 ,792 ,42 ,"8,314 "
官公庁（有明）,2 ,"4,994 ",9 ,"22,473 ",-,-,-,-,2 ,"4,994 ",9 ,"22,473 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,359 ,"8,538,270 ","3,307 ","77,707,980 ",246 ,"8,321,531 ","2,237 ","75,876,185 ",113 ,"216,739 ","1,070 ","1,831,795 "
青海コンテナふ頭(埠頭㈱),69 ,"1,704,823 ",686 ,"17,940,946 ",58 ,"1,693,482 ",592 ,"17,823,762 ",11 ,"11,341 ",94 ,"117,184 "
お台場ライナーふ頭,35 ,"375,399 ",319 ,"2,886,993 ",17 ,"281,254 ",123 ,"2,202,987 ",18 ,"94,145 ",196 ,"684,006 "
大井コンテナふ頭,255 ,"6,458,048 ","2,302 ","56,880,041 ",171 ,"6,346,795 ","1,522 ","55,849,436 ",84 ,"111,253 ",780 ,"1,030,605 "
民間計,598 ,"948,242 ","5,855 ","8,620,942 ",25 ,"274,744 ",212 ,"2,275,228 ",573 ,"673,498 ","5,643 ","6,345,714 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
