区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12055,11954,101,0.8,5913,5867,46,0.8,6142,6088,54,0.9
〔就業状態〕／労働力人口,7833,7694,139,1.8,4444,4429,15,0.3,3389,3264,125,3.8
〔就業状態〕／労働力人口／就業者数,7578,7406,172,2.3,4291,4250,41,1,3287,3155,132,4.2
〔就業状態〕／労働力人口／就業者数／自営業主数,501,550,-49,-8.9,353,404,-51,-12.6,148,147,1,0.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,93,110,-17,-15.5,23,27,-4,-14.8,69,83,-14,-16.9
〔就業状態〕／労働力人口／就業者数／雇用者数,6946,6705,241,3.6,3894,3798,96,2.5,3052,2907,145,5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4073,3886,187,4.8,2682,2593,89,3.4,1391,1293,98,7.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2299,2262,37,1.6,772,777,-5,-0.6,1528,1484,44,3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1558,1487,71,4.8,404,395,9,2.3,1155,1093,62,5.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6472,6210,262,4.2,3722,3592,130,3.6,2750,2618,132,5
〔就業状態〕／労働力人口／完全失業者数,255,288,-33,-11.5,153,179,-26,-14.5,102,109,-7,-6.4
〔就業状態〕／非労働力人口,4219,4258,-39,-0.9,1468,1434,34,2.4,2751,2824,-73,-2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）,7578,7406,172,2.3,4291,4250,41,1,3287,3155,132,4.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7406,7222,184,2.5,4240,4195,45,1.1,3166,3027,139,4.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6313,6170,143,2.3,4061,4029,32,0.8,2252,2141,111,5.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,267,231,36,15.6,114,107,7,6.5,153,124,29,23.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,825,822,3,0.4,64,59,5,8.5,761,762,-1,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,172,183,-11,-6,51,55,-4,-7.3,121,128,-7,-5.5
〔就業者の主な産業別内訳〕／建設業,427,464,-37,-8,358,388,-30,-7.7,69,76,-7,-9.2
〔就業者の主な産業別内訳〕／製造業,695,735,-40,-5.4,456,507,-51,-10.1,239,229,10,4.4
〔就業者の主な産業別内訳〕／情報通信業,693,637,56,8.8,482,455,27,5.9,211,183,28,15.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,374,395,-21,-5.3,307,321,-14,-4.4,67,74,-7,-9.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1265,1298,-33,-2.5,643,673,-30,-4.5,622,625,-3,-0.5
〔就業者の主な産業別内訳〕／金融業，保険業,322,257,65,25.3,182,108,74,68.5,140,148,-8,-5.4
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,285,266,19,7.1,173,150,23,15.3,112,116,-4,-3.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,464,411,53,12.9,300,268,32,11.9,164,143,21,14.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,565,511,54,10.6,253,233,20,8.6,312,278,34,12.2
