区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12027,11925,102,0.9,5901,5853,48,0.8,6126,6072,54,0.9
〔就業状態〕／労働力人口,7741,7675,66,0.9,4417,4401,16,0.4,3325,3274,51,1.6
〔就業状態〕／労働力人口／就業者数,7492,7400,92,1.2,4276,4232,44,1,3216,3168,48,1.5
〔就業状態〕／労働力人口／就業者数／自営業主数,535,553,-18,-3.3,380,394,-14,-3.6,155,159,-4,-2.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,94,99,-5,-5.1,22,17,5,29.4,73,82,-9,-11
〔就業状態〕／労働力人口／就業者数／雇用者数,6817,6701,116,1.7,3847,3792,55,1.5,2971,2909,62,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4048,3916,132,3.4,2667,2595,72,2.8,1380,1321,59,4.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2231,2250,-19,-0.8,766,789,-23,-2.9,1465,1461,4,0.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1464,1459,5,0.3,394,403,-9,-2.2,1071,1056,15,1.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6372,6221,151,2.4,3667,3591,76,2.1,2704,2630,74,2.8
〔就業状態〕／労働力人口／完全失業者数,250,275,-25,-9.1,141,169,-28,-16.6,109,106,3,2.8
〔就業状態〕／非労働力人口,4281,4245,36,0.8,1481,1449,32,2.2,2800,2796,4,0.1
〔就業者の活動状態別内訳〕／就業者数（再掲）,7492,7400,92,1.2,4276,4232,44,1,3216,3168,48,1.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7304,7203,101,1.4,4214,4155,59,1.4,3090,3048,42,1.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6265,6175,90,1.5,4038,3983,55,1.4,2227,2192,35,1.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,221,209,12,5.7,109,107,2,1.9,112,102,10,9.8
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,818,820,-2,-0.2,67,65,2,3.1,751,755,-4,-0.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,188,196,-8,-4.1,62,77,-15,-19.5,126,119,7,5.9
