区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成18年平均,2006,5577,702,1014,932,714,872,1342,43,0,-15,30,-13,-6,45,0.8,0,-1.5,3.3,-1.8,-0.7,3.5
15歳以上人口／平成19年平均,2007,5684,690,990,989,733,873,1408,107,-12,-24,57,19,1,66,1.9,-1.7,-2.4,6.1,2.7,0.1,4.9
15歳以上人口／平成20年平均,2008,5715,674,966,1022,741,858,1453,31,-16,-24,33,8,-15,45,0.5,-2.3,-2.4,3.3,1.1,-1.7,3.2
15歳以上人口／平成21年平均,2009,5736,654,942,1045,757,838,1500,21,-20,-24,23,16,-20,47,0.4,-3,-2.5,2.3,2.2,-2.3,3.2
15歳以上人口／平成22年平均,2010,5753,632,921,1056,779,833,1531,17,-22,-21,11,22,-5,31,0.3,-3.4,-2.2,1.1,2.9,-0.6,2.1
15歳以上人口／平成23年平均,2011,5938,654,970,1108,819,840,1548,185,22,49,52,40,7,17,3.2,3.5,5.3,4.9,5.1,0.8,1.1
15歳以上人口／平成24年平均,2012,5962,644,954,1111,847,811,1595,24,-10,-16,3,28,-29,47,0.4,-1.5,-1.6,0.3,3.4,-3.5,3
15歳以上人口／平成25年平均,2013,5989,636,944,1106,881,773,1648,27,-8,-10,-5,34,-38,53,0.5,-1.2,-1,-0.5,4,-4.7,3.3
15歳以上人口／平成26年平均,2014,6026,630,937,1100,916,744,1699,37,-6,-7,-6,35,-29,51,0.6,-0.9,-0.7,-0.5,4,-3.8,3.1
15歳以上人口／平成27年平均,2015,6072,627,933,1093,951,727,1741,46,-3,-4,-7,35,-17,42,0.8,-0.5,-0.4,-0.6,3.8,-2.3,2.5
15歳以上人口／平成28年平均,2016,6126,629,933,1081,988,720,1775,54,2,0,-12,37,-7,34,0.9,0.3,0,-1.1,3.9,-1,2
労働力人口／平成18年平均,2006,2790,298,732,597,495,458,209,49,-4,-6,32,8,-8,25,1.8,-1.3,-0.8,5.7,1.6,-1.7,13.6
労働力人口／平成19年平均,2007,2853,308,707,621,522,477,218,63,10,-25,24,27,19,9,2.3,3.4,-3.4,4,5.5,4.1,4.3
労働力人口／平成20年平均,2008,2884,310,698,651,524,481,221,31,2,-9,30,2,4,3,1.1,0.6,-1.3,4.8,0.4,0.8,1.4
労働力人口／平成21年平均,2009,2917,294,704,700,544,456,220,33,-16,6,49,20,-25,-1,1.1,-5.2,0.9,7.5,3.8,-5.2,-0.5
労働力人口／平成22年平均,2010,2938,281,701,710,553,454,240,21,-13,-3,10,9,-2,20,0.7,-4.4,-0.4,1.4,1.7,-0.4,9.1
労働力人口／平成23年平均,2011,3084,290,739,746,584,467,260,146,9,38,36,31,13,20,5,3.2,5.4,5.1,5.6,2.9,8.3
労働力人口／平成24年平均,2012,3078,288,722,750,600,456,263,-6,-2,-17,4,16,-11,3,-0.2,-0.7,-2.3,0.5,2.7,-2.4,1.2
労働力人口／平成25年平均,2013,3160,296,730,775,639,441,278,82,8,8,25,39,-15,15,2.7,2.8,1.1,3.3,6.5,-3.3,5.7
労働力人口／平成26年平均,2014,3247,292,747,794,676,434,303,87,-4,17,19,37,-7,25,2.8,-1.4,2.3,2.5,5.8,-1.6,9
労働力人口／平成27年平均,2015,3274,286,734,791,720,438,306,27,-6,-13,-3,44,4,3,0.8,-2.1,-1.7,-0.4,6.5,0.9,1
労働力人口／平成28年平均,2016,3325,299,762,776,755,445,287,51,13,28,-15,35,7,-19,1.6,4.5,3.8,-1.9,4.9,1.6,-6.2
就業者数／平成18年平均,2006,2678,281,695,575,477,444,206,65,2,2,33,5,-2,25,2.5,0.7,0.3,6.1,1.1,-0.4,13.8
就業者数／平成19年平均,2007,2740,287,676,596,505,461,215,62,6,-19,21,28,17,9,2.3,2.1,-2.7,3.7,5.9,3.8,4.4
就業者数／平成20年平均,2008,2767,291,661,622,509,468,216,27,4,-15,26,4,7,1,1,1.4,-2.2,4.4,0.8,1.5,0.5
就業者数／平成21年平均,2009,2770,274,658,661,522,439,216,3,-17,-3,39,13,-29,0,0.1,-5.8,-0.5,6.3,2.6,-6.2,0
