年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成25年平均,2013,,348,694,602,353,1114,279,187,319,428,207,330,662,510
実数／男女計／平成26年平均,2014,,392,690,653,360,1155,254,210,317,416,217,339,672,492
実数／男女計／平成27年平均,2015,,424,675,647,343,1163,256,229,318,460,211,337,688,538
実数／男女計／平成26年４～６月平均,2014,04～06,422,707,699,389,1109,235,210,296,407,241,354,663,478
実数／男女計／平成26年７～９月平均,2014,07～09,375,670,662,350,1186,261,201,319,442,207,342,618,503
実数／男女計／平成26年10～12月平均,2014,10～12,392,647,660,352,1170,242,222,332,432,194,304,719,531
実数／男女計／平成27年１～３月平均,2015,01～03,384,667,636,335,1145,269,238,312,449,232,333,625,517
実数／男女計／平成27年４～６月平均,2015,04～06,468,652,697,317,1138,232,211,317,480,218,328,746,551
実数／男女計／平成27年７～９月平均,2015,07～09,447,698,647,357,1169,272,226,319,453,179,363,680,557
実数／男女計／平成27年10～12月平均,2015,10～12,395,682,606,365,1200,253,243,325,457,214,323,700,526
実数／男女計／平成28年１～３月平均,2016,01～03,350,670,615,356,1155,275,218,321,478,211,356,666,611
実数／男女計／平成28年４～６月平均,2016,04～06,373,728,685,308,1111,310,193,368,435,223,358,751,521
実数／男女計／平成28年７～９月平均,2016,07～09,395,718,669,330,1087,317,214,386,451,195,333,729,602
実数／男／平成25年平均,2013,,288,512,424,286,549,135,114,195,189,92,157,180,300
実数／男／平成26年平均,2014,,318,495,463,293,578,128,130,197,179,92,159,169,285
実数／男／平成27年平均,2015,,351,473,461,276,605,119,133,201,199,93,159,161,307
実数／男／平成26年４～６月平均,2014,04～06,346,515,497,318,547,119,129,192,159,98,151,153,284
実数／男／平成26年７～９月平均,2014,07～09,296,467,466,289,612,120,132,209,208,84,170,153,282
実数／男／平成26年10～12月平均,2014,10～12,314,463,468,285,568,124,132,195,189,84,146,192,309
実数／男／平成27年１～３月平均,2015,01～03,324,476,446,266,581,127,153,194,201,106,146,159,298
実数／男／平成27年４～６月平均,2015,04～06,390,455,498,258,592,124,113,196,198,93,162,161,319
実数／男／平成27年７～９月平均,2015,07～09,365,483,469,289,638,118,129,205,193,67,176,149,299
実数／男／平成27年10～12月平均,2015,10～12,325,477,429,293,609,107,137,209,205,107,150,173,311
実数／男／平成28年１～３月平均,2016,01～03,296,443,435,275,609,136,139,190,234,91,169,190,353
実数／男／平成28年４～６月平均,2016,04～06,309,527,480,236,575,164,121,209,205,107,169,188,291
