年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成25年平均,2013,,413,734,637,385,1196,283,218,436,507,267,364,701,555
実数／男女計／平成26年平均,2014,,455,733,686,388,1235,257,238,430,490,287,378,713,534
実数／男女計／平成27年平均,2015,,501,714,677,369,1236,259,259,420,520,276,371,736,582
実数／男女計／平成26年１～３月平均,2014,01～03,433,782,619,376,1240,280,231,440,470,286,389,724,496
実数／男女計／平成26年４～６月平均,2014,04～06,509,741,735,420,1195,240,249,395,495,334,411,698,518
実数／男女計／平成26年７～９月平均,2014,07～09,434,708,696,375,1248,264,225,437,508,271,383,671,539
実数／男女計／平成26年10～12月平均,2014,10～12,441,702,693,383,1256,244,246,449,486,258,330,760,584
実数／男女計／平成27年１～３月平均,2015,01～03,459,711,664,366,1221,271,271,427,510,292,362,667,560
実数／男女計／平成27年４～６月平均,2015,04～06,554,686,729,335,1207,237,245,416,549,285,376,801,606
実数／男女計／平成27年７～９月平均,2015,07～09,527,722,675,381,1220,273,252,427,509,241,400,724,596
実数／男女計／平成27年10～12月平均,2015,10～12,464,735,637,395,1298,257,266,411,511,287,347,752,568
実数／男女計／平成28年１～３月平均,2016,01～03,435,709,653,380,1235,278,249,431,538,270,380,702,647
実数／男女計／平成28年４～６月平均,2016,04～06,443,764,715,316,1181,311,221,486,477,282,391,816,564
実数／男／平成25年平均,2013,,348,541,450,315,593,137,131,275,234,116,166,205,331
実数／男／平成26年平均,2014,,375,518,488,320,624,129,147,272,216,124,169,195,313
実数／男／平成27年平均,2015,,421,494,485,301,649,121,149,270,229,124,168,189,337
実数／男／平成26年１～３月平均,2014,01～03,366,557,442,307,635,151,141,268,201,129,176,198,295
実数／男／平成26年４～６月平均,2014,04～06,424,538,524,346,597,122,152,250,205,139,166,176,305
実数／男／平成26年７～９月平均,2014,07～09,352,487,492,312,642,120,147,296,246,114,182,186,308
実数／男／平成26年10～12月平均,2014,10～12,359,490,494,314,621,125,148,273,214,115,153,219,344
実数／男／平成27年１～３月平均,2015,01～03,392,499,468,296,627,129,172,263,230,132,150,181,328
実数／男／平成27年４～６月平均,2015,04～06,467,473,524,276,628,127,129,262,229,129,176,190,354
実数／男／平成27年７～９月平均,2015,07～09,437,497,493,311,669,118,145,285,225,93,184,178,328
実数／男／平成27年10～12月平均,2015,10～12,388,507,455,321,673,108,150,268,233,143,161,207,336
実数／男／平成28年１～３月平均,2016,01～03,371,465,463,300,652,138,152,256,270,119,173,208,376
実数／男／平成28年４～６月平均,2016,04～06,374,551,504,244,619,165,137,293,226,135,177,225,318
実数／女／平成25年平均,2013,,64,194,187,70,603,145,87,161,273,151,198,496,225
実数／女／平成26年平均,2014,,79,215,198,69,611,128,91,158,273,163,209,519,221
実数／女／平成27年平均,2015,,80,220,192,68,587,139,110,151,290,152,204,547,246
実数／女／平成26年１～３月平均,2014,01～03,68,225,177,69,605,130,90,172,269,156,213,527,201
実数／女／平成26年４～６月平均,2014,04～06,85,203,211,74,598,118,97,145,290,196,245,522,213
実数／女／平成26年７～９月平均,2014,07～09,82,221,204,62,606,144,78,140,262,157,200,485,231
実数／女／平成26年10～12月平均,2014,10～12,83,211,199,69,635,120,98,176,272,143,177,541,240
実数／女／平成27年１～３月平均,2015,01～03,67,211,196,70,594,142,99,164,280,160,212,486,232
実数／女／平成27年４～６月平均,2015,04～06,87,213,205,59,579,110,116,154,320,156,201,611,252
実数／女／平成27年７～９月平均,2015,07～09,90,225,182,70,551,155,107,142,284,148,217,546,268
実数／女／平成27年10～12月平均,2015,10～12,76,229,183,74,625,148,116,143,278,144,186,545,232
実数／女／平成28年１～３月平均,2016,01～03,64,244,190,81,583,139,97,175,268,151,207,494,271
実数／女／平成28年４～６月平均,2016,04～06,68,214,211,72,562,146,83,193,251,147,215,591,245
対前年・対前年同期増減数／男女計／平成25年平均,2013,,-28,-17,43,40,26,6,-17,20,5,-14,35,61,-100
対前年・対前年同期増減数／男女計／平成26年平均,2014,,42,-1,49,3,39,-26,20,-6,-17,20,14,12,-21
対前年・対前年同期増減数／男女計／平成27年平均,2015,,46,-19,-9,-19,1,2,21,-10,30,-11,-7,23,48
対前年・対前年同期増減数／男女計／平成26年１～３月平均,2014,01～03,-2,69,37,-1,64,-34,0,40,-46,33,18,1,-68
対前年・対前年同期増減数／男女計／平成26年４～６月平均,2014,04～06,42,22,95,17,47,-42,10,-72,-7,44,16,30,-26
対前年・対前年同期増減数／男女計／平成26年７～９月平均,2014,07～09,73,-21,22,1,11,6,21,-24,1,18,32,-36,18
対前年・対前年同期増減数／男女計／平成26年10～12月平均,2014,10～12,53,-76,42,-5,31,-33,48,32,-18,-14,-8,53,-8
対前年・対前年同期増減数／男女計／平成27年１～３月平均,2015,01～03,26,-71,45,-10,-19,-9,40,-13,40,6,-27,-57,64
対前年・対前年同期増減数／男女計／平成27年４～６月平均,2015,04～06,45,-55,-6,-85,12,-3,-4,21,54,-49,-35,103,88
対前年・対前年同期増減数／男女計／平成27年７～９月平均,2015,07～09,93,14,-21,6,-28,9,27,-10,1,-30,17,53,57
対前年・対前年同期増減数／男女計／平成27年10～12月平均,2015,10～12,23,33,-56,12,42,13,20,-38,25,29,17,-8,-16
