年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成26年平均,2014,,455,733,686,388,1235,257,238,430,490,287,378,713,534
実数／男女計／平成27年平均,2015,,501,714,677,369,1236,259,259,420,520,276,371,736,582
実数／男女計／平成28年平均,2016,,445,731,692,356,1210,308,253,473,524,274,376,763,604
実数／男女計／平成26年７～９月平均,2014,07～09,434,708,696,375,1248,264,225,437,508,271,383,671,539
実数／男女計／平成26年10～12月平均,2014,10～12,441,702,693,383,1256,244,246,449,486,258,330,760,584
実数／男女計／平成27年１～３月平均,2015,01～03,459,711,664,366,1221,271,271,427,510,292,362,667,560
実数／男女計／平成27年４～６月平均,2015,04～06,554,686,729,335,1207,237,245,416,549,285,376,801,606
実数／男女計／平成27年７～９月平均,2015,07～09,527,722,675,381,1220,273,252,427,509,241,400,724,596
実数／男女計／平成27年10～12月平均,2015,10～12,464,735,637,395,1298,257,266,411,511,287,347,752,568
実数／男女計／平成28年１～３月平均,2016,01～03,435,709,653,380,1235,278,249,431,538,270,380,702,647
実数／男女計／平成28年４～６月平均,2016,04～06,443,764,715,316,1181,311,221,486,477,282,391,816,564
実数／男女計／平成28年７～９月平均,2016,07～09,474,755,707,353,1159,321,257,510,516,248,364,773,641
実数／男女計／平成28年10～12月平均,2016,10～12,427,695,693,374,1265,322,285,464,565,298,367,761,565
実数／男／平成26年平均,2014,,375,518,488,320,624,129,147,272,216,124,169,195,313
実数／男／平成27年平均,2015,,421,494,485,301,649,121,149,270,229,124,168,189,337
実数／男／平成28年平均,2016,,376,497,492,284,628,161,152,295,243,123,171,209,344
実数／男／平成26年７～９月平均,2014,07～09,352,487,492,312,642,120,147,296,246,114,182,186,308
実数／男／平成26年10～12月平均,2014,10～12,359,490,494,314,621,125,148,273,214,115,153,219,344
実数／男／平成27年１～３月平均,2015,01～03,392,499,468,296,627,129,172,263,230,132,150,181,328
実数／男／平成27年４～６月平均,2015,04～06,467,473,524,276,628,127,129,262,229,129,176,190,354
実数／男／平成27年７～９月平均,2015,07～09,437,497,493,311,669,118,145,285,225,93,184,178,328
実数／男／平成27年10～12月平均,2015,10～12,388,507,455,321,673,108,150,268,233,143,161,207,336
実数／男／平成28年１～３月平均,2016,01～03,371,465,463,300,652,138,152,256,270,119,173,208,376
実数／男／平成28年４～６月平均,2016,04～06,374,551,504,244,619,165,137,293,226,135,177,225,318
実数／男／平成28年７～９月平均,2016,07～09,401,518,518,287,598,159,145,331,222,102,159,192,368
実数／男／平成28年10～12月平均,2016,10～12,358,456,482,307,643,182,173,300,253,135,175,209,314
実数／女／平成26年平均,2014,,79,215,198,69,611,128,91,158,273,163,209,519,221
実数／女／平成27年平均,2015,,80,220,192,68,587,139,110,151,290,152,204,547,246
実数／女／平成28年平均,2016,,69,233,200,72,582,147,101,178,281,152,205,554,260
実数／女／平成26年７～９月平均,2014,07～09,82,221,204,62,606,144,78,140,262,157,200,485,231
実数／女／平成26年10～12月平均,2014,10～12,83,211,199,69,635,120,98,176,272,143,177,541,240
