区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12034,11932,102,0.9,5904,5856,48,0.8,6130,6076,54,0.9
〔就業状態〕／労働力人口,7741,7751,-10,-0.1,4426,4404,22,0.5,3315,3347,-32,-1
〔就業状態〕／労働力人口／就業者数,7474,7476,-2,0,4279,4239,40,0.9,3195,3237,-42,-1.3
〔就業状態〕／労働力人口／就業者数／自営業主数,529,586,-57,-9.7,376,403,-27,-6.7,154,183,-29,-15.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,87,103,-16,-15.5,17,12,5,41.7,70,91,-21,-23.1
〔就業状態〕／労働力人口／就業者数／雇用者数,6810,6743,67,1,3855,3796,59,1.6,2955,2947,8,0.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4078,3976,102,2.6,2666,2578,88,3.4,1412,1398,14,1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2180,2252,-72,-3.2,773,823,-50,-6.1,1408,1429,-21,-1.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1385,1416,-31,-2.2,393,406,-13,-3.2,992,1010,-18,-1.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6369,6241,128,2.1,3661,3584,77,2.1,2708,2656,52,2
〔就業状態〕／労働力人口／完全失業者数,267,275,-8,-2.9,147,165,-18,-10.9,120,110,10,9.1
〔就業状態〕／非労働力人口,4291,4170,121,2.9,1478,1444,34,2.4,2813,2725,88,3.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,7474,7476,-2,0,4279,4239,40,0.9,3195,3237,-42,-1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7315,7306,9,0.1,4220,4161,59,1.4,3095,3145,-50,-1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6296,6271,25,0.4,4032,3995,37,0.9,2264,2275,-11,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,212,198,14,7.1,117,100,17,17,94,98,-4,-4.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,807,838,-31,-3.7,70,66,4,6.1,737,771,-34,-4.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,159,170,-11,-6.5,59,78,-19,-24.4,100,92,8,8.7
〔就業者の主な産業別内訳〕／建設業,443,554,-111,-20,374,467,-93,-19.9,68,87,-19,-21.8
〔就業者の主な産業別内訳〕／製造業,764,686,78,11.4,551,473,78,16.5,214,213,1,0.5
〔就業者の主な産業別内訳〕／情報通信業,715,729,-14,-1.9,504,524,-20,-3.8,211,205,6,2.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,316,335,-19,-5.7,244,276,-32,-11.6,72,59,13,22
〔就業者の主な産業別内訳〕／卸売業，小売業,1181,1207,-26,-2.2,619,628,-9,-1.4,562,579,-17,-2.9
〔就業者の主な産業別内訳〕／金融業，保険業,311,237,74,31.2,165,127,38,29.9,146,110,36,32.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,221,245,-24,-9.8,137,129,8,6.2,83,116,-33,-28.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,486,416,70,16.8,293,262,31,11.8,193,154,39,25.3
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,477,549,-72,-13.1,226,229,-3,-1.3,251,320,-69,-21.6
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,282,285,-3,-1.1,135,129,6,4.7,147,156,-9,-5.8
〔就業者の主な産業別内訳〕／教育，学習支援業,391,376,15,4,177,176,1,0.6,215,201,14,7
〔就業者の主な産業別内訳〕／医療，福祉,816,801,15,1.9,225,190,35,18.4,591,611,-20,-3.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,564,606,-42,-6.9,318,354,-36,-10.2,245,252,-7,-2.8
〔雇用者の主な産業別内訳〕／建設業,373,468,-95,-20.3,309,390,-81,-20.8,64,77,-13,-16.9
〔雇用者の主な産業別内訳〕／製造業,728,652,76,11.7,527,455,72,15.8,201,197,4,2
〔雇用者の主な産業別内訳〕／情報通信業,685,697,-12,-1.7,480,498,-18,-3.6,205,199,6,3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,308,317,-9,-2.8,236,258,-22,-8.5,72,59,13,22
〔雇用者の主な産業別内訳〕／卸売業，小売業,1111,1138,-27,-2.4,575,592,-17,-2.9,536,546,-10,-1.8
〔雇用者の主な産業別内訳〕／金融業，保険業,310,232,78,33.6,164,124,40,32.3,146,108,38,35.2
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,193,211,-18,-8.5,121,113,8,7.1,72,97,-25,-25.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,368,317,51,16.1,209,196,13,6.6,158,121,37,30.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,435,480,-45,-9.4,205,198,7,3.5,230,282,-52,-18.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,223,218,5,2.3,107,93,14,15.1,116,125,-9,-7.2
〔雇用者の主な産業別内訳〕／教育，学習支援業,358,328,30,9.1,169,162,7,4.3,188,166,22,13.3
〔雇用者の主な産業別内訳〕／医療，福祉,751,746,5,0.7,188,161,27,16.8,563,585,-22,-3.8
