男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成24年平均,2012,441,751,594,345,1170,277,235,416,502,281,329,640,655,435
実数／男女計／平成25年平均,2013,413,734,637,385,1196,283,218,436,507,267,364,701,555,467
実数／男女計／平成26年平均,2014,455,733,686,388,1235,257,238,430,490,287,378,713,534,487
実数／男女計／平成27年平均,2015,501,714,677,369,1236,259,259,420,520,276,371,736,582,479
実数／男女計／平成28年平均,2016,445,731,692,356,1210,308,253,473,524,274,376,763,604,482
実数／男／平成24年平均,2012,368,542,426,279,595,148,152,268,228,133,145,190,360,297
実数／男／平成25年平均,2013,348,541,450,315,593,137,131,275,234,116,166,205,331,287
実数／男／平成26年平均,2014,375,518,488,320,624,129,147,272,216,124,169,195,313,293
実数／男／平成27年平均,2015,421,494,485,301,649,121,149,270,229,124,168,189,337,295
実数／男／平成28年平均,2016,376,497,492,284,628,161,152,295,243,123,171,209,344,301
実数／女／平成24年平均,2012,73,208,168,66,575,129,83,148,274,148,184,451,295,138
実数／女／平成25年平均,2013,64,194,187,70,603,145,87,161,273,151,198,496,225,178
実数／女／平成26年平均,2014,79,215,198,69,611,128,91,158,273,163,209,519,221,195
実数／女／平成27年平均,2015,80,220,192,68,587,139,110,151,290,152,204,547,246,183
実数／女／平成28年平均,2016,69,233,200,72,582,147,101,178,281,152,205,554,260,182
対前年増減数／男女計／平成25年平均,2013,-28,-17,43,40,26,6,-17,20,5,-14,35,61,-100,32
対前年増減数／男女計／平成26年平均,2014,42,-1,49,3,39,-26,20,-6,-17,20,14,12,-21,20
対前年増減数／男女計／平成27年平均,2015,46,-19,-9,-19,1,2,21,-10,30,-11,-7,23,48,-8
対前年増減数／男女計／平成28年平均,2016,-56,17,15,-13,-26,49,-6,53,4,-2,5,27,22,3
対前年増減数／男／平成25年平均,2013,-20,-1,24,36,-2,-11,-21,7,6,-17,21,15,-29,-10
対前年増減数／男／平成26年平均,2014,27,-23,38,5,31,-8,16,-3,-18,8,3,-10,-18,6
対前年増減数／男／平成27年平均,2015,46,-24,-3,-19,25,-8,2,-2,13,0,-1,-6,24,2
対前年増減数／男／平成28年平均,2016,-45,3,7,-17,-21,40,3,25,14,-1,3,20,7,6
対前年増減数／女／平成25年平均,2013,-9,-14,19,4,28,16,4,13,-1,3,14,45,-70,40
対前年増減数／女／平成26年平均,2014,15,21,11,-1,8,-17,4,-3,0,12,11,23,-4,17
対前年増減数／女／平成27年平均,2015,1,5,-6,-1,-24,11,19,-7,17,-11,-5,28,25,-12
対前年増減数／女／平成28年平均,2016,-11,13,8,4,-5,8,-9,27,-9,0,1,7,14,-1
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成28年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
