区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11974,11873,101,0.9,5876,5830,46,0.8,6098,6044,54,0.9
〔就業状態〕／労働力人口,7614,7560,54,0.7,4352,4344,8,0.2,3263,3216,47,1.5
〔就業状態〕／労働力人口／就業者数,7349,7276,73,1,4213,4174,39,0.9,3136,3102,34,1.1
〔就業状態〕／労働力人口／就業者数／自営業主数,537,558,-21,-3.8,371,385,-14,-3.6,167,173,-6,-3.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,104,102,2,2,26,17,9,52.9,77,85,-8,-9.4
〔就業状態〕／労働力人口／就業者数／雇用者数,6657,6564,93,1.4,3786,3737,49,1.3,2871,2827,44,1.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3944,3774,170,4.5,2640,2559,81,3.2,1304,1215,89,7.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2187,2243,-56,-2.5,750,761,-11,-1.4,1437,1482,-45,-3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1441,1470,-29,-2,377,397,-20,-5,1064,1073,-9,-0.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6259,6109,150,2.5,3624,3549,75,2.1,2635,2560,75,2.9
〔就業状態〕／労働力人口／完全失業者数,266,285,-19,-6.7,139,170,-31,-18.2,127,115,12,10.4
〔就業状態〕／非労働力人口,4357,4306,51,1.2,1523,1483,40,2.7,2834,2823,11,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）,7349,7276,73,1,4213,4174,39,0.9,3136,3102,34,1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7160,7070,90,1.3,4147,4091,56,1.4,3014,2979,35,1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6151,6056,95,1.6,3987,3917,70,1.8,2163,2139,24,1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,196,200,-4,-2,105,113,-8,-7.1,91,87,4,4.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,814,815,-1,-0.1,55,62,-7,-11.3,759,753,6,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,188,206,-18,-8.7,66,83,-17,-20.5,122,122,0,0
〔就業者の主な産業別内訳〕／建設業,435,459,-24,-5.2,371,392,-21,-5.4,64,67,-3,-4.5
〔就業者の主な産業別内訳〕／製造業,709,711,-2,-0.3,465,499,-34,-6.8,244,211,33,15.6
〔就業者の主な産業別内訳〕／情報通信業,653,664,-11,-1.7,463,468,-5,-1.1,190,196,-6,-3.1
〔就業者の主な産業別内訳〕／運輸業，郵便業,380,366,14,3.8,300,296,4,1.4,81,70,11,15.7
〔就業者の主な産業別内訳〕／卸売業，小売業,1235,1221,14,1.1,652,627,25,4,583,594,-11,-1.9
〔就業者の主な産業別内訳〕／金融業，保険業,278,271,7,2.6,138,129,9,7,139,142,-3,-2.1
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,249,271,-22,-8.1,152,172,-20,-11.6,97,99,-2,-2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,431,427,4,0.9,256,263,-7,-2.7,175,164,11,6.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,538,510,28,5.5,270,230,40,17.4,268,280,-12,-4.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,270,292,-22,-7.5,119,132,-13,-9.8,151,160,-9,-5.6
〔就業者の主な産業別内訳〕／教育，学習支援業,380,362,18,5,173,150,23,15.3,207,212,-5,-2.4
〔就業者の主な産業別内訳〕／医療，福祉,702,667,35,5.2,208,181,27,14.9,494,486,8,1.6
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,647,560,87,15.5,376,328,48,14.6,271,232,39,16.8
〔雇用者の主な産業別内訳〕／建設業,350,384,-34,-8.9,296,324,-28,-8.6,55,60,-5,-8.3
〔雇用者の主な産業別内訳〕／製造業,670,667,3,0.4,443,476,-33,-6.9,226,191,35,18.3
〔雇用者の主な産業別内訳〕／情報通信業,615,636,-21,-3.3,435,446,-11,-2.5,180,190,-10,-5.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,356,335,21,6.3,275,266,9,3.4,81,69,12,17.4
〔雇用者の主な産業別内訳〕／卸売業，小売業,1155,1145,10,0.9,609,581,28,4.8,546,564,-18,-3.2
〔雇用者の主な産業別内訳〕／金融業，保険業,275,269,6,2.2,136,127,9,7.1,139,141,-2,-1.4
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,218,238,-20,-8.4,139,153,-14,-9.2,79,85,-6,-7.1
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,321,312,9,2.9,190,194,-4,-2.1,132,118,14,11.9
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,478,449,29,6.5,234,201,33,16.4,244,248,-4,-1.6
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,232,-21,-9.1,91,106,-15,-14.2,120,125,-5,-4
〔雇用者の主な産業別内訳〕／教育，学習支援業,356,333,23,6.9,169,146,23,15.8,187,187,0,0
〔雇用者の主な産業別内訳〕／医療，福祉,666,625,41,6.6,190,159,31,19.5,476,466,10,2.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,611,517,94,18.2,353,298,55,18.5,259,219,40,18.3
〔非農林業雇用者の従業者規模別内訳〕／総数,6649,6553,96,1.5,3780,3729,51,1.4,2869,2824,45,1.6
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1692,1719,-27,-1.6,949,973,-24,-2.5,744,746,-2,-0.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2043,2001,42,2.1,1111,1089,22,2,932,912,20,2.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2398,2310,88,3.8,1423,1387,36,2.6,975,922,53,5.7
〔完全失業率（年齢階級別）(%)〕／総数,3.5,3.8,-0.3,-,3.2,3.9,-0.7,-,3.9,3.6,0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.8,5,1.8,-,5.3,4.7,0.6,-,8.3,5.4,2.9,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.9,4.8,-0.9,-,4.2,5.1,-0.9,-,3.5,4.6,-1.1,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.7,3.4,-0.7,-,2.3,3.5,-1.2,-,3.3,3.2,0.1,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.6,2.9,0.7,-,2.9,2.9,0,-,4.6,3,1.6,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.6,3.9,-0.3,-,3.9,4.2,-0.3,-,3.3,3.4,-0.1,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,3.3,-1.4,-,2,4,-2,-,1.7,2.1,-0.4,-
〔労働力人口比率(%)〕／総数,63.6,63.7,-0.1,-,74.1,74.5,-0.4,-,53.5,53.2,0.3,-
,,,,,,,,,,,,
東京の労働力統計データ（平成28年1～3月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成28年1～3月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
