男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成24年平均,2012,372,713,565,319,1082,274,197,304,428,221,298,604,611,361
実数／男女計／平成25年平均,2013,348,694,602,353,1114,279,187,319,428,207,330,662,510,392
実数／男女計／平成26年平均,2014,392,690,653,360,1155,254,210,317,416,217,339,672,492,420
実数／男女計／平成27年平均,2015,424,675,647,343,1163,256,229,318,460,211,337,688,538,406
実数／男女計／平成28年平均,2016,374,696,660,335,1137,306,220,364,467,214,347,711,564,416
実数／男／平成24年平均,2012,305,515,406,254,546,145,132,185,191,104,139,166,331,252
実数／男／平成25年平均,2013,288,512,424,286,549,135,114,195,189,92,157,180,300,247
実数／男／平成26年平均,2014,318,495,463,293,578,128,130,197,179,92,159,169,285,256
実数／男／平成27年平均,2015,351,473,461,276,605,119,133,201,199,93,159,161,307,249
実数／男／平成28年平均,2016,311,477,469,264,584,160,134,224,209,94,163,179,317,257
実数／女／平成24年平均,2012,67,198,159,65,536,128,65,119,237,117,159,438,280,109
実数／女／平成25年平均,2013,60,182,177,67,565,144,72,124,239,116,173,482,209,144
実数／女／平成26年平均,2014,74,196,190,66,576,126,81,119,238,125,180,503,207,164
実数／女／平成27年平均,2015,72,202,186,67,558,137,96,117,261,117,178,527,231,156
実数／女／平成28年平均,2016,63,219,191,71,552,146,86,140,258,121,184,533,247,158
対前年増減数／男女計／平成25年平均,2013,-24,-19,37,34,32,5,-10,15,0,-14,32,58,-101,31
対前年増減数／男女計／平成26年平均,2014,44,-4,51,7,41,-25,23,-2,-12,10,9,10,-18,28
対前年増減数／男女計／平成27年平均,2015,32,-15,-6,-17,8,2,19,1,44,-6,-2,16,46,-14
対前年増減数／男女計／平成28年平均,2016,-50,21,13,-8,-26,50,-9,46,7,3,10,23,26,10
対前年増減数／男／平成25年平均,2013,-17,-3,18,32,3,-10,-18,10,-2,-12,18,14,-31,-5
対前年増減数／男／平成26年平均,2014,30,-17,39,7,29,-7,16,2,-10,0,2,-11,-15,9
対前年増減数／男／平成27年平均,2015,33,-22,-2,-17,27,-9,3,4,20,1,0,-8,22,-7
対前年増減数／男／平成28年平均,2016,-40,4,8,-12,-21,41,1,23,10,1,4,18,10,8
対前年増減数／女／平成25年平均,2013,-7,-16,18,2,29,16,7,5,2,-1,14,44,-71,35
対前年増減数／女／平成26年平均,2014,14,14,13,-1,11,-18,9,-5,-1,9,7,21,-2,20
対前年増減数／女／平成27年平均,2015,-2,6,-4,1,-18,11,15,-2,23,-8,-2,24,24,-8
対前年増減数／女／平成28年平均,2016,-9,17,5,4,-6,9,-10,23,-3,4,6,6,16,2
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成28年平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
