男女・年,西暦(年),専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成26年平均,2014,1578,1851,1106,883,553,393,946
実数／男女計／平成27年平均,2015,1617,1868,1085,901,536,425,967
実数／男女計／平成28年平均,2016,1650,1977,1116,889,508,423,929
実数／男／平成26年平均,2014,957,757,668,344,390,242,825
実数／男／平成27年平均,2015,984,760,663,350,379,253,841
実数／男／平成28年平均,2016,996,836,678,353,353,256,805
実数／女／平成26年平均,2014,621,1095,438,539,163,151,123
実数／女／平成27年平均,2015,633,1108,422,551,157,171,126
実数／女／平成28年平均,2016,654,1141,438,536,155,166,125
対前年増減数／男女計／平成27年平均,2015,39,17,-21,18,-17,32,21
対前年増減数／男女計／平成28年平均,2016,33,109,31,-12,-28,-2,-38
対前年増減数／男／平成27年平均,2015,27,3,-5,6,-11,11,16
対前年増減数／男／平成28年平均,2016,12,76,15,3,-26,3,-36
対前年増減数／女／平成27年平均,2015,12,13,-16,12,-6,20,3
対前年増減数／女／平成28年平均,2016,21,33,16,-15,-2,-5,-1
,,,,,,,,
東京の労働力統計データ（平成28年平均）,,,,,,,,
第６表　主な職業別就業者数,,,,,,,,
注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）には、[管理的職業従事者」「保安職業従事者」「農林漁業従事者」「輸送・機械運転従事者」「建設・採掘従事者」及び「分類不能の職業」が含まれている。,,,,,,,,
