"年度","区分","小学校・低学年[人]","小学校・高学年[人]","中学生[人]","高校生[人]","合計[人]"
"2020","障害別 知的障害","8","6","1","2","17"
"2020","障害別 身体障害","8","6","1","2","17"
"2020","障害別 重複障害","8","6","1","2","17"
"2020","障害等級 愛の手帳 １度","0","2","0","1","3"
"2020","障害等級 愛の手帳 ２度","2","4","0","0","6"
"2020","障害等級 愛の手帳 ３度","0","0","1","0","1"
"2020","障害等級 身体障害者手帳　１級","7","2","0","2","11"
"2020","障害等級 身体障害者手帳　２級","1","4","1","0","6"
"2020","障害等級 身体障害者手帳　３級","0","0","0","0","0"
"2020","障害等級 身体障害者手帳　４級","0","0","0","0","0"

"令和3年度港区行政資料集　放課後等デイサービス事業","Ver202103",,,,,
