,,,,,,,,,,,,（単位：隻、総トン）,
,平成30年(2018年),,,,,,平成29年(2017年),,,,,,
係留施設,合計,,内航,,外航,,合計,,内航,,外航,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,
合計,"24,374 ","182,980,285 ","18,870 ","45,552,781 ","5,504 ","137,427,504 ","23,604 ","174,745,700 ","18,249 ","43,969,038 ","5,355 ","130,776,662 ",
公共計,"11,941 ","66,489,035 ","9,723 ","34,513,252 ","2,218 ","31,975,783 ","12,050 ","62,019,581 ","9,956 ","34,462,993 ","2,094 ","27,556,588 ",
ドルフィン,49 ,"32,373 ",49 ,"32,373 ",-,-,39 ,"25,509 ",39 ,"25,509 ",-,-,
芝浦ふ頭,411 ,"1,006,629 ",411 ,"1,006,629 ",-,-,465 ,"1,063,247 ",465 ,"1,063,247 ",-,-,
芝浦物揚場,288 ,"127,380 ",288 ,"127,380 ",-,-,307 ,"121,336 ",307 ,"121,336 ",-,-,
日の出ふ頭,91 ,"65,751 ",91 ,"65,751 ",-,-,100 ,"67,045 ",100 ,"67,045 ",-,-,
竹芝ふ頭,"1,893 ","4,284,303 ","1,893 ","4,284,303 ",-,-,"1,929 ","4,268,108 ","1,929 ","4,268,108 ",-,-,
品川岸壁,"1,780 ","19,102,843 ",844 ,"9,804,007 ",936 ,"9,298,836 ","1,708 ","18,132,361 ",802 ,"9,384,237 ",906 ,"8,748,124 ",
　品川コンテナ,945 ,"8,673,376 ",59 ,"58,619 ",886 ,"8,614,757 ",934 ,"8,547,961 ",51 ,"51,697 ",883 ,"8,496,264 ",
　品川外貿,50 ,"684,079 ",-,-,50 ,"684,079 ",23 ,"251,860 ",-,-,23 ,"251,860 ",
　品川内貿,785 ,"9,745,388 ",785 ,"9,745,388 ",-,-,751 ,"9,332,540 ",751 ,"9,332,540 ",-,-,
晴海ふ頭,88 ,"1,904,567 ",54 ,"335,893 ",34 ,"1,568,674 ",91 ,"1,573,373 ",70 ,"697,773 ",21 ,"875,600 ",
月島ふ頭,47 ,"15,578 ",47 ,"15,578 ",-,-,45 ,"15,388 ",45 ,"15,388 ",-,-,
漁業基地,25 ,"34,706 ",23 ,"32,284 ",2 ,"2,422 ",28 ,"39,481 ",27 ,"38,270 ",1 ,"1,211 ",
10号西岸壁,753 ,"7,715,670 ",753 ,"7,715,670 ",-,-,759 ,"7,622,489 ",759 ,"7,622,489 ",-,-,
10号東岸壁,418 ,"182,644 ",418 ,"182,644 ",-,-,402 ,"172,459 ",402 ,"172,459 ",-,-,
東京港フェリーふ頭,347 ,"4,384,692 ",347 ,"4,384,692 ",-,-,352 ,"4,447,872 ",352 ,"4,447,872 ",-,-,
多目的ふ頭,26 ,"60,835 ",26 ,"60,835 ",-,-,22 ,"41,431 ",22 ,"41,431 ",-,-,
辰巳ふ頭,937 ,"329,072 ",937 ,"329,072 ",-,-,979 ,"344,824 ",979 ,"344,824 ",-,-,
青海コンテナふ頭（公共）,"1,598 ","18,897,446 ",539 ,"445,058 ","1,059 ","18,452,388 ","1,419 ","15,560,794 ",438 ,"319,180 ",981 ,"15,241,614 ",
有明ふ頭,63 ,"53,851 ",63 ,"53,851 ",-,-,61 ,"55,291 ",61 ,"55,291 ",-,-,
