（輸出）,,,,,,,,,(単位：トン）
,,平成30年(2018年),,,0,,,"平成29年
(2017年)",増減
,,計,前年比,構成比,主要品目,,,,
総計,,"13,288,658",98.4%,100%,,,,"13,508,587","-219,929 "
1,中国,"3,665,569",92.8%,27.6%,再利用資材,その他化学工業品,産業機械,"3,951,689","-286,120 "
,(香港),"483,528",81.5%,3.6%,その他化学工業品,電気機械,製造食品,"593,250","-109,722 "
2,アメリカ,"2,841,018",99.7%,21.4%,自動車部品,産業機械,その他化学工業品,"2,850,198","-9,180 "
3,タイ,"899,159",102.2%,6.8%,再利用資材,自動車部品,その他化学工業品,"880,140","19,019 "
4,ベトナム,"752,394",84.1%,5.7%,金属くず,再利用資材,産業機械,"894,474","-142,080 "
5,台湾,"713,238",99.2%,5.4%,再利用資材,その他化学工業品,金属くず,"719,029","-5,791 "
6,韓国,"666,172",96.1%,5.0%,金属くず,再利用資材,その他化学工業品,"692,901","-26,729 "
7,オランダ,"555,357",107.4%,4.2%,産業機械,その他化学工業品,ゴム製品,"517,032","38,325 "
8,マレーシア,"525,563",138.3%,4.0%,自動車部品,取合せ品,その他化学工業品,"380,116","145,447 "
9,インドネシア,"433,094",123.7%,3.3%,自動車部品,再利用資材,産業機械,"349,981","83,113 "
10,インド,"356,363",100.1%,2.7%,その他化学工業品,産業機械,鋼材,"356,081",282 
11,フィリピン,"257,681",112.8%,1.9%,金属製品,産業機械,輸送用容器,"228,519","29,162 "
12,ドイツ,"246,914",114.6%,1.9%,産業機械,その他化学工業品,電気機械,"215,383","31,531 "
13,シンガポール,"241,399",99.2%,1.8%,産業機械,その他化学工業品,電気機械,"243,241","-1,842 "
14,イギリス,"168,711",96.6%,1.3%,自動車部品,電気機械,産業機械,"174,566","-5,855 "
15,カナダ,"145,826",83.0%,1.1%,産業機械,取合せ品,自動車部品,"175,699","-29,873 "
16,ロシア,"90,131",92.0%,0.7%,その他製造工業品,ゴム製品,産業機械,"98,020","-7,889 "
17,ブラジル,"71,954",95.2%,0.5%,自動車部品,産業機械,鋼材,"75,544","-3,590 "
18,フランス,"68,708",100.9%,0.5%,産業機械,その他化学工業品,ゴム製品,"68,127",581 
19,アラブ首長国,"65,972",92.1%,0.5%,産業機械,ゴム製品,自動車部品,"71,607","-5,635 "
20,オーストラリア,"52,610",84.8%,0.4%,産業機械,ゴム製品,製造食品,"62,047","-9,437 "
,その他,"470,825",93.4%,3.5%,,,,"504,193","-33,368 "
,,,,,,,,,
（輸入）,,,,,,,,,(単位：トン）
,,平成30年(2018年),,,0,,,"平成29年
(2017年)",増減
,,計,前年比,構成比,主要品目,,,,
総計,,"36,537,137",99.8%,100%,,,,"36,607,569","-70,432 "
1,中国,"15,413,935",99.5%,42.2%,衣服・身廻品・はきもの,電気機械,家具装備品,"15,486,150","-72,215 "
,(香港),"1,916,136",100.6%,5.2%,電気機械,衣服・身廻品・はきもの,がん具,"1,905,207","10,929 "
2,アメリカ,"4,323,326",99.2%,11.8%,動植物性製造飼肥料,その他畜産品,製造食品,"4,357,731","-34,405 "
3,タイ,"2,432,799",104.1%,6.7%,製造食品,電気機械,その他化学工業品,"2,336,729","96,070 "
4,ベトナム,"2,014,669",105.7%,5.5%,衣服・身廻品・はきもの,家具装備品,輸送用容器,"1,905,500","109,169 "
5,カナダ,"1,501,255",101.9%,4.1%,製材,その他畜産品,動植物性製造飼肥料,"1,473,964","27,291 "
6,台湾,"1,463,488",126.0%,4.0%,その他化学工業品,家具装備品,金属製品,"1,161,192","302,296 "
7,韓国,"1,415,963",98.4%,3.9%,その他化学工業品,製造食品,飲料,"1,438,728","-22,765 "
8,フィリピン,"1,189,253",89.4%,3.3%,野菜・果物,木製品,電気機械,"1,330,144","-140,891 "
9,シンガポール,"1,115,891",97.3%,3.1%,衣服・身廻品・はきもの,その他化学工業品,製造食品,"1,146,899","-31,008 "
10,マレーシア,"933,421",93.5%,2.6%,その他化学工業品,電気機械,家具装備品,"998,301","-64,880 "
11,インドネシア,"877,632",103.6%,2.4%,衣服・身廻品・はきもの,木製品,産業機械,"846,737","30,895 "
12,ドイツ,"573,436",99.0%,1.6%,産業機械,自動車部品,その他化学工業品,"579,481","-6,045 "
13,オランダ,"513,695",96.8%,1.4%,製造食品,その他化学工業品,飲料,"530,909","-17,214 "
14,チリ,"371,818",76.6%,1.0%,水産品,飲料,野菜・果物,"485,685","-113,867 "
15,フランス,"322,687",104.2%,0.9%,飲料,製造食品,その他化学工業品,"309,655","13,032 "
16,ニュージーランド,"311,867",98.9%,0.9%,野菜・果物,製造食品,木製品,"315,461","-3,594 "
17,メキシコ,"182,861",94.2%,0.5%,野菜・果物,その他畜産品,自動車部品,"194,169","-11,308 "
18,イタリア,"169,654",90.3%,0.5%,製造食品,飲料,家具装備品,"187,895","-18,241 "
19,イギリス,"166,945",94.5%,0.5%,飲料,その他化学工業品,その他食料工業品,"176,588","-9,643 "
20,ロシア,"134,423",124.6%,0.4%,製材,木製品,石炭,"107,872","26,551 "
,その他,"1,108,119",89.5%,3.0%,,,,"1,237,779","-129,660 "
