東京都　放課後児童健全育成事業（学童クラブ事業）実施状況（令和５年５月１日現在）,,,,,,,,,,,
,,,,,,,,,,,
, ,,,（こども家庭庁成育局成育環境課実施調査に基づく）,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,(単位：か所、人）,
,区名,クラブ数,登録児童数,待機児童数,,,市町村名,クラブ数,登録児童数,待機児童数,
,,,,,,,,,,,
1,千代田区,25,"1,261 ",0,,24,八王子市,90,"6,423 ",0,
2,中央区,15,774 ,257,,25,立川市,38,"1,941 ",212,
3,港区,36,"3,371 ",95,,26,武蔵野市,17,"1,684 ",0,
4,新宿区,32,"2,241 ",27,,27,三鷹市,34,"2,289 ",0,
5,文京区,53,"2,609 ",76,,28,青梅市,40,"1,498 ",76,
6,台東区,24,"1,389 ",179,,29,府中市,48,"2,497 ",26,
7,墨田区,72,"2,964 ",45,,30,昭島市,21,"1,261 ",95,
8,江東区,63,"4,935 ",117,,31,調布市,45,"2,719 ",118,
9,品川区,37,"2,979 ",0,,32,町田市,50,"4,785 ",12,
10,目黒区,46,"2,387 ",114,,33,小金井市,20,"1,517 ",0,
11,大田区,85,"5,213 ",112,,34,小平市,46,"2,519 ",17,
12,世田谷区,63,"9,210 ",0,,35,日野市,46,"2,292 ",7,
13,渋谷区,18,"3,349 ",0,,36,東村山市,29,"1,721 ",46,
14,中野区,42,"2,071 ",83,,37,国分寺市,34,"1,786 ",0,
15,杉並区,57,"5,907 ",257,,38,国立市,22,953 ,0,
16,豊島区,22,"2,823 ",0,,39,福生市,12,640 ,0,
17,北区,87,"3,435 ",0,,40,狛江市,18,"1,017 ",124,
18,荒川区,27,"1,789 ",0,,41,東大和市,13,829 ,39,
19,板橋区,51,"7,946 ",0,,42,清瀬市,11,857 ,36,
20,練馬区,99,"6,427 ",292,,43,東久留米市,19,"1,448 ",84,
21,足立区,109,"5,118 ",263,,44,武蔵村山市,13,774 ,0,
22,葛飾区,93,"4,902 ",328,,45,多摩市,30,"1,777 ",97,
23,江戸川区,4,141 ,0,,46,稲城市,16,958 ,139,
,区計,"1,160","83,241","2,245",,47,羽村市,12,623 ,0,
,,,,,,48,あきる野市,17,"1,006 ",87,
,,,,,,49,西東京市,36,"2,706 ",63,
,,,,,,50,瑞穂町,6,321 ,1,
,,,,,,51,日の出町,5,257 ,0,
,,,,,,52,檜原村,0,0 ,0,
,,,,,,53,奥多摩町,2,52 ,0,
,,,,,,54,大島町,2,38 ,0,
,,,,,,55,利島村,1,16 ,0,
,,,,,,56,新島村,0,0 ,0,
,,,,,,57,神津島村,1,27 ,0,
,,,,,,58,三宅村,1,73 ,0,
,,,,,,59,御蔵島村,0,0 ,0,
,,,,,,60,八丈町,3,103 ,0,
,,,,,,61,青ヶ島村,0,0 ,0,
,,,,,,62,小笠原村,0,0 ,0,
,,,,,,　,市町村計,798,"49,407","1,279",
,,,,,,,,,,,
,,,,,,,,クラブ数,登録児童数,待機児童数,
,,,,,,,総計,"1,958","132,648","3,524",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
