"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","レジ袋","91","13.8"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","ペットボトル","36","5.5"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","お弁当などのプラスチック容器","67","10.2"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","ストロー 、 スプーン や フォークなどの使い捨て食器類","148","22.5"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","うちわ、風船、ポケットティッシュなどの配布物","158","24.0"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","その他","12","1.8"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","特にない","64","9.7"
"202003","プラスチックごみ","Q22. あなたの今の暮らしの中で、最も不要だと感じている使い捨てプラスチック製品は何ですか。","無回答","82","12.5"

"第32回港区民世論調査単純集計表・プラスチックごみQ22","Ver202003",,,,
