"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","総務費","170850","3.0","162344","2.9"
"2021","広域連合負担金","5332195","92.7","5230236","92.7"
"2021","保険給付費","84163","1.5","84163","1.5"
"2021","保健事業費","112842","2.0","112842","2.0"
"2021","諸支出金","4200","0.1","4200","0.1"
"2021","予備費","50000","0.9","50000","0.9"
"2021","歳出合計","5754250","100.0","5643785","100.0"
"2022","総務費","153415","2.5",,
"2022","広域連合負担金","5764444","93.5",,
"2022","保険給付費","84166","1.4",,
"2022","保健事業費","108801","1.8",,
"2022","諸支出金","4600","0.1",,
"2022","予備費","50000","0.8",,
"2022","歳出合計","6165426","100.0",,

"令和4年度港区行政資料集　後期高齢者医療会計歳出予算","Ver202203",,,,
