施設名,所在地,緯度,経度,座標系,電話,電話備考,ＨＰ,優待等
出光美術館,千代田区丸の内３－１－１帝劇ビル９階,35.676755,139.7608481,JGD2011,050-5541-8600,ハローダイヤル,http://idemitsu-museum.or.jp,"入館料1,200円を1,000円／公式ウェブサイトから事前予約をお願いします"
山種美術館,渋谷区広尾３－１２－３６,35.6533231,139.7138333,JGD2011,050-5541-8600,ハローダイヤル,,一般入館料から100円引き
世田谷美術館,世田谷区砧公園１－２,35.6317714,139.6218564,JGD2011,03-3415-6011,,http://www.setagayaartmuseum.or.jp,企画展観覧料を団体料金に割引
根津美術館,港区南青山６－５－１,35.66222,139.717062,JGD2011,03-3400-2536,,http://www.nezu-muse.or.jp,一般入館料から200円引き
日本民藝館,目黒区駒場４－３－３３,35.6608183,139.6792944,JGD2011,03-3467-4527,,,一般入館料から300円引き
横山大観記念館,台東区池之端１－４－２４,35.7121631,139.7681831,JGD2011,03-3821-1017,,,ポストカードプレゼント／令和3年4月～12月（延長の可能性あり）休館
古代オリエント博物館,豊島区東池袋３－１－４文化会館７階,35.7285317,139.720785,JGD2011,03-3989-3491,,,入館料２割引
紙の博物館,北区王子１－１－３飛鳥山公園内,35.74988,139.738675,JGD2011,03-3916-2320,,,入館料２割引
三菱一号館美術館,千代田区丸の内２－６－２,,,,050-5541-8600,ハローダイヤル,http://mimt.jp,休館中（令和６年秋頃再開予定）
菊池寛実記念　智美術館,港区虎ノ門４－１－３５,35.6660086,139.7445164,JGD2011,03-3733-5131,,,一般入館料から100円引き
泉屋博古館東京,港区六本木1-5-1,,,,050-5541-8600,ハローダイヤル,,当日一般料金から100円引（企画展・特別展ともに）
三井記念美術館,中央区日本橋室町２－１－１三井会館７階,35.686293,139.772996,JGD2011,050-5541-8600,ハローダイヤル,,一般入館料から100円引き（他の割引との併用不可）
森美術館・東京シティビュー,港区六本木６－１０－１　六本木ヒルズ森タワー５２階・５３階,35.6604283,139.7291817,JGD2011,050-5541-8600,ハローダイヤル,,シニア料金から200円引き（当日窓口料金）／特別展開催時は、別途料金がかかる場合があります。
