階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．民間最終消費支出 Private final consumption expenditure,39018241,39733739,41032446,40775647,41494357,41598150,42438987,43010480,42946324,41381811,42933598
2,（1）家計最終消費支出 Final consumption expenditure of households,37659711,38327711,39640987,39462960,40096271,40149359,40996649,41623983,41485751,39759951,41363551
2,（2）対家計民間非営利団体最終消費支出 Final consumption expenditure of private non-profit institutions serving households,1358040,1405299,1390956,1312417,1398085,1448957,1442289,1386165,1460592,1624727,1570923
1,2．地方政府等最終消費支出 Final consumption expenditure of local government and local social security funds,6689806,6817632,6999648,6944085,7167855,7224642,7342296,7356774,7655682,7858726,8282099
1,3．都内総資本形成 Gross prefectural capital formation,18784112,18625348,20261108,20015625,21018235,20410357,21519852,21817424,22299835,18922129,19635215
2,（1）総固定資本形成 Gross fixed capital formation,18194993,18461045,19876538,20034796,20273750,20730262,21206982,21421202,21470322,20006860,20227852
3,ａ．民間 Private sectors,16115819,16370523,17712505,17846559,18144106,18351821,18845479,18840262,18701961,17794104,17992614
4,（ａ）住宅 Residential Investment,3144770,3164879,3378108,3309385,3467013,3612991,3758074,3576909,3463692,3403374,3280512
4,（ｂ）企業設備 Non-Resi. Investment,12975315,13209040,14336507,14537478,14677093,14738830,15087067,15266081,15243046,14391330,14720214
3,ｂ．公的 Public sectors,2081230,2092159,2163886,2188208,2129644,2378642,2361890,2579814,2764586,2217982,2240580
4,（ａ）住宅 Residential Investment,99194,162841,119034,115595,113904,122555,114095,124329,117357,105920,99494
4,（ｂ）企業設備 Non-Resi. Investment,445282,414850,505995,519280,545184,630884,574336,667247,652312,421086,517044
4,（ｃ）一般政府（中央政府等・地方政府等） General government,1537924,1516209,1538944,1553296,1470556,1625203,1673242,1788277,1994411,1688865,1623942
2,（2）在庫変動 Changes in inventories,-3642190,-1033814,-2394329,-11604,744485,-329740,309780,390660,819400,-1155942,-622669
3,ａ．民間企業 Private sectors,572200,138384,239249,-127041,791018,-176536,235944,484721,590553,-789331,-574794
3,ｂ．公的（公的企業・一般政府） Public sectors (Public corporations， General government),1609,20276,111385,94857,-46533,-160737,80105,-71396,204715,-327170,-29950
1,4．財貨・サービスの移出入（純）・統計上の不突合・開差 Outflows of goods and services， net/Statistical discrepancy/Residual,37799740,39203327,39953220,38739501,40465701,41596152,41865389,41856501,39771829,38531251,38945897
0,5．都内総生産（支出側） Gross prefectural domestic product(expenditure approach) ,102291898,104380045,108246422,106474858,110146147,110829301,113166523,114041179,112673670,106693917,109796810
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series　単位: （2015暦年連鎖価格）(100万円)　 (Chained (2015) yen)(Millions of Yen),,,,,,,,,,,,
(6)　都内総生産（支出側、実質：連鎖方式）  (6) Real Gross Prefectural Domestic Product    (Expenditure Approach， Chain-linked),,,,,,,,,,,,
注１）「中央政府等」は、中央政府と全国社会保障基金である。,,,,,,,,,,,,
注２）「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
