階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．財産所得（支払） Property income， payable,8146233,9317313,9249051,10729495,11251916,11011857,12095356,15779685,14818678,18105338,19273099
2,（1）利子（支払） Interest， payable,1615353,1597019,1394542,1886595,1528991,1206747,1276490,1625511,1422319,1211389,777317
2,（2）法人企業の分配所得（支払） Distributed income of corporations， payable,5454922,6609090,6755679,7755953,8582641,8543916,9479390,12687750,11961229,15362484,16802684
2,（3）賃貸料（支払） Rent， payable,1075958,1111203,1098830,1086947,1140284,1261194,1339476,1466424,1435130,1531465,1693098
1,2．所得・富等に課される経常税 Current taxes on income， wealth， etc.， payable,3546953,3963916,4593806,4475379,4482505,4586127,5005723,5343399,5269989,5116459,6402224
1,3．その他の社会保険非年金給付 Other social insurance non-pension benefits， payable,82347,82186,81562,79463,80280,83392,84126,85128,82978,82445,79226
1,4．その他の経常移転（支払） Other current transfers， payable,282276,281184,291778,308064,303135,374684,338985,303073,319821,382792,397103
2,うち非生命純保険料（支払） Of which net non-life insurance premiums， payable,182016,166908,165985,174502,143250,148134,175161,139667,187685,203151,203202
1,5．貯蓄 Saving,15201767,15549558,17835437,16973741,18424210,17757547,17792901,17720322,17401068,17211183,20381188
0,支払 Uses,27259577,29194156,32051634,32566141,34542047,33813607,35317092,39231606,37892533,40898217,46532839
1,6．営業余剰 Operating surplus,19881014,21129970,22975930,21660528,23245096,23314733,24108643,24399749,24045658,18983572,21132140
1,7．財産所得（受取） Property income， receivable,5917438,6731890,7853179,9713655,10206759,9371265,10053267,13622765,12547549,14197643,18074590
2,（1）利子（受取） Interest， receivable,1633367,1709214,1709395,2725668,2528541,2107828,2345976,2893285,3055937,2666342,2184656
2,（2）法人企業の分配所得（受取） Distributed income of corporations， receivable,3869917,4600953,5728945,6575814,7237209,6775298,7181310,10136978,8901309,10907377,15194512
2,（3）保険契約者に帰属する投資所得（受取） Investment income attributable to insurance policyholders， receivable,11572,11565,11441,11266,12504,10398,10979,15726,11603,9992,11026
2,（4）賃貸料（受取） Rent， receivable,402581,410158,403398,400907,428504,477741,515002,576777,578699,613932,684397
1,8．雇主の帰属社会負担 Employers' imputed social contributions， receivable,82347,82186,81562,79463,80280,83392,84126,85128,82978,82445,79226
1,9．その他の経常移転（受取） Other current transfers， receivable,1378778,1250111,1140963,1112495,1009911,1044218,1071056,1123964,1216349,7634556,7246883
2,うち非生命保険金（受取） Of which non-life insurance claims， receivable,249896,232600,225459,240364,218389,220028,242671,224026,254150,263521,261802
0,受取 Resources,27259577,29194156,32051634,32566141,34542047,33813607,35317092,39231606,37892533,40898217,46532839
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted),2506405,2387258,2135709,2605569,2183695,1825684,1839032,2153768,1989337,1765023,1300297
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted),1597468,1677676,1680873,2701656,2505209,2080004,2305901,2842479,3001359,2608596,2134122
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
２　制度部門別所得支出勘定  ２　Income and Outlay Accounts classified by Institutional Sectors(単位: 100万円　Millions of Yen),,,,,,,,,,,,
(1)　非金融法人企業  (1) Non-financial Corporations,,,,,,,,,,,,
注）法人企業の分配所得には、海外直接投資に関する再投資収益を含む。,,,,,,,,,,,,
Note1: Distributed income of corporations includes reinvested earnings on foreign direct investment.,,,,,,,,,,,,
Note2: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
