階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．財産所得（支払） Property income， payable,402112,374039,389234,558297,553280,501184,550037,530232,515216,407877,534234
2,（1）消費者負債利子（支払） Consumer debt interest， payable,90467,87233,88530,109301,110746,116228,121179,118419,121861,103333,112212
2,（2）その他の利子（支払） Other interest， payable,164898,168091,173857,289542,264965,217641,231437,232515,215692,176444,186837
2,（3）賃貸料（支払） Rent， payable,146747,118716,126847,159454,177569,167315,197422,179299,177664,128099,235185
1,2．所得・富等に課される経常税 Current taxes on income， wealth， etc.， payable,5508211,5624038,6044232,6230359,6469017,6613749,6894631,7155402,7216210,7253776,7756942
1,3．純社会負担 Net social contributions， payable,11806818,12077509,12418904,12990270,13438280,13939072,14392841,14875062,15400893,15356963,15857297
2,（1）雇主の現実社会負担（支払） Employers' actual social contributions， payable,6708082,6779531,6827813,7002875,7219715,7338166,7580999,7786978,8144389,8185575,8513194
2,（2）雇主の帰属社会負担（支払） Employers' imputed social contributions， payable,-567797,-529899,-415736,-262481,-249990,-123460,-150313,-113973,-188322,-242753,-330849
2,（3）家計の現実社会負担（支払） Households' actual social contributions， payable,4923425,5087758,5273737,5522401,5738756,5986960,6224462,6457205,6693235,6660323,6917462
2,（4）家計の追加社会負担（支払） Households' contributions supplements， payable,800888,801586,802946,805915,807673,810077,815161,820921,829310,836547,842793
2,（5）（控除）年金制度の手数料 (less) Service charges on pension scheme,57781,61468,69856,78440,77874,72671,77467,76069,77718,82729,85302
1,4．その他の経常移転（支払） Other current transfers， payable,764020,699666,1029915,856186,973437,861079,1031111,844809,914196,970269,1289738
2,うち非生命純保険料（支払） Of which net non-life insurance premiums， payable,244926,220340,211224,185038,194642,200796,198886,219765,210299,184218,179410
1,5．最終消費支出 Final consumption expenditure,37127730,37483042,38799974,39399703,40076620,40071070,41109539,41941398,42078429,40298001,42368456
1,6．貯蓄 Saving,838890,756610,-601853,-688081,-664183,-381968,-1104908,-1053555,-2638787,1774095,-1035765
0,支払 Uses,56447781,57014904,58080404,59346735,60846451,61604186,62873252,64293347,63486157,66060980,66770901
,（参考）可処分所得 (cf) Disposable income,37446753,37714252,37540019,37947773,38720105,38880955,39184288,40007864,38604756,41276353,40612126
,（参考）貯蓄率（％）  (cf) Saving ratio (%),2.2,2,-1.6,-1.8,-1.7,-1,-2.8,-2.6,-6.7,4.2,-2.5
1,7．営業余剰・混合所得 Operating surplus and mixed income,5001632,4991364,5282802,5171039,5467911,5161336,5264900,5286628,5071508,5123337,5323391
2,（1）営業余剰（持ち家） Operating surplus (imputed service of owner-occupied dwellings),3344426,3416070,3395944,3369846,3353513,3345857,3312957,3256685,3260814,3274288,3167697
2,（2）混合所得 Mixed income,1657206,1575294,1886858,1801193,2114398,1815479,1951943,2029943,1810694,1849049,2155694
1,8．都民雇用者報酬 Prefectural compensation of employees， receivable,35658406,35869457,36120551,36898852,37208579,38327052,38947399,39793166,39641208,39603152,39703831
