支出の目的 Purpose of expenditure,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．食料・非アルコール飲料 Food and non-alcoholic beverages,4720001,4787917,4862367,4991488,5233033,5319397,5448966,5528307,5592104,5572930,5815901
2．アルコール飲料・たばこ Alcoholic beverages and tobacco,943382,936751,955640,921509,964121,961498,961799,930633,954183,968910,1016249
3．被服・履物 Clothing and footwear,1289512,1340070,1495325,1534408,1531776,1373488,1376705,1415161,1375084,1252118,1249473
4．住居・電気・ガス・水道 Housing， electricity， gas and water supply,11601225,11779169,11892357,11977136,11849069,11883403,12154242,12238131,12412982,12616681,13123898
5．家具・家庭用機器・家事サービス Furnishings， household equipment and household services,1128242,1158784,1324092,1287631,1310200,1317183,1361281,1395242,1408120,1487397,1610231
6．保健・医療 Health,1407918,1449146,1530370,1591412,1704430,1734083,1788696,1839700,1882244,1914703,2112448
7．交通 Transport,2589738,2616122,2658395,2671613,2554436,2558957,2585033,2600277,2539928,2017505,2138527
8．情報・通信 Information and communication,1690886,1602690,1747725,1777367,1754162,1771376,1820184,1878332,1852871,1981092,2008100
9．娯楽・スポーツ・文化 Recreation， sports and culture,2293310,2326764,2376556,2442388,2559509,2509662,2561665,2608994,2619765,2457343,2698429
10．教育サービス Education services,635738,643805,646533,676401,730123,785318,838556,908219,961107,1005286,1055774
11．外食・宿泊サービス Restaurants and hotels services,3200308,3224276,3255985,3349902,3414508,3466317,3440632,3372850,3285342,2384112,2339157
12．保険・金融サービス Insurance and finance services,3024575,2931480,3166764,3236852,3405018,3312714,3556710,3840305,3654347,3493852,3786087
13．個別ケア・社会保護・その他 Personal care， social protection and miscellaneous goods and services,2602895,2686069,2887865,2941595,3066236,3077674,3215068,3385246,3540351,3146073,3414182
家計最終消費支出 Final consumption expenditure of households,37127730,37483042,38799974,39399703,40076620,40071070,41109539,41941398,42078429,40298001,42368456
（再掲）持ち家の帰属家賃 (regrouped) Imputed service of owner-occupied dwellings,7132361,7167934,7199614,7235131,7269059,7301386,7332137,7360723,7437799,7523956,7617174
,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,
５　付表  ５　Supporting Tables(単位: 100万円　Millions of Yen),,,,,,,,,,,
(8)　家計の目的別最終消費支出の構成（名目）(8) Composition of Final Consumption Expenditure of Households classified by Purpose    (at current prices),,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
