支出の目的 Purpose of expenditure,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．食料・非アルコール飲料 Food and non-alcoholic beverages,5031984,5137250,5183760,5098558,5201822,5204890,5280006,5336204,5351296,5317681,5507482
2．アルコール飲料・たばこ Alcoholic beverages and tobacco,967572,964728,988252,919670,965086,951978,933786,884632,879431,862787,861958
3．被服・履物 Clothing and footwear,1354530,1406159,1559255,1551474,1524156,1347878,1345753,1386054,1335033,1207442,1201416
4．住居・電気・ガス・水道 Housing， electricity， gas and water supply,11509152,11720566,11833191,11893879,11908612,12101225,12364437,12437125,12627652,12940186,13229736
5．家具・家庭用機器・家事サービス Furnishings， household equipment and household services,1076567,1171672,1366452,1288920,1310200,1321146,1376422,1422265,1401115,1455379,1564850
6．保健・医療 Health,1414993,1457893,1541158,1593005,1704430,1744551,1799493,1867716,1905105,1943861,2153362
7．交通 Transport,2639896,2664075,2674441,2596320,2577634,2605863,2579873,2529453,2451668,1960646,1987479
8．情報・通信 Information and communication,1662621,1637068,1781575,1786299,1745435,1811223,1899984,2004623,2024996,2153361,2271606
9．娯楽・スポーツ・文化 Recreation， sports and culture,2361802,2406167,2455120,2454661,2556952,2487276,2533794,2560348,2531174,2342558,2533736
10．教育サービス Education services,638291,655606,659728,679800,730123,789265,838556,908219,965937,1005286,1036088
11．外食・宿泊サービス Restaurants and hotels services,3382989,3401135,3441844,3397466,3404296,3428602,3386449,3280982,3140862,2270583,2202596
12．保険・金融サービス Insurance and finance services,2927952,2913996,3179482,3246592,3398221,3276671,3459835,3660920,3441005,3359473,3661593
13．個別ケア・社会保護・その他 Personal care， social protection and miscellaneous goods and services,2700099,2800906,2983331,2953408,3069305,3080755,3202259,3351729,3457374,3045569,3260919
家計最終消費支出 Final consumption expenditure of households,37659711,38327711,39640987,39462960,40096271,40149359,40996649,41623983,41485751,39759951,41363551
,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,
５　付表  ５　Supporting Tables 　単位: (2015暦年連鎖価格)(100万円)　(Chained (2015) yen)(Millions of Yen),,,,,,,,,,,
(8)　家計の目的別最終消費支出の構成（実質：連鎖方式）　(8) Composition of Final Consumption Expenditure of Households classified by Purpose(Real：Chain-linked）,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
