階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．財産所得（支払） Property income， payable,204222,197175,187972,172017,160974,139435,128183,117227,109098,98991,97574
2,（1）利子（支払） Interest， payable,183225,178097,169693,152492,141397,117505,105305,93826,82268,70522,63570
2,（2）賃貸料（支払） Rent， payable,20998,19078,18278,19525,19577,21930,22878,23401,26829,28469,34004
1,2．現物社会移転以外の社会給付 Social benefits other than social transfers in kind， payable,1406400,1413940,1373086,1411717,1472706,1552224,1577631,1616577,1698231,1786823,2070727
2,（1）現金による社会保障給付 Social security benefits in cash,309011,312019,309632,297817,304116,302833,299454,303003,304562,300157,295837
2,（2）その他の社会保険非年金給付 Other social insurance non-pension benefits,230727,225552,202200,189211,175123,171065,146521,154917,151421,145483,145937
2,（3）社会扶助給付 Social assistance benefits,866662,876368,861254,924688,993466,1078326,1131657,1158657,1242248,1341183,1628953
1,3．その他の経常移転（支払） Other current transfers， payable,3689106,3837268,3784540,3911124,4229407,4256143,4391876,4428686,4621746,10960403,10125375
2,うち非生命純保険料（支払） Of which net non-life insurance premiums， payable,740,619,631,591,602,637,612,812,669,704,696
1,4．最終消費支出 Final consumption expenditure,6656357,6729002,6887654,6957973,7167855,7195744,7356980,7386202,7716927,7850867,8364920
1,5．貯蓄 Saving,425507,551280,1048470,1511736,2004947,1942576,1694351,1992456,1843698,-2894501,-1606320
0,支払 Uses,12381593,12728665,13281721,13964566,15035888,15086123,15149022,15541147,15989701,17802583,19052276
,（参考）現物社会移転 (cf) Social transfers in kind， payable,4200772,4297593,4434061,4495491,4624272,4669117,4782703,4816170,4989601,5031805,5403038
,（参考）うち現物社会移転（市場産出の購入）  (cf) Of which social transfers in kind (purchased market production),2944452,3069606,3176508,3253333,3361734,3363566,3425242,3454526,3543641,3452851,3700802
1,6．生産・輸入品に課される税（地方政府） Local taxes on production and imports， receivable,2936974,2881389,2924488,3015540,3700292,3665646,3681889,3795008,3842721,4046831,4383263
1,7．（控除）補助金（地方政府） (less) Local government subsidies， payable,206777,168057,175337,266527,184167,194054,190440,180183,209601,571893,603389
1,8．財産所得（受取） Property income， receivable,145639,146567,248146,419389,355975,257440,127427,132002,127151,134591,122179
2,（1）利子（受取） Interest， receivable,54029,55441,157432,327337,261966,163499,32830,37758,33360,40782,31698
2,（2）法人企業の分配所得（受取） Distributed income of corporations， receivable,90563,89686,89449,90546,90047,89958,90159,89531,88785,88942,85443
2,（3）保険契約者に帰属する投資所得（受取） Investment income attributable to insurance policyholders， receivable,30,30,41,31,38,29,28,45,30,26,30
2,（4）賃貸料（受取） Rent， receivable,1018,1410,1225,1475,3924,3955,4409,4669,4976,4841,5008
1,9．所得・富等に課される経常税（地方政府） Current local taxes on income， wealth， etc.， receivable,3285666,3444846,3705299,3920106,4073734,4203214,4227795,4469510,4674823,4290590,4693718
1,10．純社会負担 Net social contributions， receivable,1306005,1370912,1379654,1442100,1445527,1470472,1481738,1520269,1570150,1570213,1591765
2,（1）雇主の現実社会負担 Employers' actual social contributions,239160,242181,246272,267973,266946,273848,287088,293198,314504,324279,330543
2,（2）雇主の帰属社会負担  Employers' imputed social contributions,230727,225552,202200,189211,175123,171065,146521,154917,151421,145483,145937
2,（3）家計の現実社会負担 Households' actual social contributions,836118,903179,931183,984916,1003458,1025558,1048129,1072154,1104224,1100452,1115286
1,11．その他の経常移転（受取） Other current transfers， receivable,4914086,5053009,5199470,5433959,5644528,5683404,5820614,5804541,5984457,8332251,8864740
2,うち非生命保険金（受取） Of which non-life insurance claims， receivable,152,146,145,138,134,126,137,146,150,161,152
0,受取 Resources,12381593,12728665,13281721,13964566,15035888,15086123,15149022,15541147,15989701,17802583,19052276
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted),217085,207322,194972,176708,159152,138842,123905,113040,98760,81043,72737
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted),50868,52641,154743,324746,259202,159865,28057,31348,26316,35186,25764
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
２　制度部門別所得支出勘定  ２　Income and Outlay Accounts classified by Institutional Sectors (単位: 100万円　Millions of Yen),,,,,,,,,,,,
(3)　一般政府（地方政府等）  (3) Local Government and Local Social Security Funds,,,,,,,,,,,,
注）「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
