階層 Hierarchy,部門／項目 Sectors／Items,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／特別区 Wards,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2011年度(Fiscal Year 2011)／地方政府等 Local government and local security funds／合計 Total,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／特別区 Wards,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2012年度(Fiscal Year 2012)／地方政府等 Local government and local security funds／合計 Total,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／特別区 Wards,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2013年度(Fiscal Year 2013)／地方政府等 Local government and local security funds／合計 Total,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／特別区 Wards,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2014年度(Fiscal Year 2014)／地方政府等 Local government and local security funds／合計 Total,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／特別区 Wards,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2015年度(Fiscal Year 2015)／地方政府等 Local government and local security funds／合計 Total,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／特別区 Wards,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2016年度(Fiscal Year 2016)／地方政府等 Local government and local security funds／合計 Total,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／特別区 Wards,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2017年度(Fiscal Year 2017)／地方政府等 Local government and local security funds／合計 Total,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／特別区 Wards,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2018年度(Fiscal Year 2018)／地方政府等 Local government and local security funds／合計 Total,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／特別区 Wards,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2019年度(Fiscal Year 2019)／地方政府等 Local government and local security funds／合計 Total,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／特別区 Wards,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2020年度(Fiscal Year 2020)／地方政府等 Local government and local security funds／合計 Total,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／東京都 Tokyo Metropolitan Government,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／特別区 Wards,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／市町村 Cities， towns and villages,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／地方社会保障基金 Local social security funds,2021年度(Fiscal Year 2021)／地方政府等 Local government and local security funds／合計 Total
1,1．財産所得 Property income， payable,151541,20837,29657,2188,204222,147747,18986,28431,2011,197175,144043,18081,23920,1927,187972,130458,17358,22212,1989,172017,116286,16217,26527,1944,160974,103780,16570,16582,2503,139435,93672,16195,16039,2277,128183,85540,16094,12116,3477,117227,77901,18020,10500,2677,109098,70990,18615,7476,1911,98991,68015,20786,6763,2010,97574
1,2．現物社会移転以外の社会給付 Social benefits other than social transfers in kind， payable,243408,610876,242723,309392,1406400,235956,621017,244558,312409,1413940,222072,601320,239824,309869,1373086,216870,639077,257676,298094,1411717,212053,684838,271500,304315,1472706,209386,747367,292524,302948,1552224,197380,774786,305901,299564,1577631,200964,799223,313146,303244,1616577,201166,856690,335443,304932,1698231,204194,925281,356778,300570,1786823,227362,1103588,443629,296149,2070727
2,（1）現金による社会保障給付 Social security benefits in cash,0,0,0,309011,309011,0,0,0,312019,312019,0,0,0,309632,309632,0,0,0,297817,297817,0,0,0,304116,304116,0,0,0,302833,302833,0,0,0,299454,299454,0,0,0,303003,303003,0,0,0,304562,304562,0,0,0,300157,300157,0,0,0,295837,295837
2,（2）その他の社会保険非年金給付 Other social insurance non-pension benefits,148489,62364,19493,381,230727,144575,63429,17158,390,225552,129336,56147,16480,238,202200,121182,53121,14633,277,189211,114731,46717,13477,198,175123,107824,51164,11962,115,171065,92969,42450,10992,110,146521,95684,47140,11852,240,154917,91025,48613,11412,370,151421,87295,47701,10073,413,145483,91360,44112,10154,311,145937
2,（3）社会扶助給付 Social assistance benefits,94919,548512,223231,0,866662,91380,557588,227400,0,876368,92736,545174,223345,0,861254,95688,585956,243044,0,924688,97322,638121,258023,0,993466,101562,696203,280562,0,1078326,104411,732336,294910,0,1131657,105280,752083,301294,0,1158657,110141,808077,324030,0,1242248,116898,877580,346705,0,1341183,136002,1059476,433476,0,1628953
1,3．都内の他の一般政府（地方政府等）に対する経常移転 Current transfers to other sub-sectors of local government and local social security funds in Tokyo， payable,1645541,227813,165064,9382,2047800,1722505,226230,163034,8933,2120701,1787978,227931,164507,10624,2191040,1898746,234196,169946,10908,2313797,2068676,253089,178700,9616,2510080,2027982,248235,172162,12138,2460517,2080403,232269,170634,13934,2497240,2138343,231908,170656,20451,2561358,2203932,234967,168706,12125,2619729,2348064,234214,158332,11967,2752576,2418585,233240,163018,16169,2831013
2,（1）都に対するもの To Tokyo Metropolitan Government,―,1841,63824,0,65665,―,2345,63863,0,66208,―,1866,62000,0,63866,―,2553,63422,0,65974,―,2616,64000,0,66615,―,3430,63743,0,67173,―,3972,63864,0,67836,―,6716,62560,0,69276,―,6766,59596,517,66879,―,8056,48636,117,56809,―,12521,51327,325,64173
2,（2）特別区・市町村に対するもの To wards， cities， towns and villages,1385583,―,―,9382,1394964,1427418,―,―,8933,1436350,1491005,―,―,10624,1501629,1594045,―,―,10908,1604953,1755519,―,―,9616,1765135,1706518,―,―,12138,1718656,1753576,―,―,13934,1767510,1804236,―,―,20451,1824687,1860100,―,―,11608,1871708,1922809,―,―,11850,1934659,2063117,―,―,15844,2078962
2,（3）地方社会保障基金に対するもの To local social security funds,259959,225972,101239,―,587170,295087,223885,99171,―,618143,296973,226065,102507,―,625545,304701,231644,106524,―,642870,313157,250473,114700,―,678330,321464,244805,108420,―,674689,326827,228297,106769,―,661894,334108,225192,108095,―,667395,343832,228201,109110,―,681142,425255,226158,109696,―,761108,355468,220719,111691,―,687878
1,4．都外の一般政府に対する経常移転 Current transfers to general government outside of Tokyo， payable,6219,2121,1118,549277,558735,13815,6513,3003,579136,602467,17512,9907,4469,553515,585401,10237,9304,4650,580118,604310,30663,10290,4610,622181,667744,10035,8398,4677,681944,705054,13156,8979,4883,706138,733156,10164,11577,6086,702371,730197,12951,9712,7114,685528,715304,8661,10375,5612,702796,727443,45175,22270,9732,725000,802177
2,（1）中央政府、全国社会保障基金に対するもの To central government and central social security funds,4838,2121,1118,549277,557354,12152,6513,3003,579136,600805,15542,9907,4469,553515,583432,8088,9304,4650,580118,602160,28340,10290,4610,622181,665422,8376,8398,4677,681944,703394,12956,8979,4883,706138,732956,10146,11577,6086,702371,730180,12928,9712,7114,685528,715281,8636,10375,5612,702796,727419,45149,22270,9732,725000,802151
2,（2）他の地方政府に対するもの To local government and local social security funds,1381,0,0,0,1381,1663,0,0,0,1663,1970,0,0,0,1970,2150,0,0,0,2150,2323,0,0,0,2323,1659,0,0,0,1659,200,0,0,0,200,18,0,0,0,18,23,0,0,0,23,25,0,0,0,25,25,0,0,0,25
1,5．その他の経常移転 Other current transfers， payable,809623,137477,60214,75257,1082572,849356,133822,66080,64842,1114100,765952,126425,64349,51373,1008099,755815,132296,59724,45183,993018,798436,145508,67629,40010,1051583,866047,115819,68783,39923,1090572,922273,126202,74173,38833,1161480,884688,139844,76836,35763,1137131,1023542,150077,78875,34219,1286713,2940551,2542724,1173913,823195,7480383,5091757,277605,168578,954246,6492185
