階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．財産所得（支払） Property income， payable,4894,4035,3949,7646,7823,5972,5428,5890,7418,5532,5351
2,（1）利子（支払） Interest， payable,2341,1166,1048,4350,4212,2891,2818,3217,4521,2102,1456
2,（2）賃貸料（支払） Rent， payable,2553,2869,2901,3295,3611,3082,2610,2673,2897,3431,3895
1,2．現物社会移転以外の社会給付 Social benefits other than social transfers in kind， payable,110629,44307,123403,85566,70531,55306,52329,53594,53243,70281,89076
2,（1）その他の社会保険非年金給付 Other social insurance non-pension benefits,3970,4052,4110,4090,4132,4292,4330,4382,4271,4243,4078
2,（2）社会扶助給付 Social assistance benefits,106659,40255,119293,81476,66399,51013,47999,49212,48972,66038,84998
1,3．非生命純保険料 Net non-life insurance premiums， payable,8938,6430,6916,5939,6637,7665,6822,11180,8188,9240,8792
1,4．最終消費支出 Final consumption expenditure,1352608,1380004,1365919,1304543,1392493,1437365,1440847,1390324,1462053,1616603,1588203
1,5．貯蓄 Saving,-447506,-326879,-344363,-205169,-210417,-160746,-167407,-155725,-242470,-121292,-147416
0,支払 Uses,1029563,1107896,1155823,1198525,1267067,1345562,1338019,1305263,1288432,1580364,1544005
1,6．財産所得（受取） Property income， receivable,45595,41193,41309,44592,43754,43856,48653,51676,48680,46647,53035
2,（1）利子（受取） Interest， receivable,30787,25031,21830,21955,19247,17324,17610,18892,18304,14153,13431
2,（2）配当（受取） Dividends， receivable,9380,10581,13662,16928,18511,19739,23689,25075,22821,24330,30946
2,（3）保険契約者に帰属する投資所得（受取） Investment income attributable to insurance policyholders， receivable,156,126,141,133,172,161,163,252,195,205,242
2,（4）賃貸料（受取） Rent， receivable,5272,5456,5676,5576,5824,6631,7191,7456,7359,7959,8416
1,7．雇主の帰属社会負担 Employers' imputed social contributions,3970,4052,4110,4090,4132,4292,4330,4382,4271,4243,4078
1,8．その他の経常移転 Other current transfers， receivable,979998,1062651,1110404,1149843,1219182,1297414,1285036,1249205,1235481,1529474,1486892
2,うち非生命保険金 Of which non-life insurance claims,10685,10651,11238,9327,8225,9189,10640,11638,11687,13946,13626
0,受取 Resources,1029563,1107896,1155823,1198525,1267067,1345562,1338019,1305263,1288432,1580364,1544005
,（参考）支払利子（FISIM調整前） (cf) Interest， payable (FISIM unadjusted）,33211,30416,28489,27687,25187,23701,21886,23062,22833,20219,19508
,（参考）受取利子（FISIM調整前） (cf) Interest， receivable (FISIM unadjusted）,25480,20370,17652,17966,15093,11530,9732,8949,8075,5360,4548
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
２　制度部門別所得支出勘定  ２　Income and Outlay Accounts classified by Institutional Sectors(単位: 100万円　Millions of Yen),,,,,,,,,,,,
(5)　対家計民間非営利団体  (5) Private Non-profit Institutions Serving Households,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
