階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．民間最終消費支出 Private final consumption expenditure,98.6,97.8,97.9,99.8,99.9,99.8,100.3,100.7,101.4,101.3,102.4
2,（1）家計最終消費支出 Final consumption expenditure of households,98.6,97.8,97.9,99.8,100,99.8,100.3,100.8,101.4,101.4,102.4
2,（2）対家計民間非営利団体最終消費支出 Final consumption expenditure of private non-profit institutions serving households,99.6,98.2,98.2,99.4,99.6,99.2,99.9,100.3,100.1,99.5,101.1
1,2．地方政府等最終消費支出 Final consumption expenditure of local government and local social security funds,99.5,98.7,98.4,100.2,100,99.6,100.2,100.4,100.8,99.9,101
1,3．都内総資本形成 Gross prefectural capital formation,97,96.7,97.9,99.6,99.9,99.2,100.4,101.4,101.9,102.1,105.4
2,（1）総固定資本形成 Gross fixed capital formation,97,96.7,97.8,99.6,99.9,99.3,100.3,101.4,102.1,102,105.5
3,ａ．民間 Private sectors,97.2,96.9,97.9,99.6,99.9,99.2,100.2,101.3,101.8,101.6,105.2
4,（ａ）住宅 Residential Investment,94.7,94.2,96.4,99.8,99.9,99.8,101.6,103.2,104.8,105.4,113.3
4,（ｂ）企業設備 Non-Resi. Investment,97.8,97.5,98.3,99.5,99.9,99.1,99.9,100.8,101.1,100.7,103.3
3,ｂ．公的 Public sectors,95,94.8,96.3,99.6,99.8,99.5,101,102.8,104.3,104.7,108.2
4,（ａ）住宅 Residential Investment,94.8,94.3,96.3,99.9,99.8,99.5,101.2,103,105.1,105.6,111.4
4,（ｂ）企業設備 Non-Resi. Investment,96.8,96.4,97.7,99.5,99.8,99.2,100.5,102.1,103,102.9,106.4
4,（ｃ）一般政府（中央政府等・地方政府等） General government,94.4,94.3,95.8,99.6,99.8,99.6,101.2,103,104.7,105.2,108.6
2,（2）在庫変動 Changes in inventories,―,―,―,―,―,―,―,―,―,―,―
3,ａ．民間企業 Private sectors,―,―,―,―,―,―,―,―,―,―,―
3,ｂ．公的（公的企業・一般政府） Public sectors (Public corporations， General government),―,―,―,―,―,―,―,―,―,―,―
1,4．財貨・サービスの移出入（純）・統計上の不突合・開差 Outflows of goods and services， net/Statistical discrepancy/Residual,―,―,―,―,―,―,―,―,―,―,―
0,5．都内総生産（支出側） Gross prefectural domestic product(expenditure approach) ,99.6,98.7,98.1,100,99.9,100.3,100.2,100.8,101.6,102.6,103.5
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series（2015暦年＝100）  (Calendar year of 2015 = 100),,,,,,,,,,,,
(7)　都内総生産（支出側、デフレーター：連鎖方式）(7) Gross Prefectural Domestic Product (Deflators: Expenditure Approach， Chain-linked),,,,,,,,,,,,
注１）「中央政府等」は、中央政府と全国社会保障基金である。,,,,,,,,,,,,
注２）「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
