階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．財産所得（支払） Property income， payable,10801105,11103584,11613120,12849910,13994086,13008498,13675269,14535068,15729095,14110450,16419789
2,（1）利子（支払） Interest， payable,8031627,7180295,6989166,7515230,8303268,7471342,8162091,9011961,11064339,9580479,11425626
2,（2）法人企業の分配所得（支払） Distributed income of corporations， payable,489413,1225592,1584421,2365965,2785357,2674425,2584821,2485991,1630760,1579216,1940070
2,（3）その他の投資所得（支払） Other investment income， payable,2240081,2660812,3005245,2934083,2868864,2825597,2889577,2993547,2990373,2908197,3011749
3,a.保険契約者に帰属する投資所得（支払） Investment income attributable to insurance policyholders， payable,1439193,1559173,1632792,1750061,1773838,1728501,1766365,1842979,1841220,1881859,1978322
3,b.年金受給権に係る投資所得（支払） Investment income on pension entitlements， payable,800888,801586,802946,805915,807673,810077,815161,820921,829310,836547,842793
3,c.投資信託投資者に帰属する投資所得（支払） Investment income attributable to investment funds share holders， payable,0,300053,569507,378108,287352,287019,308052,329646,319842,189791,190634
2,（4）賃貸料（支払） Rent， payable,39984,36885,34288,34632,36597,37134,38780,43569,43624,42557,42345
1,2．所得・富等に課される経常税 Current taxes on income， wealth， etc.， payable,764411,867921,1207040,1517779,1307210,1300351,1637907,1505392,2093756,2010601,2382215
1,3．現物社会移転以外の社会給付 Social benefits other than social transfers in kind， payable,1681771,1668492,1537404,1508883,1554683,1447200,1429379,1405958,1503438,1583385,1644973
2,（1）その他の社会保険年金給付 Other social insurance pension benefits,1677736,1664483,1533444,1505043,1550803,1443170,1425313,1401843,1499428,1579401,1641144
2,（2）その他の社会保険非年金給付 Other social insurance non-pension benefits,4035,4009,3960,3840,3880,4030,4066,4114,4010,3984,3829
1,4．その他の経常移転（支払） Other current transfers， payable,868389,821332,836572,808722,816806,940959,823413,862655,884156,927239,1076982
2,うち非生命純保険料（支払） Of which net non-life insurance premiums， payable,22378,21497,20572,19556,19021,18222,17608,17611,16768,25362,29644
2,非生命保険金（支払） non-life insurance claims， payable,571920,530356,537567,508239,504896,625002,509627,544375,565610,610554,754151
1,5．年金受給権の変動調整 Adjustment for the change in pension entitlements， payable,519867,525400,658102,763849,692332,808147,820344,879979,834886,795743,720564
1,6．貯蓄 Saving,3825209,3677187,3944310,3824658,4349052,3884562,4062101,4252165,3098376,3443938,3997240
0,支払 Uses,18460752,18663916,19796547,21273802,22714169,21389717,22448412,23441216,24143707,22871357,26241764
1,7．営業余剰 Operating surplus,4071986,3690122,3895389,3698896,3710803,3447028,3675590,3525741,3695713,3718488,4130406
1,8．財産所得（受取） Property income， receivable,11278412,11975329,12927880,14607907,16059637,14873120,15797564,16896894,17345329,15450502,18337088
2,（1）利子（受取） Interest， receivable,9560410,9563539,9957178,11284218,12258765,11172742,11807854,12806827,13589662,11785059,13672055
2,（2）法人企業の分配所得（受取） Distributed income of corporations， receivable,1716858,2297372,2753818,3175941,3678045,3569376,3841572,3924296,3586351,3569158,4571413
2,（3）その他の投資所得（受取） Other investment income， receivable,1143,114418,216885,147748,122827,131003,148138,165770,169316,96285,93620
3,a.保険契約者に帰属する投資所得（受取） Investment income attributable to insurance policyholders， receivable,1143,1100,973,946,907,743,707,679,569,505,640
