階層 Hierarchy,項目 Items,2011年度(Fiscal Year2011)／雇主の現実社会負担 Employers' actual social contributions,2011年度(Fiscal Year2011)／家計の現実社会負担 Households' actual social contributions,2011年度(Fiscal Year2011)／合計 Total,2012年度(Fiscal Year2012)／雇主の現実社会負担 Employers' actual social contributions,2012年度(Fiscal Year2012)／家計の現実社会負担 Households' actual social contributions,2012年度(Fiscal Year2012)／合計 Total,2013年度(Fiscal Year2013)／雇主の現実社会負担 Employers' actual social contributions,2013年度(Fiscal Year2013)／家計の現実社会負担 Households' actual social contributions,2013年度(Fiscal Year2013)／合計 Total,2014度(Fiscal Year2014)／雇主の現実社会負担 Employers' actual social contributions,2014度(Fiscal Year2014)／家計の現実社会負担 Households' actual social contributions,2014度(Fiscal Year2014)／合計 Total,2015年度(Fiscal Year2015)／雇主の現実社会負担 Employers' actual social contributions,2015年度(Fiscal Year2015)／家計の現実社会負担 Households' actual social contributions,2015年度(Fiscal Year2015)／合計 Total,2016度(Fiscal Year2016)／雇主の現実社会負担 Employers' actual social contributions,2016度(Fiscal Year2016)／家計の現実社会負担 Households' actual social contributions,2016度(Fiscal Year2016)／合計 Total,2017年度(Fiscal Year2017)／雇主の現実社会負担 Employers' actual social contributions,2017年度(Fiscal Year2017)／家計の現実社会負担 Households' actual social contributions,2017年度(Fiscal Year2017)／合計 Total,2018年度(Fiscal Year2018)／雇主の現実社会負担 Employers' actual social contributions,2018年度(Fiscal Year2018)／家計の現実社会負担 Households' actual social contributions,2018年度(Fiscal Year2018)／合計 Total,2019年度(Fiscal Year2019)／雇主の現実社会負担 Employers' actual social contributions,2019年度(Fiscal Year2019)／家計の現実社会負担 Households' actual social contributions,2019年度(Fiscal Year2019)／合計 Total,2020年度(Fiscal Year2020)／雇主の現実社会負担 Employers' actual social contributions,2020年度(Fiscal Year2020)／家計の現実社会負担 Households' actual social contributions,2020年度(Fiscal Year2020)／合計 Total,2021年度(Fiscal Year 2021)／現物社会移転以外の社会給付 Social benefits other than social transfers,2021年度(Fiscal Year 2021)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2021年度(Fiscal Year 2021)／合計 Total
1,1．特別会計 Special accounts,4789812,4670121,9459933,4892767,4783463,9676230,5066378,4953004,10019383,5322369,5194399,10516768,5639385,5495227,11134612,5907193,5779639,11686832,6162223,6020314,12182537,6392435,6249915,12642351,6647155,6499160,13146316,6574859,6419684,12994543,6910297,6750494,13660791
2,（1）年金(除児童手当) Public pension (excluding children allowances),4267618,4456484,8724101,4417974,4603425,9021399,4585687,4774077,9359764,4821591,5008877,9830469,5122709,5302398,10425107,5433291,5619747,11053038,5720059,5898076,11618135,5943884,6123307,12067191,6188024,6369213,12557236,6108572,6287195,12395767,6433779,6611551,13045329
3,ａ．健康保険 Health insurance,418290,418290,836580,448886,448886,897773,465104,465104,930207,487577,487577,975153,519661,519661,1039322,560331,560331,1120661,597198,597198,1194396,635729,635729,1271459,727805,727805,1455610,716629,716629,1433258,772800,772800,1545601
3,ｂ．厚生年金 Welfare pension,3849328,3849328,7698655,3969088,3969088,7938176,4120583,4120583,8241167,4334015,4334015,8668029,4603048,4603048,9206095,4872961,4872961,9745921,5122862,5122862,10245723,5308154,5308154,10616309,5460219,5460219,10920437,5391943,5391943,10783886,5660978,5660978,11321957
3,ｃ．国民年金 National pension,―,188866,188866,―,185451,185451,―,188390,188390,―,187286,187286,―,179690,179690,―,186456,186456,―,178016,178016,―,179423,179423,―,181189,181189,―,178623,178623,―,177772,177772
2,（2）労働保険 Labor insurance,522194,213637,735832,474793,180038,654830,480691,178928,659619,500778,185522,686300,516676,192829,709505,473902,159892,633793,442164,122238,564402,448552,126608,575160,459132,129948,589079,466287,132489,598776,476518,138944,615462
3,ａ．労災保険 Industrial accident insurance,185794,―,185794,171650,―,171650,176301,―,176301,185167,―,185167,188618,―,188618,194910,―,194910,197757,―,197757,195893,―,195893,199307,―,199307,199831,―,199831,198702,―,198702
3,ｂ．雇用保険 Employment insurance,336400,213637,550038,303143,180038,483180,304390,178928,483318,315611,185522,501133,328058,192829,520887,278992,159892,438883,244407,122238,366645,252659,126608,379267,259825,129948,389773,266456,132489,398945,277816,138944,416760
2,（3）船員保険 Seamen's insurance,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―
1,2．国民健康保険 National health insurance,―,293555,293555,―,297891,297891,―,307137,307137,―,310277,310277,―,306866,306866,―,306896,306896,―,302782,302782,―,301145,301145,―,295162,295162,―,284378,284378,―,283912,283912
1,3．後期高齢者医療 Latter-stage elderly health care,―,104077,104077,―,117124,117124,―,118997,118997,―,129656,129656,―,131002,131002,―,137476,137476,―,142727,142727,―,149535,149535,―,154666,154666,―,158323,158323,―,158751,158751
1,4．共済組合 Mutual benefit association,423045,416055,839100,430825,426114,856939,447122,442888,890009,468530,464260,932790,477401,472515,949916,486012,482640,968653,494683,491428,986111,506872,503758,1010630,514739,511748,1026487,520276,517373,1037649,521252,518494,1039746
2,（1）国家公務員共済組合 Mutual aid associations of national public service personnel ,200447,200447,400893,203818,203818,407636,214003,214003,428006,225217,225217,450434,234932,234932,469863,240704,240704,481408,246518,246518,493037,254490,254490,508979,258515,258515,517030,260501,260501,521001,263160,263160,526321
2,（2）地方公務員共済組合 Mutual aid associations of local public service personnel ,136369,136369,272739,141710,141710,283420,142377,142377,284754,148834,148834,297668,150777,150777,301553,154546,154546,309091,157098,157098,314196,160933,160933,321865,162882,162882,325764,164507,164507,329013,162011,162011,324022
2,（3）その他 Others,86229,79239,165469,85297,80586,165883,90742,86508,177250,94479,90209,184688,91692,86807,178499,90763,87391,178153,91066,87812,178878,91450,88335,179785,93342,90351,183693,95269,92366,187635,96080,93323,189404
1,5．組合管掌健康保険 Corporate health insurance societies,601311,495587,1096899,637468,529420,1166888,673595,561430,1235026,702495,587467,1289962,719104,602413,1321517,735782,616577,1352359,757538,635632,1393169,773773,649541,1423315,771990,648488,1420478,766029,644191,1410220,773519,650475,1423994
1,6．全国健康保険協会 Japan health insurance association,―,3307,3307,―,3411,3411,―,3520,3520,―,3567,3567,―,3534,3534,―,3462,3462,―,3547,3547,―,3914,3914,―,4171,4171,―,4237,4237,―,4290,4290
1,7．児童手当及び子ども手当 Children allowances,34008,―,34008,38212,―,38212,45114,―,45114,46214,―,46214,47052,―,47052,47395,―,47395,47562,―,47562,47455,―,47455,46930,―,46930,46145,―,46145,45462,―,45462
1,8．基金 Funds,6356,0,6356,4385,0,4385,3949,0,3949,3977,―,3977,4010,―,4010,4055,―,4055,4075,―,4075,4093,0,4093,4091,―,4091,4125,―,4125,4063,―,4063
1,9．介護保険 Long-term care insurance,89531,301896,391427,91694,346454,438148,96042,362672,458714,111236,396149,507385,107609,414814,522422,112208,426641,538848,122991,445522,568513,125388,460541,585929,144866,491514,636380,153061,493245,646305,162025,510612,672637
