階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．都民雇用者報酬 Prefectural compensation of employees,35658406,35869457,36120551,36898852,37208579,38327052,38947399,39793166,39641208,39603152,39703831
2,（1）賃金・俸給 Wages and salaries,29518120,29619824,29708474,30158459,30238854,31112346,31516713,32120161,31685141,31660331,31521486
2,（2）雇主の社会負担 Employers' social contributions,6140285,6249633,6412077,6740394,6969725,7214706,7430686,7673005,7956067,7942821,8182345
3,ａ．雇主の現実社会負担 Employers' actual social contributions,6708082,6779531,6827813,7002875,7219715,7338166,7580999,7786978,8144389,8185575,8513194
3,ｂ．雇主の帰属社会負担 Employers' imputed social contributions,-567797,-529899,-415736,-262481,-249990,-123460,-150313,-113973,-188322,-242753,-330849
1,2．財産所得（非企業部門） Property income (unincorporated enterprises),6335265,6811394,7182947,7960487,8721478,8522723,8794093,9400759,8590305,8551219,10118770
2,ａ．受取 Receivable,6634849,7099836,7463397,8249451,9001020,8784359,9048884,9642295,8828681,8759076,10333907
2,ｂ．支払 Payable,299584,288442,280450,288964,279543,261636,254791,241536,238376,207857,215137
2,（1）一般政府（地方政府等） Local government and local social security funds,-58583,-50608,60175,247372,195001,118005,-756,14775,18054,35601,24605
3,ａ．受取 Receivable,145639,146567,248146,419389,355975,257440,127427,132002,127151,134591,122179
3,ｂ．支払 Payable,204222,197175,187972,172017,160974,139435,128183,117227,109098,98991,97574
2,（2）家計 Households,6353148,6824843,7085412,7676169,8490546,8366835,8751625,9340198,8530989,8474504,10046481
3,(1)利子Interest,1620038,902510,787587,621089,962977,1014796,1085126,1176567,1664644,1463383,1423408
4,ａ．受取 Receivable,1710505,989743,876117,730390,1073723,1131025,1206305,1294985,1786505,1566716,1535620
4,ｂ．支払（消費者負債利子） Payable (consumer debt interest),90467,87233,88530,109301,110746,116228,121179,118419,121861,103333,112212
3,(2)配当（受取） Dividends， receivable,1027893,2146090,2166193,2546370,2802448,2726702,2598802,3185036,1842999,2526943,2552495
3,(3)その他の投資所得（受取） Other investment income， receivable,2351890,2657438,2898218,2886620,2839734,2787711,2828255,2902490,2893682,2883937,2995160
3,(4)賃貸料（受取） Rent， receivable,1353327,1118805,1233413,1622090,1885387,1837626,2239443,2076106,2129664,1600241,3075417
2,（3）対家計民間非営利団体 Private non-profit institutions serving households,40701,37158,37360,36946,35930,37883,43225,45786,41262,41114,47685
3,ａ．受取 Receivable,45595,41193,41309,44592,43754,43856,48653,51676,48680,46647,53035
3,ｂ．支払 Payable,4894,4035,3949,7646,7823,5972,5428,5890,7418,5532,5351
1,3．企業所得 Entrepreneurial income,26891498,27810971,31772305,30823624,33001670,31762171,32700480,33005211,31764628,24953212,30882706
2,（1）民間法人企業 Private corporations,19343851,20554859,24279956,23366403,25243816,24483385,25242948,25482873,24723038,18006959,24210832
3,ａ．非金融法人企業 Non-financial corporations,17531109,18352607,21406829,20516228,21869000,21456197,21762990,21853386,21491657,15028239,19830852
3,ｂ．金融機関 Financial corporations,1812742,2202251,2873127,2850175,3374816,3027188,3479959,3629486,3231381,2978720,4379980
2,（2）公的企業 Public corporations,2857660,2551555,2510251,2735178,2732476,2502406,2621490,2647524,2363437,2127459,1770505
3,ａ．非金融法人企業 Non-financial corporations,121110,191940,173229,128460,330939,217944,303563,389444,282872,47638,102780
3,ｂ．金融機関 Financial corporations,2736550,2359615,2337022,2606718,2401537,2284462,2317927,2258081,2080565,2079821,1667725
2,（3）個人企業 Private unincorporated enterprises ,4689987,4704557,4982098,4722043,5025377,4776380,4836042,4874814,4678153,4818794,4901369
3,ａ．農林水産業 Agriculture， forestry and fishing,8909,12407,15239,11439,15564,16674,12447,4356,3536,1540,-5665
3,ｂ．その他の産業（非農林水産・非金融） Others,1619859,1539339,1847642,1735271,2045077,1775235,1910606,1959272,1773100,1821404,2136638
3,ｃ．持ち家 Imputed service of owner-occupied dwellings,3061219,3152811,3119217,2975333,2964736,2984471,2912989,2911186,2901517,2995850,2770396
1,4．都民所得（要素費用表示）（1＋2＋3） Prefectural income (at factor cost) (1+2+3),68885169,70491822,75075803,75682964,78931726,78611946,80441973,82199135,79996140,73107583,80705307
1,5．生産･輸入品に課される税（控除）補助金（地方政府）  Local taxes on production and imports less local government subsidies,2730197,2713332,2749151,2749013,3516125,3471592,3491448,3614825,3633120,3474938,3779874
2,（1）生産・輸入品に課される税 Local taxes on production and imports,2936974,2881389,2924488,3015540,3700292,3665646,3681889,3795008,3842721,4046831,4383263
2,（2）（控除）補助金 (less) local government subsidies,206777,168057,175337,266527,184167,194054,190440,180183,209601,571893,603389
1,6．都民所得（第1次所得バランス）（4＋5）Prefectural income (primary income balance) (4+5),71615366,73205154,77824954,78431977,82447852,82083538,83933421,85813961,83629261,76582521,84485181
1,7．経常移転（純）Current transfers， net,-6634804,-7405350,-8889408,-9352873,-9907274,-10337387,-11749016,-12340375,-12909966,-7403627,-10574676
2,（1）非金融法人企業及び金融機関 Non-financial corporations and financial corporations,-2654668,-3354269,-4352359,-4539333,-4510699,-4535535,-5189092,-5277931,-5752145,1316446,-882345
2,（2）一般政府（地方政府等） Local government and local social security funds,4410250,4617558,5126798,5473323,5461676,5548724,5560639,5749057,5909452,1445828,2954121
