階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011)／現物社会移転以外の社会給付 Social benefits other than social transfers,2011年度(Fiscal Year 2011)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2011年度(Fiscal Year 2011)／合計 Total,2012年度(Fiscal Year 2012)／現物社会移転以外の社会給付 Social benefits other than social transfers,2012年度(Fiscal Year 2012)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2012年度(Fiscal Year 2012)／合計 Total,2013度(Fiscal Year 2013)／現物社会移転以外の社会給付 Social benefits other than social transfers,2013度(Fiscal Year 2013)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2013度(Fiscal Year 2013)／合計 Total,2014年度(Fiscal Year 2014)／現物社会移転以外の社会給付 Social benefits other than social transfers,2014年度(Fiscal Year 2014)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2014年度(Fiscal Year 2014)／合計 Total,2015年度(Fiscal Year 2015)／現物社会移転以外の社会給付 Social benefits other than social transfers,2015年度(Fiscal Year 2015)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2015年度(Fiscal Year 2015)／合計 Total,2016年度(Fiscal Year 2016)／現物社会移転以外の社会給付 Social benefits other than social transfers,2016年度(Fiscal Year 2016)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2016年度(Fiscal Year 2016)／合計 Total,2017年度(Fiscal Year 2017)／現物社会移転以外の社会給付 Social benefits other than social transfers,2017年度(Fiscal Year 2017)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2017年度(Fiscal Year 2017)／合計 Total,2018年度(Fiscal Year 2018)／現物社会移転以外の社会給付 Social benefits other than social transfers,2018年度(Fiscal Year 2018)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2018年度(Fiscal Year 2018)／合計 Total,2019年度(Fiscal Year 2019)／現物社会移転以外の社会給付 Social benefits other than social transfers,2019年度(Fiscal Year 2019)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2019年度(Fiscal Year 2019)／合計 Total,2020年度(Fiscal Year 2020)／現物社会移転以外の社会給付 Social benefits other than social transfers,2020年度(Fiscal Year 2020)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2020年度(Fiscal Year 2020)／合計 Total,2021年度(Fiscal Year 2021)／現物社会移転以外の社会給付 Social benefits other than social transfers,2021年度(Fiscal Year 2021)／現物社会移転（市場産出の購入） Social transfers in kind (purchased market production),2021年度(Fiscal Year 2021)／合計 Total
1,1．社会保障給付 Social security benefits,6540311,3670487,10210798,6630414,3807922,10438336,6727775,3931625,10659399,6664104,4046004,10710108,6793768,4209616,11003384,6839612,4251764,11091376,6898110,4374665,11272775,6945161,4463159,11408320,6944898,4646504,11591402,6992159,4529548,11521707,7011748,4831756,11843504
2,（1）特別会計 Special accounts,5403253,19900,5423153,5484409,21374,5505784,5553956,21543,5575499,5515680,22526,5538206,5630100,22155,5652255,5677242,22449,5699691,5741293,23323,5764616,5780192,25390,5805582,5765832,25411,5791243,5817812,23690,5841502,5830781,24383,5855165
3,(1)年金(除児童手当) Public pension (excluding children allowances),5179427,―,5179427,5272839,―,5272839,5356607,―,5356607,5333512,―,5333512,5450270,―,5450270,5508580,―,5508580,5574668,―,5574668,5611532,―,5611532,5612461,―,5612461,5610241,―,5610241,5631713,―,5631713
4,ａ．健康保険 Health insurance,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―
4,ｂ．厚生年金 Welfare pension,3030899,―,3030899,3042375,―,3042375,3038087,―,3038087,2961323,―,2961323,2981889,―,2981889,2983275,―,2983275,2990522,―,2990522,2997429,―,2997429,2972202,―,2972202,2942369,―,2942369,2939611,―,2939611
4,ｃ．国民年金 National pension,2148529,―,2148529,2230464,―,2230464,2318520,―,2318520,2372189,―,2372189,2468381,―,2468381,2525305,―,2525305,2584146,―,2584146,2614103,―,2614103,2640258,―,2640258,2667872,―,2667872,2692102,―,2692102
3,(2)労働保険 Labor insurance,223825,19900,243725,211570,21374,232944,197349,21543,218892,182168,22526,204694,179830,22155,201984,168662,22449,191111,166625,23323,189948,168659,25390,194049,153372,25411,178783,207570,23690,231261,199068,24383,223452
4,ａ．労災保険 Industrial accident insurance,53586,19900,73486,54418,21374,75792,53509,21543,75052,53961,22526,76487,53384,22155,75539,52968,22449,75417,52765,23323,76088,52656,25390,78046,54335,25411,79746,53435,23690,77126,52294,24383,76678
4,ｂ．雇用保険 Employment insurance,170239,―,170239,157152,―,157152,143841,―,143841,128207,―,128207,126445,―,126445,115693,―,115693,113860,―,113860,116004,―,116004,99036,―,99036,154135,―,154135,146774,―,146774
3, '(3)船員保険 Seamen's insurance,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―,―
