支出の目的 Purpose of expenditure,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．食料・非アルコール飲料 Food and non-alcoholic beverages,93.8,93.2,93.8,97.9,100.6,102.2,103.2,103.6,104.5,104.8,105.6
2．アルコール飲料・たばこ Alcoholic beverages and tobacco,97.5,97.1,96.7,100.2,99.9,101,103,105.2,108.5,112.3,117.9
3．被服・履物 Clothing and footwear,95.2,95.3,95.9,98.9,100.5,101.9,102.3,102.1,103,103.7,104
4．住居・電気・ガス・水道 Housing， electricity， gas and water supply,100.8,100.5,100.5,100.7,99.5,98.2,98.3,98.4,98.3,97.5,99.2
5．家具・家庭用機器・家事サービス Furnishings， household equipment and household services,104.8,98.9,96.9,99.9,100,99.7,98.9,98.1,100.5,102.2,102.9
6．保健・医療 Health,99.5,99.4,99.3,99.9,100,99.4,99.4,98.5,98.8,98.5,98.1
7．交通 Transport,98.1,98.2,99.4,102.9,99.1,98.2,100.2,102.8,103.6,102.9,107.6
8．情報・通信 Information and communication,101.7,97.9,98.1,99.5,100.5,97.8,95.8,93.7,91.5,92,88.4
9．娯楽・スポーツ・文化 Recreation， sports and culture,97.1,96.7,96.8,99.5,100.1,100.9,101.1,101.9,103.5,104.9,106.5
10．教育サービス Education services,99.6,98.2,98,99.5,100,99.5,100,100,99.5,100,101.9
11．外食・宿泊サービス Restaurants and hotels services,94.6,94.8,94.6,98.6,100.3,101.1,101.6,102.8,104.6,105,106.2
12．保険・金融サービス Insurance and finance services,103.3,100.6,99.6,99.7,100.2,101.1,102.8,104.9,106.2,104,103.4
13．個別ケア・社会保護・その他 Personal care， social protection and miscellaneous goods and services,96.4,95.9,96.8,99.6,99.9,99.9,100.4,101,102.4,103.3,104.7
家計最終消費支出 Final consumption expenditure of households,98.6,97.8,97.9,99.8,100,99.8,100.3,100.8,101.4,101.4,102.4
,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,
５　付表  ５　Supporting Tables（2015暦年＝100）  (Calendar year of 2015 = 100),,,,,,,,,,,
(8)　家計の目的別最終消費支出の構成（デフレーター：連鎖方式）(8) Composition of Final Consumption Expenditure of Households classified by Purpose    (Deflators: Chain-linked),,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
