階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1,1．民間最終消費支出 Private final consumption expenditure,38480338,38863046,40165892,40704246,41469113,41508436,42550386,43331721,43540482,41914604,43956659
2,（1）家計最終消費支出 Final consumption expenditure of households,37127730,37483042,38799974,39399703,40076620,40071070,41109539,41941398,42078429,40298001,42368456
3,ａ．家計最終消費支出（除く持ち家の帰属家賃）  Final consumption expenditure of households (excluding imputed service of owner-occupied dwellings),29995369,30315108,31600359,32164572,32807561,32769684,33777403,34580674,34640630,32774045,34751281
3,ｂ．持ち家の帰属家賃 Imputed service of owner-occupied dwellings,7132361,7167934,7199614,7235131,7269059,7301386,7332137,7360723,7437799,7523956,7617174
2,（2）対家計民間非営利団体最終消費支出 Final consumption expenditure of private non-profit institutions serving households,1352608,1380004,1365919,1304543,1392493,1437365,1440847,1390324,1462053,1616603,1588203
1,2．地方政府等最終消費支出 Final consumption expenditure of local government and local social security funds,6656357,6729002,6887654,6957973,7167855,7195744,7356980,7386202,7716927,7850867,8364920
1,3．都内総資本形成 Gross prefectural capital formation,18220124,18005377,19829478,19935129,20988061,20254726,21596821,22131307,22732449,19311973,20689589
2,（1）総固定資本形成 Gross fixed capital formation,17644824,17843390,19432578,19946804,20251346,20578427,21276176,21730823,21924041,20401060,21347374
3,ａ．民間 Private sectors,15667955,15860130,17349282,17767557,18125962,18211946,18890183,19079579,19040670,18079225,18922802
4,（ａ）住宅 Residential Investment,2978097,2981316,3256496,3302766,3463546,3605765,3818203,3691370,3629950,3587156,3716820
4,（ｂ）企業設備 Non-Resi. Investment,12689858,12878814,14092786,14464791,14662416,14606180,15071980,15388209,15410720,14492069,15205981
3,ｂ．公的 Public sectors,1976869,1983260,2083296,2179247,2125385,2366481,2385993,2651243,2883372,2321835,2424572
4,（ａ）住宅 Residential Investment,94036,153559,114630,115480,113676,121942,115464,128058,123342,111851,110836
4,（ｂ）企業設備 Non-Resi. Investment,431033,399916,494357,516684,544093,625837,577208,681259,671881,433297,550135
4,（ｃ）一般政府（中央政府等・地方政府等） General government,1451800,1429785,1474309,1547083,1467615,1618702,1693320,1841926,2088148,1776686,1763601
2,（2）在庫変動 Changes in inventories,575300,161987,396899,-11675,736715,-323701,320646,400484,808408,-1089087,-657785
3,ａ．民間企業 Private sectors,573345,136723,243077,-129582,780735,-170357,234292,486660,579332,-764861,-616754
3,ｂ．公的（公的企業・一般政府） Public sectors (Public corporations， General government),1955,25264,153822,117907,-44020,-153343,86354,-86175,229076,-324225,-41031
1,4．財貨・サービスの移出入（純）・統計上の不突合 Outflows of goods and services， net/Statistical discrepancy,38566148,39376808,39327975,38904205,40395770,42245589,41892696,42119485,40538030,40342475,40674750
2,（1）財貨・サービスの移出入（純） Outflows of goods and services， net,34322525,35745531,36490452,35557526,36794849,37684302,36764294,37151389,37080294,37139805,39553678
2,（2）統計上の不突合 Statistical discrepancy,4243622,3631277,2837524,3346680,3600921,4561287,5128403,4968096,3457736,3202670,1121072
0,5．都内総生産（支出側）（1＋2＋3＋4） Gross prefectural domestic product (expenditure approach) (1+2+3+4),101922967,102974233,106210999,106501553,110020800,111204495,113396884,114968715,114527888,109419920,113685917
,（参考）都外からの要素所得（純） (cf) Incomes from outside Tokyo， net,-9350939,-8881229,-6968555,-5654298,-4901956,-6135648,-5949168,-5370209,-6721333,-8469485,-3859034
,（参考）都民総所得（市場価格） (cf) Gross prefectural income (at market prices),92572028,94093004,99242444,100847255,105118844,105068847,107447716,109598507,107806555,100950435,109826883
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series (単位: 100万円　Millions of Yen),,,,,,,,,,,,
(5)　都内総生産（支出側、名目）  (5) Gross Prefectural Domestic Product (Expenditure Approach: at current prices),,,,,,,,,,,,
注１）「中央政府等」は、中央政府と全国社会保障基金である。,,,,,,,,,,,,
注２）「地方政府等」は、地方政府と地方社会保障基金である。,,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
