項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．（1）都内総生産（生産側及び支出側、名目）(10億円 Billions of Yen) Gross prefectural domestic product (production and expenditure approach， at current prices),101923,102974.2,106211,106501.6,110020.8,111204.5,113396.9,114968.7,114527.9,109419.9,113685.9
1．（1）都内総生産（生産側及び支出側、名目）（増加率）(%) Gross prefectural domestic product (production and expenditure approach， at current prices) (Percent changes from previous fiscal year),―,1,3.1,0.3,3.3,1.1,2,1.4,-0.4,-4.5,3.9
（2）国内総生産（生産側及び支出側、名目）(10億円 Billions of Yen) Gross domestic product (production and expenditure  approach， at current prices),500046.2,499420.6,512677.5,523422.8,540740.8,544829.9,555712.5,556570.5,556836.3,537561.5,550530.4
（2）国内総生産（生産側及び支出側、名目）（増加率）(%) Gross domestic product (production and expenditure  approach， at current prices) (Percent changes from previous fiscal year),―,-0.1,2.7,2.1,3.3,0.8,2,0.2,0,-3.5,2.4
（3）対全国比(%) Tokyo's percentage,20.4,20.6,20.7,20.3,20.3,20.4,20.4,20.7,20.6,20.4,20.7
2．（1）都内総生産（生産側及び支出側、実質：連鎖方式）(10億円 Billions of Yen) Gross prefectural domestic product (production and expenditure approach， real: chain-linked),102291.9,104380,108246.4,106474.9,110146.1,110829.3,113166.5,114041.2,112673.7,106693.9,109796.8
2．（1）都内総生産（生産側及び支出側、実質：連鎖方式）（増加率）(%) Gross prefectural domestic product (production and expenditure approach， real: chain-linked) (Percent changes from previous fiscal year),―,2,3.7,-1.6,3.4,0.6,2.1,0.8,-1.2,-5.3,2.9
（2）国内総生産（支出側、実質：連鎖方式）(10億円 Billions of Yen) Gross domestic product (expenditure approach，   real: chain-linked),514686.7,517919.3,532072.3,530195.3,539413.5,543479.1,553173.5,554546.3,550131,527388.4,540796.1
（2）国内総生産（支出側、実質：連鎖方式）（増加率）(%) Gross domestic product (expenditure approach， real: chain-linked) (Percent changes from previous fiscal year),―,0.6,2.7,-0.4,1.7,0.8,1.8,0.2,-0.8,-4.1,2.5
（3）対全国比(%) Tokyo's percentage,19.9,20.2,20.3,20.1,20.4,20.4,20.5,20.6,20.5,20.2,20.3
3．（1）都民総所得（名目）(10億円 Billions of Yen) Gross prefectural income (at current prices),92572,94093,99242.4,100847.3,105118.8,105068.8,107447.7,109598.5,107806.6,100950.4,109826.9
3．（1）都民総所得（名目）（増加率）(%) Gross prefectural income (at current prices) (Percent changes from previous fiscal year),―,1.6,5.5,1.6,4.2,0,2.3,2,-1.6,-6.4,8.8
（2）国民総所得（名目）(10億円 Billions of Yen) Gross national income (at current prices),514194.3,513709.9,530801.3,543356.2,561901.9,563984,576032.6,578282.1,578682.8,557200.3,579781
（2）国民総所得（名目）（増加率）(%) Gross national income (at current prices) (Percent changes from previous fiscal year),―,-0.1,3.3,2.4,3.4,0.4,2.1,0.4,0.1,-3.7,4.1
（3）対全国比(%) Tokyo's percentage,18,18.3,18.7,18.6,18.7,18.6,18.7,19,18.6,18.1,18.9
4．（1）都民所得（名目）(10億円 Billions of Yen) Prefectural income (at current prices),68885.2,70491.8,75075.8,75683,78931.7,78611.9,80442,82199.1,79996.1,73107.6,80705.3
4．（1）都民所得（名目）（増加率）(%) Prefectural income (at current prices) (Percent changes from previous fiscal year),―,2.3,6.5,0.8,4.3,-0.4,2.3,2.2,-2.7,-8.6,10.4
（2）国民所得（名目）(10億円 Billions of Yen) National income (at current prices),357473.5,358156.2,372570,376677.6,392629.3,392293.9,400621.5,403099.1,402026.7,375388.7,395932.4
（2）国民所得（名目）（増加率）(%) Prefectural income (at current prices) (Percent changes from previous fiscal year),―,0.2,4,1.1,4.2,-0.1,2.1,0.6,-0.3,-6.6,5.5
（3）対全国比(%) Tokyo's percentage,19.3,19.7,20.2,20.1,20.1,20,20.1,20.4,19.9,19.5,20.4
,,,,,,,,,,,
"都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021							",,,,,,,,,,,
４　関連指標  ４　Related Indicators,,,,,,,,,,,
(2)　国との比較（都内総生産等）(2) Comparison with National Accounts (Gross Prefectural Domestic Product， etc.),,,,,,,,,,,
注）全国値は「2021年度国民経済計算」（内閣府経済社会総合研究所）より引用  Note1: National data from “Annual Report on National Accounts for 2021” by Economic and Social Research Institute， Cabinet Office，  Government of Japan,,,,,,,,,,,
 Note2: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
