項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
1．財貨・サービスの移出入（純） Outflows of goods and services， net,34322525,35745531,36490452,35557526,36794849,37684302,36764294,37151389,37080294,37139805,39553678
2．雇用者報酬（支払） Compensation of employees， payable,2044632,2058025,2078409,2199200,2230539,2271455,2319465,2420625,2461085,2326052,2275880
3．財産所得（支払） Property income， payable,4272131,4810909,6801132,8253648,9299338,8361797,8445441,9193851,7542054,5679034,10415539
4．経常移転（支払） Current transfers， payable ,―,―,―,―,―,―,―,―,―,―,―
5．経常都外収支 Current external balance,-16428053,-17460507,-18632266,-18123401,-19730716,-18792223,-16545013,-17033848,-14884786,-18415106,-22314992
支払 Uses,24211235,25153958,26737727,27886972,28594010,29525332,30984187,31732018,32198647,26729785,29930104
6．雇用者報酬（受取） Compensation of employees， receivable,15667702,15750164,15848096,16107146,16431833,16768900,16714074,16984685,16724473,16474571,16550453
7．生産・輸入品に課される税（中央政府）National taxes on production and imports,2146698,2153472,2196661,2540724,2454815,2577370,2628193,2550309,2693084,2656947,2596589
8．（控除）補助金（中央政府）(less) Central government subsidies,237969,155028,196439,113771,199912,158326,107095,143351,128874,-194639,-208387
9．財産所得（受取）Property income， receivable,―,―,―,―,―,―,―,―,―,―,―
10．経常移転（受取）Current transfers， receivable,6634804,7405350,8889408,9352873,9907274,10337387,11749016,12340375,12909966,7403627,10574676
受取 Resources,24211235,25153958,26737727,27886972,28594010,29525332,30984187,31732018,32198647,26729785,29930104
,,,,,,,,,,,
"都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021							",,,,,,,,,,,
１　統合勘定  １　Integrated Accounts (単位: 100万円　Millions of Yen) ,,,,,,,,,,,
(3)　都外勘定（経常取引） (3) External Accounts （Current Transactions）,,,,,,,,,,,
注）「財産所得」と「経常移転」については「純額」を表章しているため、支払・受取いずれかの項目にのみ計数を表記している。,,,,,,,,,,,
Note: Property income and current transfers are presented on a net basis.,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,
