"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",324,-,-,46,-,49,-,45,-,44,-,50,-,43,-,47,-
"0","0","世帯人員",3.22,-,-,2.93,-,2.99,-,3.33,-,3.44,-,3.25,-,3.44,-,3.16,-
"0","0","有業人員",1.86,-,-,1.75,-,1.90,-,1.79,-,1.82,-,2.01,-,1.84,-,1.91,-
"0","0","世帯主平均年齢",51.0,-,-,56.4,-,53.6,-,48.6,-,48.9,-,49.6,-,50.1,-,50.1,-
"0","0","消費支出",400235,-,13.4,261781,-,315854,-,309168,-,351196,-,399458,-,564299,-,593013,-
"0","0","公共的料金",104203,26.0,-2.6,59929,22.9,83453,26.4,88956,28.8,116106,33.1,123209,30.8,147850,26.2,109563,18.5
"1","0","公共料金等",60279,15.1,-5.1,39089,14.9,67108,21.2,48671,15.7,64748,18.4,68525,17.2,72370,12.8,61240,10.3
"1","1","米",1867,0.5,11.3,2041,0.8,1584,0.5,2009,0.6,2077,0.6,1661,0.4,1720,0.3,1979,0.3
"1","1","食塩",30,0.0,-6.3,21,0.0,17,0.0,27,0.0,16,0.0,34,0.0,35,0.0,57,0.0
"1","1","学校給食",570,0.1,-49.0,119,0.0,210,0.1,1016,0.3,502,0.1,973,0.2,1039,0.2,150,0.0
"1","1","公営家賃",176,0.0,-86.5,-,-,1232,0.4,-,-,-,-,-,-,-,-,-,-
"1","1","電気代",10466,2.6,-0.6,7593,2.9,14553,4.6,8972,2.9,7765,2.2,11386,2.9,11308,2.0,11629,2.0
"1","1","都市ガス",5871,1.5,-18.2,3464,1.3,5649,1.8,5709,1.8,4139,1.2,7112,1.8,8344,1.5,6654,1.1
"1","1","上下水道料",4472,1.1,-19.6,2562,1.0,3488,1.1,3960,1.3,4369,1.2,4945,1.2,5992,1.1,5941,1.0
"1","1","医科診療代",3040,0.8,-6.5,3249,1.2,4260,1.3,1709,0.6,3148,0.9,2582,0.6,3148,0.6,3163,0.5
"1","1","歯科診療代",7028,1.8,223.9,591,0.2,17608,5.6,290,0.1,21971,6.3,6353,1.6,1573,0.3,890,0.2
"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
