"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","調査世帯数",617,-,-,82,-,91,-,90,-,89,-,90,-,87,-,88,-
"0","世帯人員",2.92,-,-,2.75,-,2.83,-,2.72,-,2.76,-,3.09,-,2.82,-,3.48,-
"0","有業人員",1.38,-,-,1.24,-,1.27,-,1.19,-,1.47,-,1.40,-,1.42,-,1.68,-
"0","世帯主平均年齢",61.0,-,-,62.7,-,63.9,-,63.6,-,62.9,-,59.6,-,60.0,-,54.2,-
"0","消費支出",306814,100.0,3.4,94501,100.0,154636,100.0,206762,100.0,252846,100.0,302433,100.0,386775,100.0,745967,100.0
"2","基礎的支出",171471,55.9,-2.9,68763,72.8,111382,72.0,143179,69.2,167418,66.2,176945,58.5,207702,53.7,323271,43.3
"3","選択的支出",135343,44.1,12.7,25738,27.2,43254,28.0,63583,30.8,85428,33.8,125488,41.5,179073,46.3,422695,56.7
"1","食料",95646,31.2,9.8,50721,53.7,66190,42.8,82415,39.9,96672,38.2,99368,32.9,130510,33.7,143087,19.2
"2","基礎的支出",73117,23.8,9.7,42353,44.8,56678,36.7,67179,32.5,78269,31.0,75397,24.9,96200,24.9,95425,12.8
"3","選択的支出",22529,7.3,9.9,8369,8.9,9513,6.2,15236,7.4,18403,7.3,23972,7.9,34310,8.9,47662,6.4
"1","住居",19782,6.4,-18.2,734,0.8,4486,2.9,7822,3.8,15361,6.1,19219,6.4,15622,4.0,74826,10.0
"2","基礎的支出",17941,5.8,-17.6,734,0.8,4486,2.9,7488,3.6,14087,5.6,17775,5.9,14661,3.8,65994,8.8
"3","選択的支出",1841,0.6,-24.2,-,-,-,-,333,0.2,1275,0.5,1445,0.5,961,0.2,8832,1.2
"1","光熱・水道",25399,8.3,-23.7,11583,12.3,23270,15.0,26033,12.6,25967,10.3,28201,9.3,27505,7.1,35004,4.7
"2","基礎的支出",25399,8.3,-23.7,11583,12.3,23270,15.0,26033,12.6,25967,10.3,28201,9.3,27505,7.1,35004,4.7
"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","家具・家事用品",12375,4.0,49.0,3165,3.3,4503,2.9,8266,4.0,8652,3.4,10349,3.4,15941,4.1,35568,4.8
"2","基礎的支出",8864,2.9,46.5,2640,2.8,3805,2.5,6060,2.9,7258,2.9,8152,2.7,11271,2.9,22752,3.1
"3","選択的支出",3511,1.1,55.7,525,0.6,698,0.5,2206,1.1,1394,0.6,2196,0.7,4670,1.2,12815,1.7
"1","被服及び履物",11116,3.6,34.2,2118,2.2,2522,1.6,4561,2.2,6213,2.5,12052,4.0,21759,5.6,28436,3.8
"2","基礎的支出",654,0.2,-3.3,273,0.3,438,0.3,586,0.3,353,0.1,736,0.2,1304,0.3,880,0.1
"3","選択的支出",10462,3.4,37.6,1845,2.0,2084,1.3,3975,1.9,5860,2.3,11316,3.7,20455,5.3,27556,3.7
"1","保健医療",18007,5.9,9.0,5372,5.7,7157,4.6,12351,6.0,15855,6.3,17929,5.9,25801,6.7,41385,5.5
"2","基礎的支出",15176,4.9,14.7,4342,4.6,6394,4.1,11329,5.5,14478,5.7,14265,4.7,21284,5.5,33982,4.6
"3","選択的支出",2831,0.9,-14.0,1030,1.1,762,0.5,1022,0.5,1377,0.5,3664,1.2,4517,1.2,7403,1.0
"1","交通・通信",25379,8.3,-3.0,4411,4.7,11385,7.4,15679,7.6,21627,8.6,32370,10.7,36221,9.4,55583,7.5
"2","基礎的支出",5724,1.9,-12.5,740,0.8,2260,1.5,3615,1.7,5219,2.1,7896,2.6,8661,2.2,11590,1.6
"3","選択的支出",19655,6.4,0.2,3671,3.9,9125,5.9,12065,5.8,16408,6.5,24474,8.1,27560,7.1,43993,5.9
"1","教育",21858,7.1,34.3,48,0.1,2312,1.5,520,0.3,1159,0.5,7185,2.4,9470,2.4,131710,17.7
"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3","選択的支出",21858,7.1,34.3,48,0.1,2312,1.5,520,0.3,1159,0.5,7185,2.4,9470,2.4,131710,17.7
"1","教養娯楽",35695,11.6,8.5,7834,8.3,13210,8.5,19314,9.3,22458,8.9,37037,12.2,46060,11.9,103354,13.9
"2","基礎的支出",6336,2.1,2.4,2485,2.6,5234,3.4,6826,3.3,6144,2.4,8477,2.8,7236,1.9,7867,1.1
"3","選択的支出",29358,9.6,9.9,5349,5.7,7976,5.2,12487,6.0,16314,6.5,28560,9.4,38824,10.0,95488,12.8
"1","その他の消費支出",41556,13.5,-4.6,8515,9.0,19600,12.7,29801,14.4,38882,15.4,38723,12.8,57887,15.0,97013,13.0
"2","基礎的支出",18259,6.0,-17.9,3614,3.8,8816,5.7,14062,6.8,15644,6.2,16047,5.3,19582,5.1,49777,6.7
"3","選択的支出",23297,7.6,9.1,4901,5.2,10784,7.0,15739,7.6,23238,9.2,22677,7.5,38306,9.9,47236,6.3
"","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 2月","","","","","","","","","","","","","","","","","",""
"第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","","","",""
