"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,8355,-,1317,-,41,-,288,-
"0","0","0","0","0","調査世帯数",327,-,276,-,42,-,1,-,8,-
"0","0","0","0","0","世帯人員",3.25,-,3.29,-,2.94,-,x,-,3.64,-
"0","0","0","0","0","有業人員",1.86,-,1.88,-,1.70,-,x,-,2.00,-
"0","0","0","0","0","世帯主平均年齢",50.5,-,51.4,-,45.5,-,x,-,46.9,-
"1","0","0","0","0","受取",1531314,-,1591185,-,1212112,-,x,-,1375017,-
"1","1","0","0","0","実収入",682977,100.0,689956,100.0,644733,100.0,x,x,698584,100.0
"1","2","0","0","0","経常収入",657765,96.3,660693,95.8,639391,99.2,x,x,696478,99.7
"1","3","0","0","0","勤め先収入",637936,93.4,638382,92.5,631141,97.9,x,x,692886,99.2
"1","4","0","0","0","世帯主収入",512559,75.0,508214,73.7,515701,80.0,x,x,663238,94.9
"1","6","0","0","0","うち男",490088,71.8,491642,71.3,473746,73.5,x,x,555431,79.5
"1","5","0","0","0","定期収入",458588,67.1,452285,65.6,460870,71.5,x,x,662396,94.8
"1","5","0","0","0","臨時収入",9122,1.3,10500,1.5,2470,0.4,-,-,842,0.1
"1","5","0","0","0","賞与",44849,6.6,45430,6.6,52362,8.1,-,-,-,-
"1","4","0","0","0","世帯主の配偶者の収入",108725,15.9,112585,16.3,101313,15.7,x,x,26056,3.7
"1","6","0","0","0","うち女",102229,15.0,105857,15.3,94670,14.7,x,x,26056,3.7
"1","4","0","0","0","他の世帯員収入",16652,2.4,17582,2.5,14127,2.2,-,-,3591,0.5
"1","3","0","0","0","事業・内職収入",9815,1.4,11500,1.7,786,0.1,-,-,3591,0.5
"1","4","0","0","0","家賃収入",2137,0.3,2434,0.4,786,0.1,-,-,-,-
"1","4","0","0","0","他の事業収入",5643,0.8,6631,1.0,-,-,-,-,3591,0.5
"1","4","0","0","0","内職収入",2035,0.3,2436,0.4,-,-,-,-,-,-
"1","3","0","0","0","他の経常収入",10015,1.5,10811,1.6,7464,1.2,-,-,-,-
"1","4","0","0","0","財産収入",1845,0.3,2209,0.3,-,-,-,-,-,-
"1","4","0","0","0","社会保障給付",7232,1.1,7479,1.1,7464,1.2,-,-,-,-
"1","5","0","0","0","公的年金給付",-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","他の社会保障給付",7232,1.1,7479,1.1,7464,1.2,-,-,-,-
"1","4","0","0","0","仕送り金",938,0.1,1123,0.2,-,-,-,-,-,-
"1","2","0","0","0","特別収入",25212,3.7,29263,4.2,5343,0.8,-,-,2107,0.3
"1","3","0","0","0","受贈金",19744,2.9,23542,3.4,267,0.0,-,-,1427,0.2
"1","3","0","0","0","他の特別収入",5468,0.8,5721,0.8,5076,0.8,-,-,679,0.1
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",581120,-,608540,-,427262,-,x,-,550529,-
"1","2","0","0","0","預貯金引出",376807,-,387659,-,319566,-,x,-,364319,-
"1","2","0","0","0","保険金",268,-,321,-,-,-,-,-,-,-
"1","3","0","0","0","個人・企業年金保険金",268,-,321,-,-,-,-,-,-,-
"1","3","0","0","0","他の保険金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","有価証券売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","クレジット購入借入金",203196,-,219544,-,107696,-,x,-,186210,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",848,-,1015,-,-,-,-,-,-,-
"1","1","0","0","0","繰入金",267217,-,292690,-,140118,-,x,-,125904,-
"2","0","0","0","0","支払",1531314,-,1591185,-,1212112,-,x,-,1375017,-
"2","1","0","0","0","実支出",559771,-,569896,-,495832,-,x,-,609062,-
"2","2","0","0","0","生計支出",420628,-,430720,-,366232,-,x,-,407366,-
"2","3","0","0","0","消費支出",420628,100.0,430720,100.0,366232,100.0,x,x,407366,100.0
