"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,8351,-,1308,-,40,-,302,-
"0","0","0","0","0","調査世帯数",332,-,279,-,43,-,1,-,9,-
"0","0","0","0","0","世帯人員",3.25,-,3.28,-,2.91,-,x,-,3.53,-
"0","0","0","0","0","有業人員",1.83,-,1.85,-,1.71,-,x,-,2.00,-
"0","0","0","0","0","世帯主平均年齢",51.1,-,51.9,-,46.8,-,x,-,45.7,-
"1","0","0","0","0","受取",1498326,-,1569275,-,1092386,-,x,-,1395323,-
"1","1","0","0","0","実収入",686511,100.0,701245,100.0,568183,100.0,x,x,836742,100.0
"1","2","0","0","0","経常収入",678606,98.8,693129,98.8,560433,98.6,x,x,832944,99.5
"1","3","0","0","0","勤め先収入",600012,87.4,606157,86.4,518292,91.2,x,x,817820,97.7
"1","4","0","0","0","世帯主収入",475356,69.2,482799,68.8,397211,69.9,x,x,643501,76.9
"1","6","0","0","0","うち男",453598,66.1,467506,66.7,351357,61.8,x,x,544267,65.0
"1","5","0","0","0","定期収入",470933,68.6,477827,68.1,395313,69.6,x,x,642716,76.8
"1","5","0","0","0","臨時収入",3973,0.6,4432,0.6,1898,0.3,-,-,786,0.1
"1","5","0","0","0","賞与",451,0.1,540,0.1,-,-,-,-,-,-
"1","4","0","0","0","世帯主の配偶者の収入",110017,16.0,109784,15.7,98137,17.3,x,x,164266,19.6
"1","6","0","0","0","うち女",97997,14.3,101024,14.4,88507,15.6,x,x,49994,6.0
"1","4","0","0","0","他の世帯員収入",14639,2.1,13574,1.9,22944,4.0,-,-,10052,1.2
"1","3","0","0","0","事業・内職収入",21929,3.2,26140,3.7,-,-,-,-,3351,0.4
"1","4","0","0","0","家賃収入",7204,1.0,8627,1.2,-,-,-,-,-,-
"1","4","0","0","0","他の事業収入",13411,2.0,15939,2.3,-,-,-,-,3351,0.4
"1","4","0","0","0","内職収入",1314,0.2,1574,0.2,-,-,-,-,-,-
"1","3","0","0","0","他の経常収入",56664,8.3,60832,8.7,42141,7.4,-,-,11774,1.4
"1","4","0","0","0","財産収入",3391,0.5,4061,0.6,3,0.0,-,-,-,-
"1","4","0","0","0","社会保障給付",52052,7.6,55310,7.9,42138,7.4,-,-,11774,1.4
"1","5","0","0","0","公的年金給付",34089,5.0,36680,5.2,26189,4.6,-,-,1121,0.1
"1","5","0","0","0","他の社会保障給付",17963,2.6,18629,2.7,15949,2.8,-,-,10653,1.3
"1","4","0","0","0","仕送り金",1221,0.2,1462,0.2,-,-,-,-,-,-
"1","2","0","0","0","特別収入",7905,1.2,8116,1.2,7749,1.4,-,-,3798,0.5
"1","3","0","0","0","受贈金",185,0.0,173,0.0,307,0.1,-,-,-,-
"1","3","0","0","0","他の特別収入",7721,1.1,7943,1.1,7442,1.3,-,-,3798,0.5
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",534043,-,556068,-,425825,-,x,-,442722,-
"1","2","0","0","0","預貯金引出",380990,-,398655,-,295283,-,x,-,292405,-
"1","2","0","0","0","保険金",4767,-,5708,-,-,-,-,-,-,-
"1","3","0","0","0","個人・企業年金保険金",4566,-,5468,-,-,-,-,-,-,-
"1","3","0","0","0","他の保険金",201,-,240,-,-,-,-,-,-,-
"1","2","0","0","0","有価証券売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",5000,-,-,-,38238,-,-,-,-,-
"1","2","0","0","0","クレジット購入借入金",142459,-,150871,-,91309,-,-,-,150317,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",827,-,834,-,996,-,-,-,-,-
"1","1","0","0","0","繰入金",277772,-,311962,-,98379,-,x,-,115859,-
"2","0","0","0","0","支払",1498326,-,1569275,-,1092386,-,x,-,1395323,-
"2","1","0","0","0","実支出",480660,-,488726,-,416761,-,x,-,570476,-
"2","2","0","0","0","生計支出",344947,-,349159,-,317353,-,x,-,365999,-
"2","3","0","0","0","消費支出",344947,100.0,349159,100.0,317353,100.0,x,x,365999,100.0
"2","4","1","0","0","食料",95367,27.6,96201,27.6,87643,27.6,x,x,112687,30.8
"2","5","1","1","0","穀類",7100,2.1,7223,2.1,6449,2.0,x,x,6904,1.9
"2","6","1","1","1","米類",1620,0.5,1731,0.5,1153,0.4,-,-,785,0.2
"2","6","1","1","2","パン",3306,1.0,3243,0.9,3639,1.1,x,x,3784,1.0
"2","6","1","1","3","麺類",1603,0.5,1642,0.5,1284,0.4,x,x,1927,0.5
"2","6","1","1","4","他の穀類",571,0.2,606,0.2,373,0.1,x,x,407,0.1
"2","5","1","2","0","魚介類",5480,1.6,5735,1.6,3918,1.2,x,x,5877,1.6
"2","6","1","2","1","生鮮魚介",3137,0.9,3305,0.9,2094,0.7,-,-,3443,0.9
"2","6","1","2","2","塩干魚介",958,0.3,967,0.3,854,0.3,x,x,1235,0.3
"2","6","1","2","3","魚肉練製品",562,0.2,568,0.2,576,0.2,-,-,403,0.1
"2","6","1","2","4","他の魚介加工品",823,0.2,895,0.3,394,0.1,-,-,797,0.2
"2","5","1","3","0","肉類",8890,2.6,9155,2.6,7105,2.2,x,x,9424,2.6
"2","6","1","3","1","生鮮肉",7485,2.2,7720,2.2,6014,1.9,x,x,7604,2.1
"2","6","1","3","2","加工肉",1405,0.4,1435,0.4,1091,0.3,x,x,1820,0.5
"2","5","1","4","0","乳卵類",4429,1.3,4484,1.3,3799,1.2,x,x,5953,1.6
"2","6","1","4","1","牛乳",1246,0.4,1276,0.4,1017,0.3,x,x,1473,0.4
"2","6","1","4","2","乳製品",2276,0.7,2270,0.7,2181,0.7,x,x,3127,0.9
"2","6","1","4","3","卵",906,0.3,937,0.3,601,0.2,x,x,1352,0.4
"2","5","1","5","0","野菜・海藻",8953,2.6,9236,2.6,7090,2.2,x,x,9831,2.7
"2","6","1","5","1","生鮮野菜",6266,1.8,6482,1.9,4829,1.5,x,x,6938,1.9
"2","6","1","5","2","乾物・海藻",719,0.2,745,0.2,676,0.2,-,-,305,0.1
"2","6","1","5","3","大豆加工品",1001,0.3,1029,0.3,793,0.2,x,x,1151,0.3
"2","6","1","5","4","他の野菜・海藻加工品",966,0.3,980,0.3,792,0.2,x,x,1437,0.4
"2","5","1","6","0","果物",2783,0.8,2934,0.8,2009,0.6,x,x,2178,0.6
"2","6","1","6","1","生鮮果物",2415,0.7,2548,0.7,1699,0.5,x,x,2005,0.5
"2","6","1","6","2","果物加工品",368,0.1,386,0.1,310,0.1,-,-,173,0.0
"2","5","1","7","0","油脂・調味料",4283,1.2,4372,1.3,3506,1.1,x,x,5588,1.5
"2","6","1","7","1","油脂",473,0.1,512,0.1,257,0.1,x,x,363,0.1
"2","6","1","7","2","調味料",3810,1.1,3860,1.1,3249,1.0,x,x,5225,1.4
"2","5","1","8","0","菓子類",9184,2.7,9290,2.7,9057,2.9,x,x,7388,2.0
"2","5","1","9","0","調理食品",14579,4.2,14354,4.1,16646,5.2,x,x,12059,3.3
"2","6","1","9","1","主食的調理食品",7012,2.0,6745,1.9,8823,2.8,x,x,6569,1.8
"2","6","1","9","2","他の調理食品",7568,2.2,7609,2.2,7823,2.5,x,x,5490,1.5
"2","5","1","10","0","飲料",5264,1.5,5153,1.5,5804,1.8,x,x,6580,1.8
"2","6","1","10","1","茶類",1174,0.3,1149,0.3,1261,0.4,x,x,1641,0.4
