"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",332,-,-,47,-,49,-,48,-,46,-,49,-,46,-,47,-
"0","0","世帯人員",3.25,-,-,2.76,-,3.11,-,3.38,-,3.32,-,3.43,-,3.50,-,3.21,-
"0","0","有業人員",1.83,-,-,1.50,-,1.79,-,1.73,-,1.99,-,1.96,-,1.89,-,1.97,-
"0","0","世帯主平均年齢",51.1,-,-,58.6,-,50.8,-,49.1,-,49.6,-,48.9,-,49.0,-,51.6,-
"0","0","消費支出",344947,-,8.8,225220,-,274523,-,290420,-,318416,-,420715,-,452249,-,429813,-
"0","0","公共的料金",98777,28.6,-3.1,69337,30.8,64850,23.6,68296,23.5,73971,23.2,166864,39.7,119452,26.4,128497,29.9
"1","0","公共料金等",58253,16.9,-9.3,50635,22.5,49876,18.2,48210,16.6,47838,15.0,55130,13.1,76711,17.0,78687,18.3
"1","1","米",1632,0.5,13.3,1101,0.5,1792,0.7,1585,0.5,1952,0.6,2283,0.5,1328,0.3,1388,0.3
"1","1","食塩",34,0.0,41.7,29,0.0,25,0.0,33,0.0,22,0.0,93,0.0,24,0.0,11,0.0
"1","1","学校給食",632,0.2,-54.5,326,0.1,343,0.1,1116,0.4,561,0.2,750,0.2,708,0.2,619,0.1
"1","1","公営家賃",544,0.2,-72.9,-,-,1630,0.6,-,-,2176,0.7,-,-,-,-,-,-
"1","1","電気代",11912,3.5,-24.1,10261,4.6,12756,4.6,10707,3.7,9179,2.9,12721,3.0,13455,3.0,14240,3.3
"1","1","都市ガス",7972,2.3,-19.3,6259,2.8,6587,2.4,5789,2.0,7346,2.3,11187,2.7,9333,2.1,9288,2.2
"1","1","上下水道料",4679,1.4,-10.1,3214,1.4,4913,1.8,3480,1.2,4010,1.3,6202,1.5,4559,1.0,6352,1.5
"1","1","医科診療代",3773,1.1,-5.9,4735,2.1,3416,1.2,2389,0.8,2478,0.8,1806,0.4,2630,0.6,8888,2.1
"1","1","歯科診療代",4362,1.3,154.5,880,0.4,823,0.3,396,0.1,4327,1.4,788,0.2,11449,2.5,11578,2.7
"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","1","他の入院料",560,0.2,-41.7,1542,0.7,1218,0.4,-,-,-,-,-,-,1166,0.3,-,-
"1","1","鉄道運賃",4234,1.2,19.7,3543,1.6,2197,0.8,3910,1.3,3287,1.0,1859,0.4,6880,1.5,7837,1.8
"1","1","鉄道通学定期代",247,0.1,124.5,-,-,-,-,120,0.0,-,-,923,0.2,375,0.1,313,0.1
"1","1","鉄道通勤定期代",1470,0.4,-21.1,2504,1.1,787,0.3,1341,0.5,-,-,459,0.1,4497,1.0,673,0.2
"1","1","バス代",277,0.1,-14.8,146,0.1,158,0.1,262,0.1,165,0.1,224,0.1,323,0.1,650,0.2
"1","1","バス通学定期代",8,0.0,-33.3,-,-,-,-,57,0.0,-,-,-,-,-,-,-,-
