"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,494,-,1193,-,1646,-,1276,-,1667,-,1831,-,1050,-,844,-
"0","0","0","0","0","調査世帯数",327,-,18,-,36,-,52,-,42,-,55,-,60,-,36,-,28,-
"0","0","0","0","0","世帯人員",3.25,-,3.13,-,3.41,-,3.75,-,3.39,-,3.48,-,3.07,-,2.78,-,2.46,-
"0","0","0","0","0","有業人員",1.86,-,1.71,-,1.67,-,1.54,-,1.81,-,2.21,-,1.98,-,2.08,-,1.76,-
"0","0","0","0","0","世帯主平均年齢",50.5,-,32.1,-,37.1,-,42.2,-,47.3,-,52.5,-,57.0,-,61.8,-,69.3,-
"1","0","0","0","0","受取",1531314,-,1050714,-,1684275,-,1658923,-,1294952,-,1811692,-,1692468,-,1291599,-,1099797,-
"1","1","0","0","0","実収入",682977,100.0,530055,100.0,759692,100.0,676373,100.0,551292,100.0,696714,100.0,829863,100.0,630727,100.0,595202,100.0
"1","2","0","0","0","経常収入",657765,96.3,521593,98.4,753642,99.2,672015,99.4,545321,98.9,683844,98.2,821152,99.0,625475,99.2,378290,63.6
"1","3","0","0","0","勤め先収入",637936,93.4,507388,95.7,742549,97.7,642044,94.9,529649,96.1,669651,96.1,807958,97.4,589664,93.5,350657,58.9
"1","4","0","0","0","世帯主収入",512559,75.0,360367,68.0,613728,80.8,533359,78.9,384086,69.7,529504,76.0,688524,83.0,458497,72.7,264280,44.4
"1","6","0","0","0","うち男",490088,71.8,337626,63.7,608872,80.1,498759,73.7,365433,66.3,498344,71.5,677742,81.7,424800,67.4,240715,40.4
"1","5","0","0","0","定期収入",458588,67.1,357733,67.5,376151,49.5,511209,75.6,366619,66.5,496061,71.2,643949,77.6,411100,65.2,253369,42.6
"1","5","0","0","0","臨時収入",9122,1.3,2634,0.5,30511,4.0,4556,0.7,13684,2.5,5799,0.8,5111,0.6,3105,0.5,7450,1.3
"1","5","0","0","0","賞与",44849,6.6,-,-,207066,27.3,17594,2.6,3784,0.7,27644,4.0,39463,4.8,44291,7.0,3460,0.6
"1","4","0","0","0","世帯主の配偶者の収入",108725,15.9,125425,23.7,128821,17.0,108685,16.1,145563,26.4,133172,19.1,75993,9.2,103956,16.5,43588,7.3
"1","6","0","0","0","うち女",102229,15.0,107732,20.3,128821,17.0,108685,16.1,140296,25.4,111201,16.0,75993,9.2,91696,14.5,43588,7.3
"1","4","0","0","0","他の世帯員収入",16652,2.4,21596,4.1,-,-,-,-,-,-,6974,1.0,43441,5.2,27211,4.3,42789,7.2
"1","3","0","0","0","事業・内職収入",9815,1.4,-,-,902,0.1,3343,0.5,655,0.1,8713,1.3,10114,1.2,33300,5.3,26940,4.5
"1","4","0","0","0","家賃収入",2137,0.3,-,-,868,0.1,3343,0.5,-,-,277,0.0,7846,0.9,-,-,-,-
"1","4","0","0","0","他の事業収入",5643,0.8,-,-,35,0.0,-,-,655,0.1,-,-,185,0.0,30943,4.9,26940,4.5
"1","4","0","0","0","内職収入",2035,0.3,-,-,-,-,-,-,-,-,8436,1.2,2082,0.3,2357,0.4,-,-
"1","3","0","0","0","他の経常収入",10015,1.5,14205,2.7,10191,1.3,26628,3.9,15017,2.7,5480,0.8,3081,0.4,2511,0.4,693,0.1
"1","4","0","0","0","財産収入",1845,0.3,-,-,71,0.0,3543,0.5,-,-,2555,0.4,3081,0.4,2511,0.4,-,-
"1","4","0","0","0","社会保障給付",7232,1.1,14205,2.7,10119,1.3,17383,2.6,15017,2.7,2925,0.4,-,-,-,-,693,0.1
"1","5","0","0","0","公的年金給付",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","他の社会保障給付",7232,1.1,14205,2.7,10119,1.3,17383,2.6,15017,2.7,2925,0.4,-,-,-,-,693,0.1
"1","4","0","0","0","仕送り金",938,0.1,-,-,-,-,5701,0.8,-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","特別収入",25212,3.7,8462,1.6,6050,0.8,4358,0.6,5971,1.1,12870,1.8,8711,1.0,5252,0.8,216912,36.4
"1","3","0","0","0","受贈金",19744,2.9,-,-,1739,0.2,1098,0.2,4759,0.9,5319,0.8,22,0.0,391,0.1,211175,35.5
"1","3","0","0","0","他の特別収入",5468,0.8,8462,1.6,4311,0.6,3260,0.5,1211,0.2,7552,1.1,8689,1.0,4861,0.8,5736,1.0
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",581120,-,385484,-,447300,-,647668,-,486327,-,809182,-,660847,-,485689,-,393591,-
"1","2","0","0","0","預貯金引出",376807,-,232730,-,284951,-,464149,-,358690,-,372312,-,465671,-,341162,-,308457,-
"1","2","0","0","0","保険金",268,-,-,-,-,-,-,-,-,-,-,-,-,-,2551,-,-,-
