"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","調査世帯数",595,-,-,77,-,88,-,89,-,86,-,88,-,85,-,82,-
"0","世帯人員",2.93,-,-,2.64,-,2.72,-,2.82,-,2.98,-,2.98,-,3.02,-,3.34,-
"0","有業人員",1.38,-,-,1.20,-,1.31,-,1.24,-,1.20,-,1.68,-,1.43,-,1.61,-
"0","世帯主平均年齢",61.6,-,-,64.6,-,65.7,-,64.0,-,59.6,-,58.7,-,60.2,-,58.6,-
"0","消費支出",392937,100.0,6.5,98729,100.0,164039,100.0,213945,100.0,269493,100.0,349590,100.0,469834,100.0,1180054,100.0
"2","基礎的支出",202936,51.6,9.3,77140,78.1,116367,70.9,144127,67.4,175665,65.2,188827,54.0,235005,50.0,481587,40.8
"3","選択的支出",190002,48.4,3.6,21589,21.9,47673,29.1,69818,32.6,93828,34.8,160763,46.0,234828,50.0,698467,59.2
"1","食料",96883,24.7,-1.3,52970,53.7,68236,41.6,85707,40.1,98090,36.4,106556,30.5,131683,28.0,134367,11.4
"2","基礎的支出",75788,19.3,1.5,46335,46.9,58492,35.7,71433,33.4,78388,29.1,79309,22.7,97192,20.7,99011,8.4
"3","選択的支出",21095,5.4,-10.1,6635,6.7,9744,5.9,14274,6.7,19702,7.3,27246,7.8,34491,7.3,35357,3.0
"1","住居",34957,8.9,41.4,865,0.9,5005,3.1,8311,3.9,15151,5.6,20986,6.0,17200,3.7,176568,15.0
"2","基礎的支出",33069,8.4,44.6,865,0.9,4822,2.9,7782,3.6,12218,4.5,18838,5.4,13681,2.9,172682,14.6
"3","選択的支出",1888,0.5,1.8,-,-,183,0.1,529,0.2,2933,1.1,2147,0.6,3519,0.7,3885,0.3
"1","光熱・水道",24660,6.3,-7.7,13431,13.6,20583,12.5,23224,10.9,27279,10.1,26356,7.5,33639,7.2,28000,2.4
"2","基礎的支出",24660,6.3,-7.7,13431,13.6,20583,12.5,23224,10.9,27279,10.1,26356,7.5,33639,7.2,28000,2.4
"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","家具・家事用品",13050,3.3,7.9,3073,3.1,4683,2.9,6899,3.2,9694,3.6,13692,3.9,18217,3.9,34927,3.0
"2","基礎的支出",9348,2.4,11.8,2556,2.6,4202,2.6,5902,2.8,8798,3.3,8783,2.5,11787,2.5,23314,2.0
"3","選択的支出",3702,0.9,-0.7,517,0.5,481,0.3,997,0.5,895,0.3,4909,1.4,6430,1.4,11613,1.0
"1","被服及び履物",12847,3.3,-4.0,2744,2.8,4206,2.6,7587,3.5,7912,2.9,15089,4.3,24734,5.3,27477,2.3
"2","基礎的支出",735,0.2,3.2,216,0.2,624,0.4,496,0.2,633,0.2,1051,0.3,803,0.2,1315,0.1
"3","選択的支出",12113,3.1,-4.4,2527,2.6,3581,2.2,7092,3.3,7279,2.7,14038,4.0,23930,5.1,26163,2.2
"1","保健医療",19138,4.9,6.3,4353,4.4,8705,5.3,11831,5.5,19177,7.1,22514,6.4,19508,4.2,47681,4.0
"2","基礎的支出",16452,4.2,8.1,4353,4.4,8089,4.9,10282,4.8,16634,6.2,17417,5.0,15917,3.4,42317,3.6
"3","選択的支出",2686,0.7,-3.2,-,-,616,0.4,1549,0.7,2543,0.9,5097,1.5,3591,0.8,5364,0.5
"1","交通・通信",38166,9.7,16.7,5229,5.3,13851,8.4,18740,8.8,26711,9.9,43302,12.4,53947,11.5,104858,8.9
"2","基礎的支出",6912,1.8,-20.4,1296,1.3,3777,2.3,4245,2.0,6252,2.3,8779,2.5,11692,2.5,12269,1.0
"3","選択的支出",31254,8.0,30.2,3933,4.0,10075,6.1,14495,6.8,20459,7.6,34523,9.9,42255,9.0,92588,7.8
"1","教育",53209,13.5,-3.5,221,0.2,917,0.6,2643,1.2,3515,1.3,5301,1.5,16468,3.5,342294,29.0
"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3","選択的支出",53209,13.5,-3.5,221,0.2,917,0.6,2643,1.2,3515,1.3,5301,1.5,16468,3.5,342294,29.0
"1","教養娯楽",37297,9.5,-0.5,8387,8.5,15892,9.7,19275,9.0,24839,9.2,47558,13.6,63274,13.5,81364,6.9
"2","基礎的支出",6285,1.6,-6.7,3597,3.6,5567,3.4,6770,3.2,6201,2.3,5502,1.6,8496,1.8,7834,0.7
"3","選択的支出",31012,7.9,0.9,4790,4.9,10326,6.3,12505,5.8,18639,6.9,42056,12.0,54778,11.7,73530,6.2
"1","その他の消費支出",62730,16.0,23.8,7456,7.6,21961,13.4,29727,13.9,37125,13.8,48237,13.8,91164,19.4,202519,17.2
"2","基礎的支出",29687,7.6,37.0,4491,4.5,10211,6.2,13992,6.5,19262,7.1,22792,6.5,41798,8.9,94846,8.0
"3","選択的支出",33043,8.4,13.8,2965,3.0,11750,7.2,15735,7.4,17863,6.6,25445,7.3,49366,10.5,107673,9.1
"","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 4月","","","","","","","","","","","","","","","","","",""
"第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","","","",""
