"区分","項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",611,-,-,80,-,94,-,91,-,90,-,86,-,86,-,84,-
"0","0","世帯人員",2.92,-,-,2.70,-,2.65,-,2.66,-,3.05,-,3.00,-,3.08,-,3.30,-
"0","0","有業人員",1.41,-,-,1.33,-,1.32,-,0.93,-,1.54,-,1.52,-,1.54,-,1.69,-
"0","0","世帯主平均年齢",61.2,-,-,63.9,-,63.9,-,66.6,-,59.8,-,59.9,-,59.0,-,55.1,-
"0","0","消費支出",322670,100.0,7.6,93409,100.0,155281,100.0,207820,100.0,258838,100.0,322276,100.0,410170,100.0,808937,100.0
"1","0","商品",177941,55.1,9.3,73646,78.8,104194,67.1,135488,65.2,155620,60.1,177339,55.0,221226,53.9,377194,46.6
"1","1","耐久財",22185,6.9,79.3,293,0.3,2267,1.5,3542,1.7,7413,2.9,8888,2.8,15231,3.7,117498,14.5
"1","2","半耐久財",27277,8.5,18.9,4278,4.6,10157,6.5,12956,6.2,22367,8.6,22308,6.9,41652,10.2,76991,9.5
"1","3","非耐久財",128480,39.8,0.8,69075,73.9,91770,59.1,118990,57.3,125840,48.6,146143,45.3,164343,40.1,182705,22.6
"1","0","サービス",144729,44.9,5.6,19763,21.2,51087,32.9,72333,34.8,103218,39.9,144937,45.0,188944,46.1,431743,53.4
"2","0","食料",103047,31.9,1.7,53757,57.6,66878,43.1,89836,43.2,95867,37.0,114140,35.4,142502,34.7,157945,19.5
"2","3","非耐久財",81945,25.4,0.5,48194,51.6,58934,38.0,77191,37.1,80499,31.1,90431,28.1,103577,25.3,114514,14.2
"2","4","サービス",21102,6.5,6.3,5564,6.0,7944,5.1,12644,6.1,15368,5.9,23709,7.4,38926,9.5,43430,5.4
"2","0","住居",16975,5.3,-27.5,549,0.6,4001,2.6,6290,3.0,15914,6.1,16360,5.1,18183,4.4,57344,7.1
"2","1","耐久財",3143,1.0,156.6,-,-,-,-,55,0.0,23,0.0,437,0.1,2,0.0,21468,2.7
"2","2","半耐久財",202,0.1,-69.0,115,0.1,47,0.0,114,0.1,182,0.1,403,0.1,294,0.1,258,0.0
"2","4","サービス",13630,4.2,-36.8,434,0.5,3954,2.5,6120,2.9,15709,6.1,15520,4.8,17887,4.4,35618,4.4
"2","0","光熱・水道（非耐久財）",21059,6.5,-8.0,9665,10.3,17791,11.5,21388,10.3,21903,8.5,24729,7.7,25037,6.1,26805,3.3
"2","0","家具・家事用品",13781,4.3,7.3,3621,3.9,6221,4.0,9015,4.3,11966,4.6,11842,3.7,16873,4.1,36836,4.6
"2","1","耐久財",4980,1.5,6.4,284,0.3,171,0.1,2093,1.0,3374,1.3,3475,1.1,4879,1.2,20547,2.5
"2","2","半耐久財",3825,1.2,19.3,1145,1.2,2425,1.6,2795,1.3,3837,1.5,3506,1.1,6301,1.5,6737,0.8
"2","3","非耐久財",3953,1.2,5.4,2123,2.3,2974,1.9,3561,1.7,3735,1.4,4570,1.4,4700,1.1,5995,0.7
"2","4","サービス",1023,0.3,-15.0,69,0.1,650,0.4,566,0.3,1021,0.4,291,0.1,993,0.2,3556,0.4
"2","0","被服及び履物",12205,3.8,6.8,1986,2.1,5608,3.6,6648,3.2,12649,4.9,11969,3.7,22327,5.4,24129,3.0
"2","2","半耐久財",10746,3.3,2.4,1724,1.8,5060,3.3,6130,2.9,11614,4.5,10941,3.4,19485,4.8,20164,2.5
"2","4","サービス",1459,0.5,55.2,261,0.3,548,0.4,517,0.2,1036,0.4,1028,0.3,2842,0.7,3965,0.5
"2","0","保健医療",18627,5.8,29.0,4243,4.5,7780,5.0,12920,6.2,19334,7.5,18486,5.7,21311,5.2,46165,5.7
"2","1","耐久財",904,0.3,15.9,-,-,1133,0.7,507,0.2,502,0.2,982,0.3,1268,0.3,1925,0.2
"2","2","半耐久財",216,0.1,-30.1,20,0.0,41,0.0,15,0.0,152,0.1,135,0.0,928,0.2,220,0.0
"2","3","非耐久財",5886,1.8,11.2,2482,2.7,2796,1.8,5294,2.5,5288,2.0,6196,1.9,7413,1.8,11709,1.4
"2","4","サービス",11621,3.6,44.1,1742,1.9,3810,2.5,7104,3.4,13391,5.2,11173,3.5,11701,2.9,32311,4.0
"2","0","交通・通信",41085,12.7,23.5,6118,6.5,15424,9.9,17084,8.2,26825,10.4,26851,8.3,49023,12.0,145968,18.0
"2","1","耐久財",10584,3.3,361.8,-,-,23,0.0,362,0.2,1811,0.7,178,0.1,881,0.2,70764,8.7
"2","2","半耐久財",975,0.3,-9.8,-,-,209,0.1,186,0.1,950,0.4,497,0.2,2557,0.6,2415,0.3
"2","3","非耐久財",2316,0.7,13.5,727,0.8,976,0.6,1663,0.8,1922,0.7,3315,1.0,3405,0.8,4191,0.5
"2","4","サービス",27210,8.4,-2.3,5392,5.8,14216,9.2,14873,7.2,22142,8.6,22861,7.1,42180,10.3,68598,8.5
"2","0","教育",22715,7.0,19.7,171,0.2,1648,1.1,1958,0.9,4690,1.8,11399,3.5,14465,3.5,124525,15.4
"2","3","非耐久財",331,0.1,164.8,36,0.0,37,0.0,46,0.0,61,0.0,41,0.0,1154,0.3,942,0.1
"2","4","サービス",22384,6.9,18.7,135,0.1,1611,1.0,1912,0.9,4629,1.8,11359,3.5,13311,3.2,123583,15.3
"2","0","教養娯楽",41103,12.7,5.3,7907,8.5,16300,10.5,22999,11.1,27156,10.5,50946,15.8,65964,16.1,96191,11.9
"2","1","耐久財",2145,0.7,-28.9,-,-,698,0.4,385,0.2,910,0.4,3592,1.1,6956,1.7,2455,0.3
"2","2","半耐久財",4052,1.3,-20.6,729,0.8,1655,1.1,1819,0.9,3845,1.5,4640,1.4,5898,1.4,9742,1.2
"2","3","非耐久財",6590,2.0,6.3,3647,3.9,4408,2.8,5812,2.8,5978,2.3,8183,2.5,10579,2.6,7502,0.9
"2","4","サービス",28316,8.8,14.6,3531,3.8,9538,6.1,14983,7.2,16423,6.3,34531,10.7,42531,10.4,76493,9.5
"2","0","諸雑費",32073,9.9,45.3,5392,5.8,13630,8.8,19684,9.5,22534,8.7,35554,11.0,34484,8.4,93029,11.5
"2","1","耐久財",428,0.1,12.6,9,0.0,241,0.2,140,0.1,793,0.3,225,0.1,1245,0.3,338,0.0
"2","2","半耐久財",7260,2.2,245.5,546,0.6,720,0.5,1897,0.9,1787,0.7,2186,0.7,6188,1.5,37456,4.6
"2","3","非耐久財",6400,2.0,13.8,2202,2.4,3854,2.5,4035,1.9,6454,2.5,8680,2.7,8478,2.1,11047,1.4
"2","4","サービス",17985,5.6,28.7,2636,2.8,8815,5.7,13613,6.6,13499,5.2,24464,7.6,18573,4.5,44188,5.5
"","","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 5月","","","","","","","","","","","","","","","","","","",""
"第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―","","","","","","","","","","","","","","","","","","",""
"注1)財・サービス別結果は、品目別分類を再分類して集計した。","","","","","","","","","","","","","","","","","","",""
"注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。","","","","","","","","","","","","","","","","","","",""
