"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成29年平均","2017","",26.1,48.0,39.1,34.6,31.4,29.0,25.8,15.5
"nen","平成30年平均","2018","",26.7,49.5,38.5,35.2,32.3,29.5,26.0,16.1
"nen","平成31年・令和元年平均","2019","",26.9,49.4,40.9,36.3,32.3,29.3,25.3,16.4
"nen","令和 2年平均","2020","",28.2,50.2,41.6,36.9,33.2,31.1,27.9,17.3
"nen","令和 3年平均","2021","",28.0,49.1,42.4,37.2,34.4,31.3,27.6,16.8
"nen","令和 4年平均","2022","",27.4,49.8,41.4,36.4,33.2,30.6,26.9,16.2
"nen","令和 5年平均","2023","",28.7,51.9,43.0,37.8,34.0,31.5,28.8,17.2
"tuki","令和 5年 4月","2023","4",25.4,52.1,41.0,37.3,32.1,29.7,26.6,13.3
"tuki","令和 5年 5月","2023","5",30.7,51.4,44.7,39.4,35.8,33.0,28.4,19.7
"tuki","令和 5年 6月","2023","6",29.2,52.4,45.9,40.8,33.8,32.7,29.0,16.9
"tuki","令和 5年 7月","2023","7",30.6,53.8,43.3,38.4,35.0,31.2,30.9,19.9
"tuki","令和 5年 8月","2023","8",28.6,53.8,41.6,38.7,36.9,32.6,28.7,16.1
"tuki","令和 5年 9月","2023","9",30.5,53.6,45.6,39.9,36.5,33.8,30.0,17.8
"tuki","令和 5年10月","2023","10",27.0,55.2,43.7,37.9,35.2,31.8,28.7,13.4
"tuki","令和 5年11月","2023","11",30.4,53.9,41.1,39.7,34.9,31.6,29.4,19.8
"tuki","令和 5年12月","2023","12",30.8,54.0,44.0,38.3,37.3,33.2,30.6,18.9
"tuki","令和 6年 1月","2024","1",27.1,49.2,41.8,35.7,33.6,29.6,26.8,16.1
"tuki","令和 6年 2月","2024","2",29.7,52.5,41.6,38.9,36.8,31.5,31.6,17.9
"tuki","令和 6年 3月","2024","3",26.8,55.0,43.2,38.8,35.1,29.5,27.2,15.1
"tuki","令和 6年 4月","2024","4",23.7,53.1,40.9,39.2,35.4,28.8,26.6,10.8
"","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 4月","","","","","","","","","","",""
"主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―","","","","","","","","","","",""
"エンゲル係数  　 　　〔＝（食料費÷消費支出） ×１００〕","","","","","","","","","","",""
